method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,50,9.86,10.0,18.0,3.0,9.86,10.0,18,0.59894734,0.6,0.884211,0.5292929399999999,1.0,1.0,0.192,1.0,1.0,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
borda,50,9.86,10.0,18.0,3.0,9.86,10.0,18,0.59894734,0.6,0.884211,0.5292929399999999,1.0,1.0,0.192,1.0,1.0,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
pagerank,50,10.02,10.0,18.0,3.0,10.02,10.0,18,0.31957892,0.31052599999999997,0.589474,0.52709094,0.951044,0.9036310399999999,0.192,1.0,0.97083846,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
greedy_fas_topological,50,7.5,7.0,15.0,0.0,7.5,7.0,15,0.22378946,0.22631600000000002,0.473684,0.33470708000000005,0.8275839,0.65412026,0.192,1.0,0.83256276,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
greedy_fas_weighted_balance,50,9.84,10.0,17.0,3.0,9.84,10.0,17,0.55389482,0.563158,0.810526,0.53513132,0.9997921200000001,0.9993333400000001,0.192,1.0,0.9997333399999999,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
greedy_fas_copeland,50,9.84,10.0,17.0,3.0,9.84,10.0,17,0.55389482,0.563158,0.810526,0.53513132,0.9997921200000001,0.9993333400000001,0.192,1.0,0.9997333399999999,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
greedy_fas_score_augmented_topological,50,7.34,8.0,15.0,0.0,7.34,8.0,15,-0.12273684,-0.115789,0.2,0.35064646000000005,0.83104554,0.66213798,0.192,1.0,0.8453649799999999,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
fas_balance_score_prior_alpha_beta,50,9.86,10.0,18.0,3.0,9.86,10.0,18,0.54673684,0.547368,0.810526,0.53589898,1.0,1.0,0.192,1.0,1.0,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
hybrid_rrf_fas_regularized,50,9.84,10.0,17.0,3.0,9.84,10.0,17,0.55389482,0.563158,0.810526,0.53513132,0.9997921200000001,0.9993333400000001,0.192,1.0,0.9997333399999999,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
hybrid_rrf_balance_a05,50,9.84,10.0,17.0,3.0,9.84,10.0,17,0.55389482,0.563158,0.810526,0.53513132,0.9997921200000001,0.9993333400000001,0.192,1.0,0.9997333399999999,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
hybrid_rrf_copeland_a03,50,9.84,10.0,17.0,3.0,9.84,10.0,17,0.55389482,0.563158,0.810526,0.53513132,0.9997921200000001,0.9993333400000001,0.192,1.0,0.9997333399999999,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
hybrid_rrf_priority_topo_a03,50,7.38,7.5,17.0,0.0,7.38,7.5,17,0.009894739999999999,0.026316,0.357895,0.35456558,0.84048018,0.68197176,0.192,1.0,0.8581309400000001,0.0114133,0.0070314999999999996,0.206777,20.0,61.4,98.0,8.6,9.86,5.24,9.86,5.24
