stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,5.6e-05,5.6e-05,5.6e-05,5.6e-05
pairwise_preference_generation,1,0.000242,0.000242,0.000242,0.000242
graph_construction,1,0.001986,0.001986,0.001986,0.001986
cycle_detection,1,0.000145,0.000145,0.000145,0.000145
ranking_score_sum,1,8.5e-05,8.5e-05,8.5e-05,8.5e-05
ranking_borda,1,2.9e-05,2.9e-05,2.9e-05,2.9e-05
greedy_fas_solver,1,0.009096,0.009096,0.009096,0.009096
ranking_topological,1,0.00012,0.00012,0.00012,0.00012
evaluation,1,0.000303,0.000303,0.000303,0.000303
total_experiment,1,0.012184,0.012184,0.012184,0.012184
