stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.032332,0.032332,0.032332,0.032332
candidate_selection,1,0.001018,0.001018,0.001018,0.001018
pairwise_preference_generation,50,0.00996,0.000199,0.000191,0.000784
graph_construction,50,0.008556,0.000171,0.000153,0.000749
cycle_detection,50,0.000865,1.7e-05,1.7e-05,3e-05
greedy_fas_solver,50,0.103509,0.00207,0.001718,0.005947
ranking_score_sum,50,0.001701,3.4e-05,3.5e-05,4.1e-05
ranking_borda,50,0.00096,1.9e-05,1.9e-05,3e-05
ranking_pagerank,50,0.289911,0.005798,0.001696,0.199323
ranking_topological,50,0.003284,6.6e-05,6.5e-05,9.2e-05
ranking_fas_weighted_balance,50,0.001893,3.8e-05,3.7e-05,6e-05
ranking_fas_copeland,50,0.001362,2.7e-05,2.7e-05,3.9e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.002785,5.6e-05,5.3e-05,0.000105
ranking_fas_score_augmented_topological,50,0.00243,4.9e-05,4.7e-05,6.5e-05
ranking_hybrid_rrf_fas_regularized,50,0.002272,4.5e-05,4.5e-05,6.8e-05
ranking_hybrid_rrf_balance_a05,50,0.00207,4.1e-05,4e-05,6.7e-05
ranking_hybrid_rrf_copeland_a03,50,0.001705,3.4e-05,3.3e-05,5.1e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.003953,7.9e-05,7.8e-05,0.000102
evaluation,50,0.077943,0.001559,0.001542,0.001952
total_pipeline,1,0.551689,0.551689,0.551689,0.551689
