stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,0.000194,0.000194,0.000194,0.000194
pairwise_preference_generation,1,0.00069,0.00069,0.00069,0.00069
graph_construction,1,0.004003,0.004003,0.004003,0.004003
cycle_detection,1,0.000185,0.000185,0.000185,0.000185
ranking_score_sum,1,0.000106,0.000106,0.000106,0.000106
ranking_borda,1,5e-05,5e-05,5e-05,5e-05
greedy_fas_solver,1,0.009499,0.009499,0.009499,0.009499
ranking_topological,1,0.00017,0.00017,0.00017,0.00017
ranking_priority_topological_score_sum,1,0.000153,0.000153,0.000153,0.000153
ranking_fas_weighted_balance,1,7.4e-05,7.4e-05,7.4e-05,7.4e-05
ranking_fas_copeland,1,5.2e-05,5.2e-05,5.2e-05,5.2e-05
ranking_hybrid_rrf_fas_regularized,1,9.8e-05,9.8e-05,9.8e-05,9.8e-05
evaluation,1,0.000843,0.000843,0.000843,0.000843
total_experiment,1,0.016352,0.016352,0.016352,0.016352
