dataset,method,preference_source,n_queries,ndcg_mean,map_mean,precision_mean,recall_mean,bew_mean
scidocs,borda,qrels,1000,1.0,1.0,0.2462,1.0,5.616
scidocs,bt_from_qrels,qrels,500,1.0,1.0,0.2462,1.0,0.0
scidocs,cross_encoder,cross_encoder,500,0.8977,0.7807,0.2462,1.0,7.572
scidocs,fas_balance_score_prior_alpha_beta,qrels,1000,1.0,0.9999,0.2462,1.0,5.615
scidocs,greedy_fas_copeland,qrels,1000,0.9994,0.9983,0.2462,1.0,5.608
scidocs,greedy_fas_score_augmented_topological,qrels,1000,0.9586,0.8956,0.2462,1.0,4.427
scidocs,greedy_fas_topological,qrels,1000,0.9552,0.8872,0.2462,1.0,4.856
scidocs,greedy_fas_weighted_balance,qrels,1000,0.9994,0.9983,0.2462,1.0,5.608
scidocs,hybrid_rrf_balance_a05,qrels,1000,1.0,1.0,0.2462,1.0,5.616
scidocs,hybrid_rrf_copeland_a03,qrels,1000,1.0,1.0,0.2462,1.0,5.616
scidocs,hybrid_rrf_fas_regularized,qrels,1000,1.0,1.0,0.2462,1.0,5.616
scidocs,hybrid_rrf_priority_topo_a03,qrels,1000,0.9596,0.8981,0.2462,1.0,4.548
scidocs,markov_from_qrels,qrels,500,1.0,1.0,0.2462,1.0,0.0
scidocs,pagerank,qrels,1000,0.9478,0.906,0.2462,1.0,6.116
scidocs,score_sum,qrels,1000,1.0,1.0,0.2462,1.0,5.616
scidocs,tournament_sort_from_qrels,qrels,500,0.8059,0.6518,0.2462,1.0,4.278
scidocs,win_rate_from_qrels,qrels,500,1.0,1.0,0.2462,1.0,0.0
hotpotqa,borda,qrels,994,1.0,1.0,0.1375,1.0,0.8783
hotpotqa,bt_from_qrels,qrels,497,1.0,1.0,0.1375,1.0,0.0
hotpotqa,cross_encoder,cross_encoder,498,0.9499,0.9241,0.1392,1.0,0.4366
hotpotqa,fas_balance_score_prior_alpha_beta,qrels,994,0.9988,0.998,0.1375,1.0,0.8642
hotpotqa,greedy_fas_copeland,qrels,994,0.9948,0.992,0.1375,1.0,0.8491
hotpotqa,greedy_fas_score_augmented_topological,qrels,994,0.8387,0.776,0.1375,1.0,0.1378
hotpotqa,greedy_fas_topological,qrels,994,0.8386,0.7756,0.1375,1.0,0.1308
hotpotqa,greedy_fas_weighted_balance,qrels,994,0.9948,0.992,0.1375,1.0,0.8491
hotpotqa,hybrid_rrf_balance_a05,qrels,994,0.9999,0.9998,0.1375,1.0,0.8773
hotpotqa,hybrid_rrf_copeland_a03,qrels,994,0.9999,0.9998,0.1375,1.0,0.8773
hotpotqa,hybrid_rrf_fas_regularized,qrels,994,1.0,1.0,0.1375,1.0,0.8783
hotpotqa,hybrid_rrf_priority_topo_a03,qrels,994,0.8388,0.7761,0.1375,1.0,0.1429
hotpotqa,markov_from_qrels,qrels,497,1.0,1.0,0.1375,1.0,0.0
hotpotqa,pagerank,qrels,994,0.99,0.9841,0.1375,1.0,0.7948
hotpotqa,score_sum,qrels,994,1.0,1.0,0.1375,1.0,0.8783
hotpotqa,tournament_sort_from_qrels,qrels,497,1.0,1.0,0.1375,1.0,0.0
hotpotqa,win_rate_from_qrels,qrels,497,1.0,1.0,0.1375,1.0,0.0
bright,borda,qrels,142,1.0,1.0,0.204,1.0,2.8732
bright,bt_from_qrels,qrels,71,1.0,1.0,0.204,1.0,0.0
bright,cross_encoder,cross_encoder,197,0.8877,0.8424,0.7131,1.0,0.6197
bright,fas_balance_score_prior_alpha_beta,qrels,142,1.0,0.9999,0.204,1.0,2.8662
bright,greedy_fas_copeland,qrels,142,0.9989,0.9974,0.204,1.0,2.8592
bright,greedy_fas_score_augmented_topological,qrels,142,0.8582,0.7906,0.204,1.0,1.6268
bright,greedy_fas_topological,qrels,142,0.8562,0.7863,0.204,1.0,1.6972
bright,greedy_fas_weighted_balance,qrels,142,0.9989,0.9974,0.204,1.0,2.8592
bright,hybrid_rrf_balance_a05,qrels,142,1.0,1.0,0.204,1.0,2.8732
bright,hybrid_rrf_copeland_a03,qrels,142,1.0,1.0,0.204,1.0,2.8732
bright,hybrid_rrf_fas_regularized,qrels,142,1.0,1.0,0.204,1.0,2.8732
bright,hybrid_rrf_priority_topo_a03,qrels,142,0.859,0.792,0.204,1.0,1.662
bright,markov_from_qrels,qrels,71,1.0,1.0,0.204,1.0,0.0
bright,pagerank,qrels,142,0.9704,0.9553,0.204,1.0,3.3803
bright,score_sum,qrels,142,1.0,1.0,0.204,1.0,2.8732
bright,tournament_sort_from_qrels,qrels,71,0.6999,0.5776,0.204,1.0,0.6338
bright,win_rate_from_qrels,qrels,71,1.0,1.0,0.204,1.0,0.0
