protocol,regime,method_key,method,dataset_macro_mean_ndcg,dataset_macro_median_ndcg,datasets_count,average_method_rank
primary_minmax_retention_matched,ms1,balance_graph,Balance unrepaired,0.5391505021892283,0.511170106792759,4,8.25
primary_minmax_retention_matched,ms1,balance_graph_repaired,Balance repaired,0.5393650791402174,0.5132138394264804,4,8.25
primary_minmax_retention_matched,ms1,borda_fuse,Borda fusion,0.5445691844672302,0.5337784457819688,4,6.0
primary_minmax_retention_matched,ms1,combsum,CombSUM,0.5541194773697556,0.5365269434608769,4,3.25
primary_minmax_retention_matched,ms1,copeland_graph,Copeland unrepaired,0.5303080468913566,0.5298684599979425,4,11.0
primary_minmax_retention_matched,ms1,copeland_graph_repaired,Copeland repaired,0.5343435013016692,0.5041054711244604,4,11.0
primary_minmax_retention_matched,ms1,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.5470247223537742,0.5346117878340167,4,6.0
primary_minmax_retention_matched,ms1,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.5458391796805884,0.5289107668807799,4,6.5
primary_minmax_retention_matched,ms1,hybrid_unrepaired_balance_a0p3_minmax,Balance hybrid unrepaired,0.5482309116529156,0.5333235521449666,4,4.75
primary_minmax_retention_matched,ms1,hybrid_unrepaired_copeland_a0p3_minmax,Copeland hybrid unrepaired,0.541632879364486,0.5238421692325316,4,9.0
primary_minmax_retention_matched,ms1,markov_graph,Markov unrepaired,0.5371464031940141,0.4933500067697377,4,9.5
primary_minmax_retention_matched,ms1,markov_graph_repaired,Markov repaired,0.5370703848336947,0.49345144338862884,4,9.25
primary_minmax_retention_matched,ms1,prior_only,Prior,0.5449063611405328,0.5259608548477609,4,6.75
primary_minmax_retention_matched,ms1,rrf,RRF,0.5462225172671649,0.5335868375788562,4,5.5
primary_minmax_retention_matched,ms1_drop_mutual,balance_graph,Balance unrepaired,0.5382780233727019,0.5235352851004479,4,7.25
primary_minmax_retention_matched,ms1_drop_mutual,balance_graph_repaired,Balance repaired,0.5382908789267024,0.5235352851004479,4,6.75
primary_minmax_retention_matched,ms1_drop_mutual,borda_fuse,Borda fusion,0.5445691844672302,0.5337784457819688,4,6.75
primary_minmax_retention_matched,ms1_drop_mutual,combsum,CombSUM,0.5541194773697556,0.5365269434608769,4,3.0
primary_minmax_retention_matched,ms1_drop_mutual,copeland_graph,Copeland unrepaired,0.5305300192754129,0.529726553309798,4,11.25
primary_minmax_retention_matched,ms1_drop_mutual,copeland_graph_repaired,Copeland repaired,0.5306762145960113,0.529726553309798,4,10.75
primary_minmax_retention_matched,ms1_drop_mutual,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.5462026654470157,0.5322071612916592,4,4.25
primary_minmax_retention_matched,ms1_drop_mutual,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.5412053684857423,0.5238421692325316,4,9.0
primary_minmax_retention_matched,ms1_drop_mutual,hybrid_unrepaired_balance_a0p3_minmax,Balance hybrid unrepaired,0.5461835265478563,0.5317286888126727,4,5.25
primary_minmax_retention_matched,ms1_drop_mutual,hybrid_unrepaired_copeland_a0p3_minmax,Copeland hybrid unrepaired,0.5411632480737492,0.5238421692325316,4,10.0
primary_minmax_retention_matched,ms1_drop_mutual,markov_graph,Markov unrepaired,0.5359241162336307,0.5013767500113837,4,10.0
primary_minmax_retention_matched,ms1_drop_mutual,markov_graph_repaired,Markov repaired,0.5360823675590947,0.5013767500113837,4,9.5
primary_minmax_retention_matched,ms1_drop_mutual,prior_only,Prior,0.5449063611405328,0.5259608548477609,4,6.5
primary_minmax_retention_matched,ms1_drop_mutual,rrf,RRF,0.5462225172671649,0.5335868375788562,4,4.75
primary_minmax_retention_matched,ms2,balance_graph,Balance unrepaired,0.536071413904117,0.5288613212920706,4,10.25
primary_minmax_retention_matched,ms2,balance_graph_repaired,Balance repaired,0.536071413904117,0.5288613212920706,4,9.25
primary_minmax_retention_matched,ms2,borda_fuse,Borda fusion,0.5445691844672302,0.5337784457819688,4,6.25
primary_minmax_retention_matched,ms2,combsum,CombSUM,0.5541194773697556,0.5365269434608769,4,3.0
primary_minmax_retention_matched,ms2,copeland_graph,Copeland unrepaired,0.5305629544725776,0.5185755117070263,4,12.0
primary_minmax_retention_matched,ms2,copeland_graph_repaired,Copeland repaired,0.5305629544725776,0.5185755117070263,4,11.0
primary_minmax_retention_matched,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.5470569138428639,0.5324681613009304,4,3.5
primary_minmax_retention_matched,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.546702868947673,0.5330867586184207,4,4.25
primary_minmax_retention_matched,ms2,hybrid_unrepaired_balance_a0p3_minmax,Balance hybrid unrepaired,0.5470569138428639,0.5324681613009304,4,4.5
primary_minmax_retention_matched,ms2,hybrid_unrepaired_copeland_a0p3_minmax,Copeland hybrid unrepaired,0.546702868947673,0.5330867586184207,4,5.25
primary_minmax_retention_matched,ms2,markov_graph,Markov unrepaired,0.5296814803415902,0.5224470418238717,4,12.75
primary_minmax_retention_matched,ms2,markov_graph_repaired,Markov repaired,0.5296814803415902,0.5224470418238717,4,11.75
primary_minmax_retention_matched,ms2,prior_only,Prior,0.5449063611405328,0.5259608548477609,4,6.5
primary_minmax_retention_matched,ms2,rrf,RRF,0.5462225172671649,0.5335868375788562,4,4.75
