dataset,protocol,protocol_label,protocol_kind,calibration,threshold_mode,regime,usable_query_count,mean_candidate_count,mean_edge_count,graph_density,mutual_pair_count,pct_queries_with_mutual_pair,cyclic_query_pct,cyclic_query_pct_after_mutual_deletion,mean_largest_scc,mean_largest_scc_after_mutual_deletion,mean_total_graph_weight,mean_normalized_graph_weight,mean_fas_edges_removed,mean_fas_weight_removed,mean_normalized_fas_weight_removed,mutual_pair_weight_share,scc_count_gt1,directed_triangle_count,removed_edge_overlap_with_raw,removed_edge_overlap_with_primary,three_regime_intersection_query_count
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms2,120,20.0,68.55833333333334,0.18041666666666664,0.0,0.0,0.0,0.0,1.0,1.0,77.49348955856549,1.1315719061602618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1,120,20.0,205.925,0.5419078947368422,24.108333333333334,0.9916666666666667,0.9916666666666667,0.10833333333333334,16.166666666666668,1.9083333333333334,117.36030129481291,0.5663776409664479,42.3,8.933634805093877,0.07441932784650404,0.17359489494322194,1.1083333333333334,128.03333333333333,0.09024260986997674,1.0,120
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1_drop_mutual,120,20.0,159.18333333333334,0.41890350877192983,0.0,0.0,0.11666666666666667,0.11666666666666667,1.9333333333333333,1.9333333333333333,95.82775266702531,0.6041514072150089,1.1,0.14762442547161095,0.0019859998674859793,0.0,0.125,0.4,0.8502032520325203,1.0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms2,120,20.0,44.65,0.1175,0.0,0.0,0.0,0.0,1.0,1.0,49.958806740473094,1.1192734569491807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1,120,20.0,194.275,0.51125,18.766666666666666,0.9833333333333333,0.9833333333333333,0.30833333333333335,16.125,3.325,97.1632866513896,0.49911987876194164,38.858333333333334,7.9744297222162865,0.08010147791155954,0.16872012040167422,1.1416666666666666,98.39166666666667,0.05461699467996864,1.0,120
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1_drop_mutual,120,20.0,158.30833333333334,0.41660087719298244,0.0,0.0,0.30833333333333335,0.30833333333333335,3.3833333333333333,3.3833333333333333,79.93286205125837,0.5066271608853833,1.95,0.25146013759326963,0.003683749883198899,0.0,0.31666666666666665,0.7166666666666667,0.6358285537561854,1.0,120
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms2,52,10.0,24.153846153846153,0.26837606837606837,0.0,0.0,0.0,0.0,1.0,1.0,32.49679234875283,1.371281734037641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1,52,10.0,46.53846153846154,0.5170940170940171,3.730769230769231,0.6346153846153846,0.6346153846153846,0.019230769230769232,4.0576923076923075,1.1346153846153846,37.75481374585771,0.815107851496761,5.1923076923076925,1.172998274039219,0.028817323668680176,0.08730138881830193,0.7884615384615384,7.634615384615385,0.3284862397259112,1.0,52
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1_drop_mutual,52,10.0,39.11538461538461,0.4346153846153846,0.0,0.0,0.019230769230769232,0.019230769230769232,1.1346153846153846,1.1346153846153846,34.21654326269528,0.8862793842476451,0.019230769230769232,0.0007512244750838415,3.696256532717419e-05,0.0,0.019230769230769232,0.0,0.9807692307692307,1.0,52
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms2,50,20.0,21.18,0.055736842105263154,0.0,0.0,0.0,0.0,1.0,1.0,25.13214274298,1.0836842996709715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1,50,20.0,142.08,0.3738947368421053,10.38,0.92,0.92,0.22,10.82,3.1,73.60486139387788,0.5252623344386967,19.62,4.369517435163047,0.0547970834928075,0.12352270476899035,1.04,48.44,0.11000074520621386,1.0,50
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,minmax_query_ranker,retention_matched,ms1_drop_mutual,50,20.0,121.16,0.3188421052631579,0.0,0.0,0.22,0.22,3.08,3.08,63.5545733143069,0.5301421388482804,1.1,0.13593962443837876,0.002798994803778616,0.0,0.22,0.36,0.7266666666666667,1.0,50
