stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.030873,0.030873,0.030873,0.030873
candidate_selection,1,0.001518,0.001518,0.001518,0.001518
pairwise_preference_generation,50,0.00367,7.3e-05,7.2e-05,0.00011
graph_construction,50,0.002647,5.3e-05,4.4e-05,0.000365
cycle_detection,50,0.000836,1.7e-05,1.6e-05,4.2e-05
greedy_fas_solver,50,0.019216,0.000384,0.000344,0.000997
ranking_score_sum,50,0.000782,1.6e-05,1.5e-05,2.4e-05
ranking_borda,50,0.000621,1.2e-05,1.2e-05,2.9e-05
ranking_pagerank,50,0.303267,0.006065,0.00188,0.198455
ranking_topological,50,0.002015,4e-05,3.9e-05,6.9e-05
ranking_fas_weighted_balance,50,0.000993,2e-05,1.9e-05,6.9e-05
ranking_fas_copeland,50,0.00089,1.8e-05,1.6e-05,6.5e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.00151,3e-05,2.8e-05,8.1e-05
ranking_fas_score_augmented_topological,50,0.001174,2.3e-05,2.2e-05,4.8e-05
ranking_hybrid_rrf_fas_regularized,50,0.0012,2.4e-05,2.4e-05,4.1e-05
ranking_hybrid_rrf_balance_a05,50,0.000976,2e-05,1.9e-05,2.5e-05
ranking_hybrid_rrf_copeland_a03,50,0.000971,1.9e-05,1.9e-05,5.1e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.0025,5e-05,3.6e-05,0.000669
evaluation,50,0.033973,0.000679,0.000677,0.00075
total_pipeline,1,0.405425,0.405425,0.405425,0.405425
