n_items,seed,n_nodes,n_edges,n_vars,n_constraints,solver,status,proven_optimal,gap,time_s,objective,error
15,42,15,105,210,1015,scip,optimal,True,0.0,0.021243810653686523,3.5146727774141997,
15,42,15,105,210,1015,gurobi,2,True,0.0,0.021641969680786133,3.514672777414202,
15,123,15,105,210,1015,scip,optimal,True,0.0,0.009940147399902344,4.507218547735496,
15,123,15,105,210,1015,gurobi,2,True,0.0,0.009226560592651367,4.507218547735496,
20,42,20,190,380,2470,scip,optimal,True,0.0,0.06225752830505371,9.408846369440042,
20,42,20,190,380,2470,gurobi,2,True,0.0,0.03464150428771973,9.408846369440049,
20,123,20,190,380,2470,scip,optimal,True,0.0,0.02853083610534668,9.128240411665107,
20,123,20,190,380,2470,gurobi,2,True,0.0,0.022099971771240234,9.128240411665097,
25,42,25,300,600,4900,scip,optimal,True,0.0,0.07175683975219727,15.30250737454439,
25,42,25,300,600,4900,gurobi,2,True,0.0,0.0648033618927002,15.302507374544378,
25,123,25,300,600,4900,scip,optimal,True,0.0,0.042714595794677734,12.18194328759379,
25,123,25,300,600,4900,gurobi,2,True,0.0,0.04565143585205078,12.181943287593768,
30,42,30,435,870,8555,scip,optimal,True,0.0,5.933728456497192,27.360838057939056,
30,42,30,435,870,8555,gurobi,2,True,0.0,0.4588615894317627,27.36083805793902,
30,123,30,435,870,8555,scip,optimal,True,0.0,10.986266136169434,29.396823801758405,
30,123,30,435,870,8555,gurobi,2,True,0.0,0.274489164352417,29.39682380175844,
40,42,40,780,,,scip,timelimit_or_gap,False,,30.11669921875,,Exact MWFAS solve did not reach proven optimality: SCIP did not report proven-optimal status (got 'timelimit').
40,42,40,780,1560,20540,gurobi,2,True,0.0,4.4896080493927,45.30622689940411,
40,123,40,780,,,scip,timelimit_or_gap,False,,30.121700525283813,,Exact MWFAS solve did not reach proven optimality: SCIP did not report proven-optimal status (got 'timelimit').
40,123,40,780,1560,20540,gurobi,2,True,0.0,9.629736185073853,50.481742037264354,
50,42,50,1225,,,scip,timelimit_or_gap,False,,30.225779056549072,,Exact MWFAS solve did not reach proven optimality: SCIP did not report proven-optimal status (got 'timelimit').
50,42,50,1225,2450,40425,gurobi,9,False,0.06325152945472245,30.233436822891235,75.34182115175345,Gurobi status 9 (not GRB.OPTIMAL)
50,123,50,1225,,,scip,timelimit_or_gap,False,,30.220170736312866,,Exact MWFAS solve did not reach proven optimality: SCIP did not report proven-optimal status (got 'timelimit').
50,123,50,1225,2450,40425,gurobi,9,False,0.03333032011872502,30.237186193466187,81.80220823884198,Gurobi status 9 (not GRB.OPTIMAL)
