stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.3e-05,7.3e-05,7.3e-05,7.3e-05
pairwise_preference_generation,1,0.000321,0.000321,0.000321,0.000321
graph_construction,1,0.002773,0.002773,0.002773,0.002773
cycle_detection,1,0.000211,0.000211,0.000211,0.000211
ranking_score_sum,1,9.9e-05,9.9e-05,9.9e-05,9.9e-05
ranking_borda,1,3.5e-05,3.5e-05,3.5e-05,3.5e-05
greedy_fas_solver,1,0.009924,0.009924,0.009924,0.009924
ranking_topological,1,0.000126,0.000126,0.000126,0.000126
evaluation,1,0.000304,0.000304,0.000304,0.000304
total_experiment,1,0.014017,0.014017,0.014017,0.014017
