method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,500,11.232,11.0,22.0,4.0,11.232,11.0,22,0.612799982,0.621053,0.915789,0.48498571399999996,1.0,1.0,0.2462,1.0,1.0,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
borda,500,11.232,11.0,22.0,4.0,11.232,11.0,22,0.612799982,0.621053,0.915789,0.48498571399999996,1.0,1.0,0.2462,1.0,1.0,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
pagerank,500,12.232,12.0,22.0,3.0,12.232,12.0,22,0.347284176,0.347368,0.652632,0.42241904599999996,0.8955541100000001,0.8119696279999999,0.2462,1.0,0.938867306,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
greedy_fas_topological,500,9.712,10.0,22.0,0.0,9.712,10.0,22,0.28618949800000004,0.284211,0.652632,0.31895236,0.910319444,0.7744082640000001,0.2462,1.0,0.8619129360000001,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
greedy_fas_weighted_balance,500,11.216,11.0,25.0,4.0,11.216,11.0,25,0.568484194,0.578947,0.894737,0.464438102,0.9988245020000001,0.996504372,0.2462,1.0,0.997484174,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
greedy_fas_copeland,500,11.216,11.0,25.0,4.0,11.216,11.0,25,0.568484194,0.578947,0.894737,0.464438102,0.9988245020000001,0.996504372,0.2462,1.0,0.997484174,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
greedy_fas_score_augmented_topological,500,8.854,9.0,22.0,0.0,8.854,9.0,22,0.12597894599999998,0.136842,0.452632,0.347795194,0.917116804,0.7911533439999999,0.2462,1.0,0.882376078,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
fas_balance_score_prior_alpha_beta,500,11.23,11.0,22.0,4.0,11.23,11.0,22,0.5564842019999999,0.557895,0.894737,0.46650000199999997,0.999942908,0.999819048,0.2462,1.0,0.9999199999999999,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
hybrid_rrf_fas_regularized,500,11.232,11.0,22.0,4.0,11.232,11.0,22,0.5574105180000001,0.557895,0.894737,0.473166668,1.0,1.0,0.2462,1.0,1.0,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
hybrid_rrf_balance_a05,500,11.232,11.0,22.0,4.0,11.232,11.0,22,0.556778924,0.557895,0.894737,0.46958097800000004,1.0,1.0,0.2462,1.0,1.0,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
hybrid_rrf_copeland_a03,500,11.232,11.0,22.0,4.0,11.232,11.0,22,0.5570105099999999,0.557895,0.894737,0.471676202,1.0,1.0,0.2462,1.0,1.0,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
hybrid_rrf_priority_topo_a03,500,9.096,9.0,23.0,0.0,9.096,9.0,23,0.13869473999999998,0.136842,0.526316,0.355695194,0.9191927520000001,0.796238448,0.2462,1.0,0.886260346,0.004645408,0.0043975,0.11757,20.0,74.132,99.8,11.062,11.232,4.752,11.232,4.752
