file,disposition,rationale
README.md,edited,"'Key Finding' canonical-package paragraph, Documentation Index table, repo-tree diagram comment, and Current-Status table row all rewritten to name reports/full_calibrated_core/ as current canonical evidence, the real-LLM exploratory base with its 6-query caveat, and outputs/pub_vote_cmp_all4/v2 as historical"
docs/READ_ME_FIRST_FOR_AI.md,edited,'Fast orientation' steps 2/4/6 rewritten the same way; added a top-of-file note deferring to PROJECT_STATUS.md as the canonical entry point
reports/README.md,edited,Added an explicit historical banner above the pub_vote_cmp-era document table; added a 'start here' pointer to PROJECT_STATUS.md and the current IR evidence audit/meta-audit
PROJECT_STATUS.md,edited,"Corrected the 'canonical, committed evidence' bullet; added a new documentation-authority-map row pointing evidence-to-claim mapping at the new EVIDENCE_PROVENANCE_20260730.md; demoted (not deleted) the row pointing at the two stale evidence-inventory CSVs"
papers/JDIQ_2026/README.md,edited (narrow),Only the two file-index rows for MASTER_EVIDENCE_INVENTORY.csv and SECTION_EVIDENCE_MAP.csv were marked STALE with a pointer to the new evidence-provenance file. The rest of the file (including its own 'Main results: outputs/pub_vote_cmp_all4/paper_package/' line under 'Canonical evidence sources') was left untouched -- see next row
"papers/JDIQ_2026/README.md (the 'Canonical evidence sources' section, line ~66)","reviewed, left unedited","This file already carries a large, explicit top-of-file SUPERSEDED (2026-07-14) banner stating the file predates the completed manuscript and directing readers to main.tex directly and docs/REPRODUCTION_CANONICAL.md for reproduction -- that existing banner already covers the 'Main results: pub_vote_cmp_all4' line below it. Editing the line itself would have been redundant with an already-correct existing mechanism and risked scope creep into a file this stage did not otherwise need to touch."
papers/JDIQ_2026/CANONICAL_PAPER_STORY.md,"reviewed, left unedited","Contains one pub_vote_cmp_all4 citation (S3: 'Regime-specific positive case, HotpotQA ms1') as one data point within a multi-source narrative-strategy document, not a blanket 'this is canonical' claim. Editing this responsibly requires understanding the full narrative-strategy argument the file is making, which is a scientific-narrative judgment call this stage's brief explicitly excludes ('do not rewrite the manuscript's scientific narrative yet')."
papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv,"reviewed, left unedited (content)","Historical provenance; not modified byte-for-byte. Superseded via papers/JDIQ_2026/README.md row + PROJECT_STATUS.md row + new EVIDENCE_PROVENANCE_20260730.md, not by editing the CSV's own content (which would have altered a historical record)."
papers/JDIQ_2026/SECTION_EVIDENCE_MAP.csv,"reviewed, left unedited (content)",Same rationale as MASTER_EVIDENCE_INVENTORY.csv above.
"~40 other files matching grep for pub_vote_cmp_all4 (experiments/*/, outputs/*/README.md, docs/research/*, papers/JDIQ_2026/manuscript/*_AUDIT.md, papers/negative_result_2026/CLAIMS_AND_EVIDENCE.md, figures/*/README.md, etc.)","reviewed at the grep level, left unedited","Not read individually in full; identified via `grep -rln ""pub_vote_cmp_all4"" --include=""*.md"" .` (see validation_results.md Sec.1) as out of scope for this stage -- these are dated audit/planning/narrative documents, not the 'highest-risk entry point' documents (README.md, docs/READ_ME_FIRST_FOR_AI.md, reports/README.md, PROJECT_STATUS.md) the brief specifically named. Flagged here so this list is not silently incomplete; a future stage focused on documentation consolidation (not this hygiene/reproducibility stage) should work through them individually."
docs/REPRODUCTION_CANONICAL.md,"reviewed, left unedited","Already correctly documents reports/full_calibrated_core/ as canonical and already explicitly supersedes docs/REPRODUCTION_Q1.md (the pub_vote_cmp-era guide) -- this file was the *reason* the fix elsewhere was straightforward (pointing to an already-correct doc rather than authoring new canonical-package prose). Its own pipeline map (Layers 1-3) predates the 2026-07-15 final_revision_task1/task4 families and reports/exact_open_source_ilp_repair_investigation/ (also 2026-07-15) and reports/repository_scale_headroom_analysis/, so it is itself now slightly incomplete relative to the full evidence base run_ir_evidence_audit.py uses -- flagged as a deferred follow-up, not fixed in this stage (would require adding new Layer 4-6 rows, a larger edit than this stage's narrow mandate)."
