path,change_type,reason
.gitignore,content edit,"Added surgical carve-out (negation + re-exclusion) for reports/final_revision_task1_pool_cutoff_20260715/ and .../task4_exact_baseline_fairness_20260715/, so their small canonical tables are tracked while the bulky outputs/ trees and two large unused CSVs stay local"
PROJECT_STATUS.md,content edit,"Corrected the 'canonical, committed evidence' bullet that named outputs/pub_vote_cmp_all4/paper_package/ as the mature program's canonical package; added the actual current canonical path (reports/full_calibrated_core/...); flagged MASTER_EVIDENCE_INVENTORY.csv/SECTION_EVIDENCE_MAP.csv as stale in the documentation-authority map, pointing to the new EVIDENCE_PROVENANCE_20260730.md"
README.md,content edit,"Replaced the 'Key Finding' canonical-package paragraph, Documentation Index table, repo-tree diagram comment, and Current-Status table row that all named outputs/pub_vote_cmp_all4/ as canonical; now distinguishes current classical-study canonical evidence (full_calibrated_core), real-LLM exploratory evidence, and the historical pub_vote_cmp_* package explicitly"
docs/READ_ME_FIRST_FOR_AI.md,content edit,"Rewrote the 'Fast orientation' step 2/4/6 pointers (previously 100% pub_vote_cmp_all4-oriented) to name the current classical-study canonical evidence, the real-LLM exploratory evidence (with its 6-query caveat), and the historical package explicitly; added a top-of-file note deferring to PROJECT_STATUS.md"
reports/README.md,content edit,"Added an explicit 'historical (2026-03/04, pub_vote_cmp_all4/v2 era)' banner above the existing publication-audit document table; added a 'start here' pointer to PROJECT_STATUS.md and the current IR evidence audit + meta-audit"
papers/JDIQ_2026/README.md,content edit,"Marked the MASTER_EVIDENCE_INVENTORY.csv and SECTION_EVIDENCE_MAP.csv file-index rows STALE (2026-07-30) with a pointer to the new EVIDENCE_PROVENANCE_20260730.md; the file's existing top-of-file SUPERSEDED banner (already correct, unedited) was left as-is"
papers/JDIQ_2026/manuscript/main.tex,content edit,"Added \input{generated_macros} to the preamble; replaced 6 categories of hand-typed literals (dataset query counts, CombSUM/RRF nDCG, larger-pool Holm-significant counts, dataset count) with the corresponding macros, verified value-for-value identical to what was previously hand-typed"
src/consistency_ranker/statistical_inference.py,content edit (additive),"Added is_significant_pvalue() and parse_numeric_threshold(), two new pure functions; no existing function was modified. Full test suite (1237 tests) re-run and passed after this change."
papers/JDIQ_2026/EVIDENCE_PROVENANCE_20260730.md,new file,"Current evidence-to-claim mapping superseding MASTER_EVIDENCE_INVENTORY.csv/SECTION_EVIDENCE_MAP.csv for lookups, per Stage 1.6"
papers/JDIQ_2026/manuscript/generated_macros.tex,new file (generated),"Output of scripts/generate_manuscript_macros.py; \input by main.tex"
scripts/generate_manuscript_macros.py,new file,"Generator for the manuscript-results interface demo (Stage 1.5)"
scripts/check_manuscript_macro_drift.py,new file,"Drift detector between canonical source tables and generated_macros.tex/main.tex (Stage 1.5)"
tests/test_holm_pvalue_boolean_regression.py,new file,"15 regression tests for the holm_active_ms1_family boolean-vs-float-pvalue bug (Stage 1.4)"
tests/test_numeric_threshold_parsing_regression.py,new file,"20 regression tests for the .holm_significant_at_0.05 attribute-parsing bug and general numeric-threshold parsing (Stage 1.4)"
tests/test_manuscript_macro_drift.py,new file,"pytest wrapper around scripts/check_manuscript_macro_drift.py (Stage 1.5)"
"reports/final_revision_task1_pool_cutoff_20260715/{FINAL_REPORT.md,manifests/*,run_manifests/*,scripts/*,tables/* (excluding pool_cutoff_method_metrics.csv and pool_cutoff_exact_pair_metrics.csv),validation/*}",newly tracked (git add),"Un-gitignored per the new .gitignore carve-out; these files already existed on disk (produced 2026-07-15) and were not created by this stage -- only their tracked status changed"
"reports/final_revision_task4_exact_baseline_fairness_20260715/* (in full)",newly tracked (git add),"Same as above; whole directory is only ~1.7MB so no further exclusion was needed"
reports/repo_cleanup_stage1_20260730T004010Z/*,new files,"This stage's own deliverables"
src/consistency_ranker/baseline_ranking.py,NOT MODIFIED BY THIS STAGE,"Pre-existing uncommitted change from earlier in this session (HodgeRank scorer, part of the extraction_study work); left exactly as found, per the safeguards step's declared scope"
