dataset,query_id,method,n_candidates,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency,api_calls,cache_hits,prompt_tokens,completion_tokens,total_tokens,parse_failures
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,llm_pointwise,15,1.0,1.0,0.333333,1.0,0,0,15,0,4670,15,4685,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,llm_pointwise,15,0.862591,0.695076,0.266667,1.0,9.0,9,15,0,5151,15,5166,0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,llm_pointwise,15,0.963401,0.890909,0.333333,1.0,6.0,6,15,0,5658,15,5673,0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,llm_pointwise,15,0.893007,0.768333,0.333333,1.0,6.0,6,15,0,5245,15,5260,0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,llm_pointwise,15,1.0,1.0,0.333333,1.0,0,0,15,0,4992,15,5007,0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,llm_pointwise,15,0.91168,0.766667,0.333333,1.0,10.0,10,15,0,6203,15,6218,0
scidocs,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,llm_pointwise,15,1.0,1.0,0.333333,1.0,0,0,15,0,4916,15,4931,0
scidocs,b37225fc67e1aeeb7877c4691f9036ed5cc01efa,llm_pointwise,15,0.932618,0.810256,0.333333,1.0,10.0,10,15,0,5334,15,5349,0
scidocs,4ec90b7da43e6438cbdc756624b1083f30288064,llm_pointwise,15,0.654617,0.421212,0.333333,1.0,28.0,28,15,0,6121,15,6136,0
scidocs,78495383450e02c5fe817e408726134b3084905d,llm_pointwise,15,0.743486,0.477489,0.333333,1.0,26.0,26,15,0,4977,15,4992,0
scidocs,28f3343d2419147213e7580934cfc4e0cb88b088,llm_pointwise,15,0.845559,0.62381,0.333333,1.0,23.0,23,15,0,4926,15,4941,0
scidocs,c4e76b318149a106563d53892dde801a37a637cc,llm_pointwise,15,1.0,1.0,0.333333,1.0,0,0,15,0,5910,15,5925,0
scidocs,5f1f12015d55c51764be27df92de175d2de8ee0d,llm_pointwise,15,1.0,1.0,0.333333,1.0,0,0,15,0,5610,15,5625,0
scidocs,8bb49c0658d7b7cff42c655a6d7e005372ad32ea,llm_pointwise,15,0.938722,0.826667,0.333333,1.0,11.0,11,15,0,4539,15,4554,0
scidocs,9e76a700f03ef476b964b27e23c071163e44c232,llm_pointwise,15,1.0,1.0,0.333333,1.0,0,0,15,0,5137,15,5152,0
scidocs,7445178858159988f2b17aa21376e13767fce5a6,llm_pointwise,15,0.975788,0.925,0.333333,1.0,3.0,3,15,0,4924,15,4939,0
scidocs,b47402a9a68f23b548ae6e0349700ea651b7a373,llm_pointwise,15,0.974743,0.926667,0.333333,1.0,2.0,2,15,0,5148,15,5163,0
scidocs,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,llm_pointwise,15,0.953585,0.866667,0.333333,1.0,10.0,10,15,0,4870,15,4885,0
scidocs,ac24b99a5db633ce45f053287ca806157fff9663,llm_pointwise,15,0.512459,0.289286,0.333333,1.0,35.0,35,15,0,4159,15,4174,0
scidocs,4a343313042b654c7d85313de3d88486a1d0e9de,llm_pointwise,15,1.0,1.0,0.266667,1.0,0,0,15,0,5035,15,5050,0
