stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.030429,0.030429,0.030429,0.030429
candidate_selection,1,0.001475,0.001475,0.001475,0.001475
pairwise_preference_generation,500,0.034922,7e-05,6.9e-05,0.000167
graph_construction,500,0.0223,4.5e-05,4.1e-05,0.000424
cycle_detection,500,0.007949,1.6e-05,1.5e-05,4.6e-05
greedy_fas_solver,500,0.170664,0.000341,0.000322,0.000971
ranking_score_sum,500,0.006678,1.3e-05,1.3e-05,3.2e-05
ranking_borda,500,0.00558,1.1e-05,1.1e-05,2.7e-05
ranking_pagerank,500,1.226402,0.002453,0.001805,0.189289
ranking_topological,500,0.019191,3.8e-05,3.7e-05,0.000107
ranking_fas_weighted_balance,500,0.009058,1.8e-05,1.8e-05,5.4e-05
ranking_fas_copeland,500,0.008592,1.7e-05,1.6e-05,4.4e-05
ranking_fas_score_augmented_topological,500,0.011317,2.3e-05,2.2e-05,7.1e-05
ranking_hybrid_rrf_fas_regularized,500,0.012726,2.5e-05,2.5e-05,6.8e-05
ranking_hybrid_rrf_balance_a05,500,0.01013,2e-05,2e-05,5e-05
ranking_hybrid_rrf_copeland_a03,500,0.009685,1.9e-05,1.9e-05,4.5e-05
ranking_hybrid_rrf_priority_topo_a03,500,0.018388,3.7e-05,3.6e-05,9.5e-05
evaluation,500,0.308712,0.000617,0.000611,0.001608
total_pipeline,1,2.1283,2.1283,2.1283,2.1283
