stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.337871,0.337871,0.337871,0.337871
candidate_selection,1,0.006946,0.006946,0.006946,0.006946
pairwise_preference_generation,50,0.008706,0.000174,0.000174,0.000228
graph_construction,50,0.009411,0.000188,0.000175,0.000747
cycle_detection,50,0.001716,3.4e-05,3.4e-05,5e-05
greedy_fas_solver,50,0.038742,0.000775,0.00077,0.001128
ranking_score_sum,50,0.001908,3.8e-05,3.8e-05,5.4e-05
ranking_borda,50,0.000943,1.9e-05,1.8e-05,3.2e-05
ranking_pagerank,50,0.293442,0.005869,0.001427,0.184325
ranking_topological,50,0.003448,6.9e-05,6.7e-05,9.7e-05
ranking_fas_weighted_balance,50,0.002436,4.9e-05,4.8e-05,8.4e-05
ranking_fas_copeland,50,0.001343,2.7e-05,2.6e-05,4.2e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.003274,6.5e-05,6.5e-05,8.6e-05
ranking_fas_score_augmented_topological,50,0.00271,5.4e-05,5.3e-05,7e-05
ranking_hybrid_rrf_fas_regularized,50,0.00272,5.4e-05,5.4e-05,7.5e-05
ranking_hybrid_rrf_balance_a05,50,0.002442,4.9e-05,4.9e-05,6.3e-05
ranking_hybrid_rrf_copeland_a03,50,0.001707,3.4e-05,3.2e-05,5.7e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.00474,9.5e-05,9.3e-05,0.000119
evaluation,50,0.080628,0.001613,0.001609,0.001799
total_pipeline,1,0.496289,0.496289,0.496289,0.496289
