dataset,query_id,method,preference_source,preference_source_note,n_nodes,n_edges,graph_density,n_sccs,largest_scc,is_cyclic,n_non_trivial_sccs,scc_cycle_burden,fas_weight_removed,fas_n_edges_removed,graph_ref_bew_pre,graph_ref_bew_post,graph_ref_pic_pre,graph_ref_pic_post,n_eval_candidates,primary_metric,backward_edge_weight,pairwise_inconsistency,kendall_tau,kendall_tau_legacy,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,pairwise_accuracy,runtime_pref_gen_s,runtime_graph_build_s,runtime_cycle_detect_s,runtime_fas_solver_s,runtime_ranking_s,runtime_evaluation_s,runtime_total_s
fiqa,q_fiqa_000132,score_sum,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,24.0,13,0.757895,0.69697,1.0,1.0,0.5,1.0,1.0,0.000274,0.000515,2.2e-05,0.004114,4.5e-05,0.00184,0.193569
fiqa,q_fiqa_000132,borda,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,24.0,13,0.810526,0.69697,1.0,1.0,0.5,1.0,1.0,0.000274,0.000515,2.2e-05,0.004114,2.4e-05,0.00184,0.193569
fiqa,q_fiqa_000132,pagerank,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,39.0,28,0.421053,0.393939,0.890565,0.726079,0.5,1.0,0.820312,0.000274,0.000515,2.2e-05,0.004114,0.186173,0.00184,0.193569
fiqa,q_fiqa_000132,greedy_fas_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,37.0,32,0.273684,0.393939,0.710054,0.756241,0.5,1.0,0.710938,0.000274,0.000515,2.2e-05,0.004114,0.000102,0.00184,0.193569
fiqa,q_fiqa_000132,greedy_fas_weighted_balance,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,30.0,19,0.694737,0.666667,0.99469,0.935437,0.5,1.0,0.953125,0.000274,0.000515,2.2e-05,0.004114,5.5e-05,0.00184,0.193569
fiqa,q_fiqa_000132,greedy_fas_copeland,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,28.0,16,0.715789,0.575758,0.844742,0.990909,0.5,1.0,0.960938,0.000274,0.000515,2.2e-05,0.004114,5.4e-05,0.00184,0.193569
fiqa,q_fiqa_000132,greedy_fas_score_augmented_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,37.0,32,0.242105,0.424242,0.665139,0.762281,0.5,1.0,0.710938,0.000274,0.000515,2.2e-05,0.004114,4.9e-05,0.00184,0.193569
fiqa,q_fiqa_000132,fas_balance_score_prior_alpha_beta,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,29.0,18,0.694737,0.727273,0.995228,0.943012,0.5,1.0,0.960938,0.000274,0.000515,2.2e-05,0.004114,7.7e-05,0.00184,0.193569
fiqa,q_fiqa_000132,hybrid_rrf_fas_regularized,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,30.0,19,0.694737,0.666667,0.99469,0.935437,0.5,1.0,0.953125,0.000274,0.000515,2.2e-05,0.004114,5.8e-05,0.00184,0.193569
fiqa,q_fiqa_000132,hybrid_rrf_balance_a05,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,30.0,19,0.694737,0.666667,0.99469,0.935437,0.5,1.0,0.953125,0.000274,0.000515,2.2e-05,0.004114,4.8e-05,0.00184,0.193569
fiqa,q_fiqa_000132,hybrid_rrf_copeland_a03,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,28.0,16,0.715789,0.575758,0.844742,0.990909,0.5,1.0,0.960938,0.000274,0.000515,2.2e-05,0.004114,3.8e-05,0.00184,0.193569
fiqa,q_fiqa_000132,hybrid_rrf_priority_topo_a03,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,128,0.336842,4,17,True,1,17,50.0,45,24.0,16.0,13,9,20,ndcg_at_k,34.0,29,0.294737,0.424242,0.711685,0.772395,0.5,1.0,0.734375,0.000274,0.000515,2.2e-05,0.004114,8.1e-05,0.00184,0.193569
fiqa,q_fiqa_000485,score_sum,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,50.0,21,0.726316,0.787879,0.999354,0.986111,0.4,1.0,0.99115,0.000277,0.000204,1.9e-05,0.004084,4.1e-05,0.001806,0.009056
fiqa,q_fiqa_000485,borda,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,54.0,25,0.684211,0.636364,0.95991,1.0,0.4,1.0,0.955752,0.000277,0.000204,1.9e-05,0.004084,2.1e-05,0.001806,0.009056
fiqa,q_fiqa_000485,pagerank,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,53.0,24,0.526316,0.606061,0.913937,0.742343,0.4,1.0,0.840708,0.000277,0.000204,1.9e-05,0.004084,0.00213,0.001806,0.009056
fiqa,q_fiqa_000485,greedy_fas_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,72.0,34,0.336842,0.030303,0.679166,0.827083,0.4,1.0,0.734513,0.000277,0.000204,1.9e-05,0.004084,7e-05,0.001806,0.009056
fiqa,q_fiqa_000485,greedy_fas_weighted_balance,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,57.0,26,0.6,0.484848,0.961378,1.0,0.4,1.0,0.946903,0.000277,0.000204,1.9e-05,0.004084,5.7e-05,0.001806,0.009056
fiqa,q_fiqa_000485,greedy_fas_copeland,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,64.0,31,0.568421,0.30303,0.784679,1.0,0.4,1.0,0.884956,0.000277,0.000204,1.9e-05,0.004084,2.9e-05,0.001806,0.009056
fiqa,q_fiqa_000485,greedy_fas_score_augmented_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,59.0,29,0.168421,0.060606,0.722928,0.854385,0.4,1.0,0.778761,0.000277,0.000204,1.9e-05,0.004084,4.6e-05,0.001806,0.009056
fiqa,q_fiqa_000485,fas_balance_score_prior_alpha_beta,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,52.0,23,0.663158,0.636364,0.994517,1.0,0.4,1.0,0.99115,0.000277,0.000204,1.9e-05,0.004084,6.3e-05,0.001806,0.009056
fiqa,q_fiqa_000485,hybrid_rrf_fas_regularized,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,20,113,0.297368,2,19,True,1,19,78.0,38,51.0,24.0,22,9,20,ndcg_at_k,57.0,26,0.6,0.484848,0.961378,1.0,0.4,1.0,0.946903,0.000277,0.000204,1.9e-05,0.004084,4.9e-05,0.001806,0.009056
