method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,50,32.34,32.0,55.0,10.0,16.76,16.0,24,0.64778954,0.663158,0.778947,0.7440902199999999,0.9994619400000001,0.99889596,0.381,1.0,0.9983901199999999,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
borda,50,32.92,32.5,58.0,10.0,17.32,17.0,27,0.66968422,0.684211,0.821053,0.6643389000000001,0.9568268000000001,1.0,0.381,1.0,0.97438626,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
pagerank,50,42.52,39.0,76.0,12.0,24.3,24.0,40,0.43305264,0.452632,0.6,0.57811352,0.89207076,0.8119396000000001,0.381,1.0,0.8798902,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
greedy_fas_topological,50,35.14,34.0,72.0,7.0,23.76,23.5,41,0.30673688,0.33157899999999996,0.515789,0.32934564,0.75607306,0.75802452,0.381,1.0,0.7586099000000001,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
greedy_fas_weighted_balance,50,35.84,35.0,61.0,10.0,20.2,19.0,34,0.5778947200000001,0.578947,0.726316,0.65584158,0.97170714,0.9445167999999999,0.381,1.0,0.9483541200000001,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
greedy_fas_copeland,50,38.6,37.0,72.0,10.0,22.62,22.5,41,0.53936842,0.536842,0.715789,0.50493234,0.87921532,0.94579174,0.381,1.0,0.89840526,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
greedy_fas_score_augmented_topological,50,34.36,32.5,67.0,8.0,23.32,23.0,43,0.15473684000000001,0.168421,0.368421,0.33816308,0.76598446,0.7596102600000001,0.381,1.0,0.7630921,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
fas_balance_score_prior_alpha_beta,50,33.24,32.5,55.0,10.0,17.7,18.0,26,0.60989478,0.610526,0.8,0.7087677800000001,0.9852614599999999,0.9791036,0.381,1.0,0.98089854,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
hybrid_rrf_fas_regularized,50,35.84,35.0,61.0,10.0,20.2,19.0,34,0.5778947200000001,0.578947,0.726316,0.65584158,0.97170714,0.9445167999999999,0.381,1.0,0.9483541200000001,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
hybrid_rrf_balance_a05,50,35.84,35.0,61.0,10.0,20.2,19.0,34,0.5778947200000001,0.578947,0.726316,0.65584158,0.97170714,0.9445167999999999,0.381,1.0,0.9483541200000001,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
hybrid_rrf_copeland_a03,50,38.6,37.0,72.0,10.0,22.62,22.5,41,0.53936842,0.536842,0.715789,0.50493234,0.87921532,0.94579174,0.381,1.0,0.89840526,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
hybrid_rrf_priority_topo_a03,50,33.2,34.0,63.0,7.0,22.22,22.0,38,0.25557888,0.273684,0.515789,0.36898519999999996,0.7916825799999999,0.7647160599999999,0.381,1.0,0.77581946,0.01132598,0.006846,0.193569,20.0,109.32,100.0,40.76,32.42,17.86,16.84,9.02
