Figure_ID,Figure_Name,Priority,Visualization_Type,Source_File,Variables,Output_Size,Section
F01,Preference-Graph Data Quality Evaluation Pipeline,Critical,flowchart with network inset,CONCEPTUAL (CANONICAL_PAPER_STORY.md; global_feature_dictionary.csv),Nodes: rankers→vote regimes→graph→DQ metrics→FAS repair→ranking methods→nDCG@15; inset: 3-node directed cycle,1.5-column,§3 Problem Formulation
F02,Graph Inconsistency by Dataset and Vote-Extraction Regime,Critical,two-panel grouped bar chart,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,"Panel A: x=dataset y=pct_cyclic color=variant(ms2/ms1/ms1_drop_mutual); Panel B: x=dataset y=avg_largest_scc color=variant; 12 rows",double-column,§5 Structural DQ Results
F03,Structural Consistency Improvement After FAS Repair (BEW and PIC),Critical,two-panel grouped bar chart (ms1 only),outputs/pub_vote_cmp_all4/paper_package/tables/table_consistency_qrels_bew.csv; table_graph_ndcg_and_consistency.csv,"Panel A: x=dataset y=mean_bew_pre/post; Panel B: x=dataset y=mean_pic_pre/post; 4 ms1 datasets; annotate mean_fas_weight_removed",1.5-column,§5 Structural DQ Results
F04,Repair Inactivity: FAS Weight Removed vs Retrieval Delta,Important,scatter with CI error bars,table_graph_ndcg_and_consistency.csv; table_bootstrap_delta_ndcg.csv (pair=copeland),"x=mean_fas_weight_removed y=mean_delta_ndcg color=dataset shape=variant; vertical CI [ci95_low,ci95_high]; highlight hotpotqa/ms1",single-column,§5–§6 Bridge
F05,Retrieval Effect of Repair with Bootstrap 95% CIs,Critical,forest plot (horizontal CI),outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,"y=dataset/variant/pair(24 rows,copeland+balance) x=mean_delta_ndcg error=[ci95_low,ci95_high]; ref line x=0; highlight hotpotqa ms1 copeland",double-column landscape,§6 Downstream Results
F06,Pooled Mean nDCG@15 by Ranking Method,Critical,horizontal bar chart with CI,experiments/final_method_gap_audit_20260711_221113/task3/final_baseline_comparison.csv (scope=pooled),"y=method(12) x=mean_ndcg error=[ci95_low,ci95_high]; sort desc; highlight combsum; n=1020",1.5-column,§6 Downstream Results
F07,Distribution of Diagnostic Failure Classes,Critical,horizontal bar chart,experiments/failure_class_audit_20260711_212157/phase_reports/manual_failure_summary.csv,"y=manual_failure_category(6) x=count or pct; labels 64% repair_inactive; annotate mean_delta; N=1020",single-column,§7 Failure Taxonomy
F08,Per-Query SCC Size vs Repair ΔnDCG,Important,scatter (alpha/jitter) or hexbin,experiments/failure_class_audit_20260711_212157/analysis/graph_variant_current_method.csv,"x=largest_scc_size y=current_delta color=dataset shape=is_cyclic; optional facet=graph_variant; ref y=0; 3358 points",1.5-column or supplement,§7 Failure Taxonomy
F09,CARB Benchmark Record Structure,Important,entity-relationship / block diagram,created_data_audit phase10 PROPOSED_DATASET_SCHEMA.md; PROPOSED_RELEASE_STRUCTURE.md; global_feature_dictionary.csv,"Blocks: query×regime×method→features(graph/repair/outcome/label); stats: 440 queries 1020 records 366 methods",1.5-column or supplement,§9 CARB Benchmark
SF01,Per-Dataset Baseline Comparison,Important,faceted horizontal bar chart,final_method_gap_audit/task3/final_baseline_comparison.csv (scope per dataset),"y=method x=mean_ndcg facet=dataset(4) CI bars",double-column,Supplement A
SF02,Fusion Suppression Rates for Hybrid Methods,Important,bar chart or heatmap,final_method_gap_audit/task1/extraction_fusion_complete.csv,"x=hybrid method y=fusion_suppression_rate; filter method contains hybrid_repaired",1.5-column,Supplement B
SF03,Exact vs Greedy Repair Comparison,Important,grouped bar chart,final_method_gap_audit/task2/repair_comparison_real.csv,"x=repair_method(greedy/exact_small_greedy_hybrid/exact_scc_dp20/no_repair) y=mean_ndcg_copeland",single-column,Supplement C
SF04,Regret Decomposition by Failure Class,Optional,stacked bar chart,failure_class_audit/phase_reports/regret_by_failure_class.csv,"x=failure_class y=stacked regret components(6); 6 categories",1.5-column,Supplement D
SF05,HotpotQA ms1 SCC-Stratified Bootstrap,Important,forest plot (3 rows),table_bootstrap_delta_ndcg.csv (hotpotqa ms1); pub_vote_cmp_all4/analysis/hotpotqa_ms1_delta_copeland.json,"y=stratum(all/scc_high/scc_low) x=mean_delta_ndcg CI; n=52/27/25",single-column,Supplement E
SF06,Minimal Intervention for Harmful Cases,Optional,single bar or annotation,failure_class_audit/phase_reports/minimal_intervention_summary.csv,"x=no_repair count=56 (100% harmful cases)",single-column,Supplement F
