stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,1e-06,1e-06,1e-06,1e-06
dataset_loading,1,0.324649,0.324649,0.324649,0.324649
candidate_selection,1,0.006599,0.006599,0.006599,0.006599
pairwise_preference_generation,648,0.136604,0.000211,0.000206,0.000953
graph_construction,648,0.107329,0.000166,0.000161,0.000916
cycle_detection,648,0.01068,1.6e-05,1.5e-05,3.4e-05
greedy_fas_solver,648,1.688196,0.002605,0.002497,0.031368
ranking_score_sum,648,0.023282,3.6e-05,3.6e-05,6.9e-05
ranking_borda,648,0.010951,1.7e-05,1.7e-05,4.4e-05
ranking_pagerank,648,1.184553,0.001828,0.001483,0.178284
ranking_topological,648,0.04323,6.7e-05,6.5e-05,0.000115
ranking_fas_weighted_balance,648,0.026946,4.2e-05,4.1e-05,6.9e-05
ranking_fas_copeland,648,0.017413,2.7e-05,2.6e-05,5.7e-05
ranking_fas_score_augmented_topological,648,0.029046,4.5e-05,4.4e-05,7.4e-05
ranking_hybrid_rrf_fas_regularized,648,0.033586,5.2e-05,5.1e-05,8.4e-05
ranking_hybrid_rrf_balance_a05,648,0.029008,4.5e-05,4.4e-05,7.7e-05
ranking_hybrid_rrf_copeland_a03,648,0.021417,3.3e-05,3.2e-05,6.1e-05
ranking_hybrid_rrf_priority_topo_a03,648,0.052208,8.1e-05,7.9e-05,0.000146
evaluation,648,0.992819,0.001532,0.001532,0.002234
total_pipeline,1,4.846461,4.846461,4.846461,4.846461
