claim,repository_evidence,confidence,status,future_work_required
Repair improves structural consistency,papers/JDIQ_2026/manuscript/main.tex; outputs/pub_vote_cmp_all4/paper_package/tables/table_consistency_qrels_bew.csv -- BEW/PIC decrease after repair in every tested condition,High,Established,None -- settled
Repair improves downstream ranking (in aggregate),"papers/JDIQ_2026/manuscript/main.tex -- 0/60 canonical, 0/110 larger-pool, 0/36-56 exact-repair Holm-significant cells",High,Refuted,None -- settled negative result
Repair is sometimes harmful,"reports/repository_scale_headroom_analysis/per_query_effects.csv -- 27.2% of queries (query-level) have negative mean delta; docs/EVIDENCE_MAP.md (superseded numbers, same qualitative pattern) found harm concentrated in high-SCC queries",Moderate,Strong evidence,"Replicate on a fresh, non-overlapping query sample if pursued further"
Repair utility is heterogeneous across queries,"reports/repository_scale_headroom_analysis/summary.json -- frac_benefit=28.2%, frac_harm=27.2%, frac_neutral=44.6% (query-level); near-symmetric benefit/harm split",High,Established,None -- heterogeneity itself is not in question
Repair utility appears predictable from available pre-repair covariates,"reports/repository_scale_headroom_analysis/predictability_upper_bounds.json -- repair_cost r=0.018, largest_scc_size r=0.026, graph_density r=0.039 (all p<0.0001 but r^2<0.2%); is_cyclic Cohen's d=0.034 (negligible)",High,Unsupported,"A genuinely different feature set (cross-judge signal, component/edge-level features) or reformulation would be required before revisiting"
Oracle headroom exists (nonzero),"reports/repository_scale_headroom_analysis/summary.json -- query-level headroom=0.00251, 95% CI [0.00204, 0.00302], n=419 distinct queries, excludes zero",High,Established,None -- statistically robust at the correct (query-level) unit of analysis
Oracle headroom is practically meaningful,"Same headroom (0.0025) is ~8x smaller than the manuscript's own Holm-adjusted 80%-power minimum-detectable-effect (0.0207, reports/final_revision_task2_statistical_power_20260715/); largest single dataset*regime slice (BRIGHT ms1) reaches only 0.0084, still below the MDE",High,Refuted,None -- headroom is real but below the field's own established practical-significance floor
Headroom is concentrated in high-cyclicity regimes,reports/repository_scale_headroom_analysis/headroom_by_regime.csv -- ms1 headroom 0.0041-0.0084 across datasets; ms1_drop_mutual 0.0000-0.0005; ms2 approximately 0.0000 in every dataset,High,Established,"None -- clean, monotonic, consistent pattern across all 4 datasets"
Exact (ILP) repair headroom differs from greedy repair headroom,"reports/repository_scale_headroom_analysis/headroom_by_regime.csv -- exact_ilp headroom=0.0066 (n=9576 rows) vs greedy=0.0024 (n=112627 rows), pooled/row-level (pseudoreplicated, see caution note in summary.json)",Low,Weak evidence,Recompute at query-level (not yet done for this specific slice) before treating the exact-vs-greedy gap as reliable
"Learning is justified for the current (whole-graph, aggregate-metric) formulation",Combination of: tiny headroom relative to MDE; near-zero univariate predictive signal; three independent prior attempts already inconclusive/negative (see research_decision.md Phase 6),High,Refuted,"None for this formulation. A materially different formulation (component/edge-level, or with new feature types) is a distinct question, not covered by this evidence"
Selective consistency management (preserve/repair/requery) is promising as currently scoped,Same convergent evidence as above,High,Unsupported,See research_decision.md Phase 7 for the recommended path forward
