slice,unit,n,n_benefit,frac_benefit,frac_benefit_ci_lower,frac_benefit_ci_upper,n_harm,frac_harm,frac_harm_ci_lower,frac_harm_ci_upper,n_neutral,frac_neutral,frac_neutral_ci_lower,frac_neutral_ci_upper,mean_delta,median_delta,q05_delta,q25_delta,q75_delta,q95_delta,mean_benefit_magnitude,mean_harm_magnitude
ALL,query-level,419,118,0.28162291169451076,0.24068937429438114,0.3265243031194008,114,0.2720763723150358,0.23167876770227336,0.31661528905200176,187,0.44630071599045346,0.3994044161292633,0.49417271766101106,-0.0016345143664592348,0.0,-0.00800248515226688,-0.00012881490986684998,0.00016258228249745,0.009410486422233173,0.005426986826962759,-0.011624964606386182
bright,query-level,100,23,0.23,0.15843265880303448,0.3215438302287378,24,0.24,0.16691325556948772,0.33232336349814473,53,0.53,0.4328885697009936,0.6248918204065872,-0.00282445904108171,0.0,-0.00902813534489445,0.0,0.0,0.007089418328609205,0.0038196235377789944,-0.015429051894878662
fiqa,query-level,120,34,0.2833333333333333,0.21040628091756453,0.36970202453054035,33,0.275,0.20302896661264855,0.36092965827576806,53,0.44166666666666665,0.3559974669953786,0.5309547690868035,0.00041056339181948345,0.0,-0.008189111069376174,-0.00011425691501030942,0.00037409271194805,0.01250963498162476,0.005935829933832041,-0.004622745779756104
hotpotqa,query-level,79,15,0.189873417721519,0.11858230779759438,0.2899264184181298,16,0.20253164556962025,0.12869110270706585,0.3039601244794451,48,0.6075949367088608,0.4973399088270549,0.7078713494246327,-0.006888961274095179,0.0,-0.010080977720565109,0.0,0.0,0.00896843350865161,0.006730464174562386,-0.04032405645449719
scidocs,query-level,120,46,0.38333333333333336,0.30124527754856906,0.47265919461579525,41,0.3416666666666667,0.26290438368564517,0.4302516856802777,33,0.275,0.20302896661264855,0.36092965827576806,0.0007712059849744383,0.0,-0.006917892538360155,-0.00153801436510275,0.0014847887227528,0.009416826610094966,0.005429520083564422,-0.003834468430415386
ALL,query-by-regime,1103,201,0.18223028105167724,0.1605642910806293,0.20610200569244774,177,0.16047144152311876,0.13999444019869045,0.1833052121308883,725,0.657298277425204,0.6287865314757132,0.6847181689804099,-0.00044512355310785727,0.0,-0.007504164882342877,0.0,0.0,0.00810347828941882,0.008701146459097406,-0.012654811962466353
bright / ms1,query-by-regime,100,22,0.22,0.15001282384605402,0.31070353514985793,25,0.25,0.17545211362287674,0.34304463548061603,53,0.53,0.4328885697009936,0.6248918204065872,-0.0038394435856192294,0.0,-0.023468559125072726,-1.560817105727974e-05,0.0,0.01788733367959531,0.0097483836928824,-0.02393635199221343
bright / ms1_drop_mutual,query-by-regime,50,16,0.32,0.20758216260656845,0.45810297308144077,13,0.26,0.1587152749355239,0.3955315726484884,21,0.42,0.2937500335471198,0.5576655823142176,0.0004035338435564162,0.0,-0.0021666902344421785,-3.590543919476663e-05,0.00044424810252147173,0.004272786257455451,0.002174775701600986,-0.0011245937729073051
bright / ms2,query-by-regime,50,2,0.04,0.011038884327619798,0.13460090687507023,3,0.06,0.02061497034897397,0.16217091688838173,45,0.9,0.7863976856252035,0.9565242350681096,-6.5865068126153e-06,0.0,-3.329171546959663e-05,0.0,0.0,0.0,0.0002202231579933045,-0.00025659055220579136
fiqa / ms1,query-by-regime,120,30,0.25,0.18109821656809566,0.33441136664125615,37,0.30833333333333335,0.232727369889163,0.39582997723800684,53,0.44166666666666665,0.3559974669953786,0.5309547690868035,0.0010627306469586835,0.0,-0.021139167260239212,-0.0006619339104165581,1.2122301136554322e-05,0.02757843997008108,0.01691691646960088,-0.010269724768999575
fiqa / ms1_drop_mutual,query-by-regime,120,20,0.16666666666666666,0.11055996367984618,0.24345281393262286,15,0.125,0.07723497273395374,0.1960294020800739,85,0.7083333333333334,0.6215576502025923,0.7821843637896146,-4.12665933723744e-06,0.0,-0.002689141399552139,0.0,0.0,0.0026713658649494603,0.001911429221564387,-0.0025815855701170824
fiqa / ms2,query-by-regime,120,2,0.016666666666666666,0.004582564565921141,0.0587359629721589,1,0.008333333333333333,0.0014725557333420923,0.045696291245049675,117,0.975,0.9290699666721339,0.9914618252300978,-8.175449994963594e-06,0.0,0.0,0.0,0.0,0.0,0.00018325930517693045,-0.0013475726097494922
hotpotqa / ms1,query-by-regime,79,16,0.20253164556962025,0.12869110270706585,0.3039601244794451,14,0.17721518987341772,0.10860426648087348,0.27576195876406395,49,0.620253164556962,0.5100187124379016,0.7193350467845725,-0.0050404166164815635,0.0,-0.010604626561286506,0.0,0.0,0.02422023492187302,0.017003324137852216,-0.0478747213505485
hotpotqa / ms1_drop_mutual,query-by-regime,52,0,0.0,6.938893903907228e-18,0.06879223612386234,4,0.07692307692307693,0.030319345184930138,0.1817356238429534,48,0.9230769230769231,0.8182643761570467,0.9696806548150698,-0.0017029855141799473,0.0,-0.010078647647294974,0.0,0.0,0.0,,-0.022138811684339316
hotpotqa / ms2,query-by-regime,52,0,0.0,6.938893903907228e-18,0.06879223612386234,1,0.019230769230769232,0.0034028080709451597,0.10120511127892247,51,0.9807692307692307,0.8987948887210774,0.9965971919290547,-0.00017642907551164327,0.0,0.0,0.0,0.0,0.0,,-0.00917431192660545
scidocs / ms1,query-by-regime,120,46,0.38333333333333336,0.30124527754856906,0.47265919461579525,41,0.3416666666666667,0.26290438368564517,0.4302516856802777,33,0.275,0.20302896661264855,0.36092965827576806,0.0018501521020634318,0.0,-0.017724393095532302,-0.004102246851962345,0.0035226432132928337,0.02415188058016781,0.013478773097245784,-0.009707446590870594
scidocs / ms1_drop_mutual,query-by-regime,120,34,0.2833333333333333,0.21040628091756453,0.36970202453054035,21,0.175,0.11740535944566463,0.25275709872649266,65,0.5416666666666666,0.4526096906236998,0.6281387121747415,0.00012723065669545167,0.0,-0.0015008703990731912,0.0,0.00011239719006752441,0.003086898600706866,0.0016259973561303376,-0.0019055348240465371
scidocs / ms2,query-by-regime,120,13,0.10833333333333334,0.06441141154173442,0.17655360215291666,2,0.016666666666666666,0.004582564565921141,0.0587359629721589,105,0.875,0.8039705979199262,0.9227650272660463,4.75902370544061e-05,0.0,0.0,0.0,0.0,0.0002484871801657046,0.0004435295058863159,-2.7527564996687737e-05
repair_algorithm=exact_ilp,query-by-regime (not deduped across regimes),9576,781,0.08155806182121972,0.07624268499485189,0.08720902404976251,770,0.0804093567251462,0.0751297402760179,0.08602547982412198,8025,0.8380325814536341,0.8305182194483901,0.845275845393782,0.001042971878582419,0.0,-0.018810356417176224,0.0,0.0,0.0228738537746888,0.09416371033919695,-0.08253812865663321
repair_algorithm=greedy,query-by-regime (not deduped across regimes),112627,5220,0.04634767862057943,0.04513525135092397,0.04759105099707987,4422,0.039262343842950624,0.03814369618415922,0.04041241992241876,102985,0.9143899775364699,0.9127418002404153,0.9160098879384164,0.0003011585240642651,0.0,0.0,0.0,0.0,0.0,0.057526991097054586,-0.06023797205717753
