slice,n,headroom,ci_lower,ci_upper
"ALL (query-level, recommended)",419,0.0025078242351830315,0.0020410537256332338,0.0030189278051703274
bright / ms1 (row-level),7197,0.0084061206322905,0.0076014940162501,0.0092257170429705
bright / ms1_drop_mutual (row-level),5697,0.0005347466667972,0.0003794145924024,0.0007133065264482
bright / ms2 (row-level),5630,9.309611296970388e-06,1.3768358761621308e-06,2.0101894242555e-05
fiqa / ms1 (row-level),16790,0.0057478994579207,0.005207052032179,0.0063208059547044
fiqa / ms1_drop_mutual (row-level),13330,0.0003999356597645,0.0002816658541525,0.0005342620780928
fiqa / ms2 (row-level),13310,3.0917009332109835e-06,0.0,8.202215525536624e-06
hotpotqa / ms1 (row-level),6873,0.0040658765390474,0.0032880056572925,0.0049347575324906
hotpotqa / ms1_drop_mutual (row-level),5338,0.0,0.0,0.0
hotpotqa / ms2 (row-level),5338,0.0,0.0,0.0
scidocs / ms1 (row-level),16540,0.005867925959581,0.0054037327472425,0.0063446593272853
scidocs / ms1_drop_mutual (row-level),13080,0.0005241192439917,0.0003847411974969,0.0006794936303477
scidocs / ms2 (row-level),13080,8.219413176191459e-07,0.0,2.162152777268688e-06
