stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,0.000164,0.000164,0.000164,0.000164
pairwise_preference_generation,1,0.000852,0.000852,0.000852,0.000852
graph_construction,1,0.003794,0.003794,0.003794,0.003794
cycle_detection,1,0.000183,0.000183,0.000183,0.000183
ranking_score_sum,1,0.00013,0.00013,0.00013,0.00013
ranking_borda,1,3.9e-05,3.9e-05,3.9e-05,3.9e-05
greedy_fas_solver,1,0.012309,0.012309,0.012309,0.012309
ranking_topological,1,0.000246,0.000246,0.000246,0.000246
ranking_priority_topological_score_sum,1,0.000155,0.000155,0.000155,0.000155
ranking_fas_weighted_balance,1,9.2e-05,9.2e-05,9.2e-05,9.2e-05
ranking_fas_copeland,1,8.9e-05,8.9e-05,8.9e-05,8.9e-05
ranking_hybrid_rrf_fas_regularized,1,0.000135,0.000135,0.000135,0.000135
evaluation,1,0.000601,0.000601,0.000601,0.000601
total_experiment,1,0.019139,0.019139,0.019139,0.019139
