dataset,vote_regime,query_id,provider,policy,n_candidates,pairs_expected,pairs_used,pairs_missing_from_cache,pairs_excluded_no_raw_text,pairs_excluded_response_quality,pairs_excluded_fwd_rev_disagreement,pairs_excluded_retry_policy,usable,is_cyclic,n_sccs,largest_scc_size,n_edges_removed,unrepaired_ndcg,repaired_ndcg,delta_ndcg,help,harm,inactive
fiqa,ms1,0,cohere,P3,10,45,33,0,0,0,12,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,4,cohere,P3,10,45,19,0,0,0,26,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,5,cohere,P3,10,45,42,0,0,0,3,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,6,cohere,P3,10,45,34,0,0,0,11,0,True,False,10,1,0,0.9197207891481876,0.9197207891481876,0.0,False,False,True
fiqa,ms1,7,cohere,P3,10,45,40,0,0,0,5,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,9,cohere,P3,10,45,25,0,0,0,20,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,11,cohere,P3,10,45,38,0,0,0,7,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,12,cohere,P3,10,45,36,0,0,0,9,0,True,False,10,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms1,13,cohere,P3,10,45,33,0,0,0,12,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,14,cohere,P3,10,45,31,0,0,0,14,0,True,False,10,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms1,16,cohere,P3,10,45,33,0,0,0,12,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,19,cohere,P3,10,45,33,0,0,0,12,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,20,cohere,P3,10,45,26,0,0,0,19,0,True,False,10,1,0,0.5,0.5,0.0,False,False,True
fiqa,ms1,21,cohere,P3,10,45,26,0,0,0,19,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,23,cohere,P3,10,45,40,0,0,0,5,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,25,cohere,P3,10,45,32,0,0,0,13,0,True,False,10,1,0,0.3562071871080222,0.3562071871080222,0.0,False,False,True
fiqa,ms1,27,cohere,P3,10,45,37,0,0,0,8,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,28,cohere,P3,10,45,33,0,0,0,12,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,30,cohere,P3,10,45,34,0,0,0,11,0,True,False,10,1,0,0.6309297535714575,0.6309297535714575,0.0,False,False,True
fiqa,ms1,31,cohere,P3,10,45,33,0,0,0,12,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,32,cohere,P3,10,45,31,0,0,0,14,0,True,False,10,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms1,33,cohere,P3,10,45,37,0,0,0,8,0,True,False,10,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms1,35,cohere,P3,10,45,24,0,0,0,21,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,36,cohere,P3,10,45,21,0,0,0,24,0,True,False,9,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms1,37,cohere,P3,10,45,29,0,0,0,16,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,0,cohere,P3,9,36,25,0,0,0,11,0,True,False,9,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,4,cohere,P3,10,45,19,0,0,0,26,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,5,cohere,P3,7,21,20,0,0,0,1,0,True,False,7,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,6,cohere,P3,10,45,34,0,0,0,11,0,True,False,10,1,0,0.9197207891481876,0.9197207891481876,0.0,False,False,True
fiqa,ms2,7,cohere,P3,5,10,9,0,0,0,1,0,True,False,5,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,9,cohere,P3,10,45,25,0,0,0,20,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,11,cohere,P3,10,45,38,0,0,0,7,0,True,False,10,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,12,cohere,P3,4,6,4,0,0,0,2,0,True,False,4,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms2,13,cohere,P3,5,10,8,0,0,0,2,0,True,False,5,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,14,cohere,P3,9,36,25,0,0,0,11,0,True,False,9,1,0,1.0,1.0,0.0,False,False,True
fiqa,ms2,16,cohere,P3,6,15,13,0,0,0,2,0,True,False,6,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,19,cohere,P3,9,36,25,0,0,0,11,0,True,False,9,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,20,cohere,P3,6,15,9,0,0,0,6,0,True,False,6,1,0,0.5,0.5,0.0,False,False,True
fiqa,ms2,21,cohere,P3,6,15,3,0,0,0,12,0,True,False,4,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,23,cohere,P3,7,21,20,0,0,0,1,0,True,False,7,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,25,cohere,P3,10,45,32,0,0,0,13,0,True,False,10,1,0,0.3562071871080222,0.3562071871080222,0.0,False,False,True
fiqa,ms2,27,cohere,P3,5,10,9,0,0,0,1,0,True,False,5,1,0,0.0,0.0,0.0,False,False,True
fiqa,ms2,30,cohere,P3,7,21,18,0,0,0,3,0,True,False,7,1,0,0.6309297535714575,0.6309297535714575,0.0,False,False,True
fiqa,ms2,31,cohere,P3,9,36,24,0,0,0,12,0,True,False,9,1,0,0.0,0.0,0.0,False,False,True
