source_study,paper_track,dataset,provider_or_ranker_family,candidate_pool_size,normalization_method,construction_rule,vote_semantics,extraction_method,repair_method,n_edges_or_density,cyclicity_indicator,scc_stats,fas_or_removed_weight_objective,ndcg_cutoff,ndcg_value,map_value,mrr_value,paired_delta,ci_lower,ci_upper,n_queries,practical_significance_decision,notes
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms2,primary_minmax_retention_matched,copeland_graph,greedy_mwfas,0.1804166666666666,0.0,1.0,0.0,10,0.348193435294976,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms2,primary_minmax_retention_matched,balance_graph,greedy_mwfas,0.1804166666666666,0.0,1.0,0.0,10,0.3388332688469356,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms2,primary_minmax_retention_matched,markov_graph,greedy_mwfas,0.1804166666666666,0.0,1.0,0.0,10,0.3334988197599262,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1,primary_minmax_retention_matched,copeland_graph,greedy_mwfas,0.5419078947368422,0.9916666666666668,16.166666666666668,0.074419327846504,10,0.3358677427635196,,,0.0110429686879515,,,120.0,meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1,primary_minmax_retention_matched,balance_graph,greedy_mwfas,0.5419078947368422,0.9916666666666668,16.166666666666668,0.074419327846504,10,0.3365607361553749,,,-0.001769662240266,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1,primary_minmax_retention_matched,markov_graph,greedy_mwfas,0.5419078947368422,0.9916666666666668,16.166666666666668,0.074419327846504,10,0.3408290818091166,,,0.0059285178582606,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1_drop_mutual,primary_minmax_retention_matched,copeland_graph,greedy_mwfas,0.4189035087719298,0.1166666666666666,1.9333333333333331,0.0019859998674859,10,0.3258803876740697,,,0.0005776953493883,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1_drop_mutual,primary_minmax_retention_matched,balance_graph,greedy_mwfas,0.4189035087719298,0.1166666666666666,1.9333333333333331,0.0019859998674859,10,0.3331174306476444,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,scidocs,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1_drop_mutual,primary_minmax_retention_matched,markov_graph,greedy_mwfas,0.4189035087719298,0.1166666666666666,1.9333333333333331,0.0019859998674859,10,0.332924340985898,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms2,primary_minmax_retention_matched,copeland_graph,greedy_mwfas,0.1175,0.0,1.0,0.0,10,0.2802406306444998,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms2,primary_minmax_retention_matched,balance_graph,greedy_mwfas,0.1175,0.0,1.0,0.0,10,0.2908545435199117,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms2,primary_minmax_retention_matched,markov_graph,greedy_mwfas,0.1175,0.0,1.0,0.0,10,0.2905814399041413,,,0.0,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1,primary_minmax_retention_matched,copeland_graph,greedy_mwfas,0.51125,0.9833333333333332,16.125,0.0801014779115595,10,0.2803417570223673,,,0.0036342753536966,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1,primary_minmax_retention_matched,balance_graph,greedy_mwfas,0.51125,0.9833333333333332,16.125,0.0801014779115595,10,0.2904996046893689,,,0.0035159966086473,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1,primary_minmax_retention_matched,markov_graph,greedy_mwfas,0.51125,0.9833333333333332,16.125,0.0801014779115595,10,0.2869488444257664,,,0.0035687576069974,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
JDIQ_backbone_construction_and_repair,JDIQ_2026,fiqa,classical_multi_ranker_fusion,20.0,minmax_query_ranker,ms1_drop_mutual,primary_minmax_retention_matched,copeland_graph,greedy_mwfas,0.4166008771929824,0.3083333333333333,3.3833333333333333,0.0036837498831988,10,0.2765665984290314,,,-0.0001726379121421,,,120.0,not_meaningful,repaired_minus_unrepaired at the primary_minmax_retention_matched protocol
