stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,0.000134,0.000134,0.000134,0.000134
pairwise_preference_generation,1,0.000381,0.000381,0.000381,0.000381
graph_construction,1,0.003579,0.003579,0.003579,0.003579
cycle_detection,1,0.00018,0.00018,0.00018,0.00018
ranking_score_sum,1,0.0001,0.0001,0.0001,0.0001
ranking_borda,1,3.9e-05,3.9e-05,3.9e-05,3.9e-05
greedy_fas_solver,1,0.011126,0.011126,0.011126,0.011126
ranking_topological,1,0.000227,0.000227,0.000227,0.000227
ranking_priority_topological_score_sum,1,0.000167,0.000167,0.000167,0.000167
ranking_fas_weighted_balance,1,8.9e-05,8.9e-05,8.9e-05,8.9e-05
ranking_fas_copeland,1,5.8e-05,5.8e-05,5.8e-05,5.8e-05
ranking_hybrid_rrf_fas_regularized,1,0.00013,0.00013,0.00013,0.00013
evaluation,1,0.001253,0.001253,0.001253,0.001253
total_experiment,1,0.017816,0.017816,0.017816,0.017816
