dataset,pair_name,n_queries,n_queries_with_exact,mean_ndcg_unrepaired,mean_ndcg_greedy_repaired,mean_ndcg_exact_repaired,delta_greedy_minus_unrepaired,delta_exact_minus_unrepaired,delta_exact_minus_greedy,exact_reverses_greedy_sign,mean_exact_removed_weight
scidocs,copeland_graph,120,120,0.324824774075568,0.3358677427635196,0.335633069233046,0.011042968687951626,0.010808295157477998,-0.00023467353047360585,False,6.728024523739992
scidocs,balance_graph,120,120,0.338330398395641,0.33656073615537496,0.33602670706066995,-0.0017696622402660345,-0.0023036913349710475,-0.0005340290947049781,False,6.728024523739992
scidocs,markov_graph,120,120,0.33490056395085593,0.3408290818091166,0.33876915061826524,0.005928517858260651,0.0038685866674093017,-0.002059931190851388,False,6.728024523739992
scidocs,copeland_hybrid,120,120,0.3518497760014093,0.36037581410068126,0.36320136767112565,0.008526038099271938,0.011351591669716332,0.0028255535704443903,False,6.728024523739992
scidocs,balance_hybrid,120,120,0.3573078046039135,0.3570432887826619,0.3557655121558004,-0.00026451582125158746,-0.0015422924481131028,-0.0012777766268614744,False,6.728024523739992
scidocs,pagerank_graph,120,120,0.3438808725790403,0.3412898311734865,0.3380272469930584,-0.002591041405553829,-0.005853625585981903,-0.003262584180428116,False,6.728024523739992
scidocs,rank_centrality_graph,120,120,0.3388102211607767,0.3369222063670053,0.3336903696166286,-0.0018880147937713754,-0.0051198515441480685,-0.0032318367503766524,False,6.728024523739992
scidocs,markov_hybrid,120,120,0.3571704261610153,0.35838607583728266,0.3604201688602181,0.0012156496762673608,0.0032497426992028067,0.002034093022935441,False,6.728024523739992
scidocs,bradley_terry_graph,120,120,0.33316020458152984,0.339684264276313,0.3349526643831244,0.006524059694783146,0.001792459801594537,-0.004731599893188619,False,6.728024523739992
fiqa,copeland_graph,120,120,0.27670748166867065,0.2803417570223673,0.27931090923227786,0.0036342753536966477,0.002603427563607208,-0.001030847790089418,False,5.676448875056461
fiqa,balance_graph,120,120,0.28698360808072143,0.2904996046893689,0.28860612576670447,0.003515996608647487,0.0016225176859830381,-0.0018934789226643732,False,5.676448875056461
fiqa,markov_graph,120,120,0.283380086818769,0.2869488444257664,0.2861212803580003,0.0035687576069974303,0.0027411935392313014,-0.0008275640677661356,False,5.676448875056461
fiqa,copeland_hybrid,120,120,0.29988681049644667,0.2953176613108609,0.29908348570682225,-0.0045691491855857636,-0.0008033247896244156,0.0037658243959613536,False,5.676448875056461
fiqa,balance_hybrid,120,120,0.30199899742280967,0.300307756355752,0.3017533163655049,-0.0016912410670576472,-0.00024568105730476963,0.0014455600097528984,False,5.676448875056461
fiqa,pagerank_graph,120,120,0.30175363875833744,0.29077899997684553,0.2865384286273864,-0.010974638781491908,-0.015215210130951062,-0.004240571349459093,False,5.676448875056461
fiqa,rank_centrality_graph,120,120,0.2871145985428623,0.2819714970773307,0.2806728596152113,-0.0051431014655315965,-0.006441738927650986,-0.0012986374621193294,False,5.676448875056461
fiqa,markov_hybrid,120,120,0.30175875930028934,0.3003436234425051,0.3015773798801638,-0.0014151358577842443,-0.000181379420125527,0.0012337564376587705,False,5.676448875056461
fiqa,bradley_terry_graph,120,120,0.27757162648605344,0.28829184737303815,0.2847705080570382,0.01072022088698471,0.00719888157098475,-0.003521339315999956,False,5.676448875056461
hotpotqa,copeland_graph,52,52,0.8734502235807322,0.8889562947582704,0.8846044796519066,0.015506071177538217,0.011154256071174373,-0.004351815106363783,False,1.0153878363889353
hotpotqa,balance_graph,52,52,0.8917019843909171,0.8903688412769438,0.8903688412769438,-0.0013331431139732564,-0.0013331431139732564,0.0,False,1.0153878363889353
hotpotqa,markov_graph,52,52,0.894200307498169,0.8919126722548634,0.8932458153688365,-0.0022876352433056635,-0.0009544921293325181,0.0013331431139732104,False,1.0153878363889353
hotpotqa,copeland_hybrid,52,52,0.8758296881209169,0.8880964209241783,0.8880964209241783,0.012266732803261404,0.012266732803261404,0.0,False,1.0153878363889353
hotpotqa,balance_hybrid,52,52,0.8829271928599274,0.887279007966291,0.887279007966291,0.004351815106363621,0.004351815106363621,0.0,False,1.0153878363889353
hotpotqa,pagerank_graph,52,52,0.8871324738605525,0.8848741919447851,0.8848741919447851,-0.0022582819157673795,-0.0022582819157673795,0.0,False,1.0153878363889353
hotpotqa,rank_centrality_graph,52,52,0.8841341938273536,0.8846044796519066,0.8846044796519066,0.00047028582455299617,0.00047028582455299617,0.0,False,1.0153878363889353
hotpotqa,markov_hybrid,52,52,0.8829271928599274,0.8829271928599274,0.8829271928599274,0.0,0.0,0.0,False,1.0153878363889353
hotpotqa,bradley_terry_graph,52,52,0.8677603015104578,0.8872618001836986,0.8848151718436608,0.019501498673240802,0.017054870333202965,-0.0024466283400377403,False,1.0153878363889353
bright,copeland_graph,50,50,0.6462497082404555,0.6322082106625195,0.6298943255784772,-0.014041497577935935,-0.016355382661978224,-0.0023138850840422574,False,3.391336626421286
bright,balance_graph,50,50,0.6395860178896338,0.6400311344391819,0.6402133484273851,0.0004451165495481524,0.000627330537751325,0.0001822139882031515,False,3.391336626421286
bright,markov_graph,50,50,0.6361046545082624,0.6285909408450325,0.6324043113525115,-0.007513713663229837,-0.0037003431557508515,0.0038133705074789226,False,3.391336626421286
bright,copeland_hybrid,50,50,0.6389652428391712,0.6395668223866333,0.6404608726175005,0.0006015795474620944,0.0014956297783292882,0.0008940502308671866,False,3.391336626421286
bright,balance_hybrid,50,50,0.6506896517250118,0.6434688363103919,0.6505094018521137,-0.007220815414619941,-0.00018024987289810834,0.007040565541721796,False,3.391336626421286
bright,pagerank_graph,50,50,0.6288992120383146,0.6371611401862761,0.644335749347339,0.008261928147961561,0.01543653730902439,0.007174609161062926,False,3.391336626421286
bright,rank_centrality_graph,50,50,0.631918921523883,0.6159868229576061,0.6255488441200513,-0.015932098566276864,-0.006370077403831664,0.009562021162445233,False,3.391336626421286
bright,markov_hybrid,50,50,0.645649860686343,0.6482442807960984,0.6490318312036361,0.002594420109755413,0.0033819705172930536,0.0007875504075376161,False,3.391336626421286
bright,bradley_terry_graph,50,50,0.6388326983231554,0.6257474902713169,0.6344209782049538,-0.013085208051838437,-0.0044117201182015675,0.00867348793363691,False,3.391336626421286
