n_paired_queries,mean_delta,median_delta,std_delta,helped_queries,harmed_queries,unchanged_queries,sign_flip_pvalue,sign_flip_method,bca_ci_low,bca_ci_high,bca_frac_gt_zero,mde_normal_alpha05_power80,family,dataset,regime,config_id,pair_name,pair_family,holm_adjusted_pvalue,holm_significant_at_0.05
50,0.0006273305377514671,0.0,0.018883800777245063,11,8,31,0.8173027038574219,exact_sign_flip,-0.004848365021332818,0.0058949560882013766,0.5936,0.00748183704737556,canonical,bright,ms1,pool20_ndcg20,balance_graph,graph,1.0,False
50,-0.00018024987289807227,0.0,0.002430373024420501,2,3,45,0.6875,exact_sign_flip,-0.0008677649054798144,0.0004827562789126183,0.2985,0.0009629234679791133,canonical,bright,ms1,pool20_ndcg20,balance_hybrid,hybrid,1.0,False
50,-0.004411720118201537,0.0,0.12029471698419505,17,15,18,0.797920207979202,monte_carlo_sign_flip,-0.03952035439173743,0.02608150621802323,0.4093,0.04766124578164567,canonical,bright,ms1,pool20_ndcg20,bradley_terry_graph,graph,1.0,False
50,-0.016355382661978245,0.0,0.07186923359195689,15,16,19,0.11828817118288171,monte_carlo_sign_flip,-0.04298140014384019,-0.0007119335737459471,0.0425,0.028474876472046624,canonical,bright,ms1,pool20_ndcg20,copeland_graph,graph,1.0,False
50,0.0014956297783292316,0.0,0.007876650062283051,8,4,38,0.20263671875,exact_sign_flip,-7.590533587999822e-05,0.00487610774502919,0.9251,0.003120760112880191,canonical,bright,ms1,pool20_ndcg20,copeland_hybrid,hybrid,1.0,False
50,-0.0037003431557508515,0.0,0.04375936675822252,8,13,29,0.6028397160283971,monte_carlo_sign_flip,-0.02031314191985783,0.005442303589850279,0.2897,0.01733763532264546,canonical,bright,ms1,pool20_ndcg20,markov_graph,graph,1.0,False
50,0.0033819705172930207,0.0,0.027331499251332915,4,5,41,0.671875,exact_sign_flip,-0.0010013039325853974,0.019632863885184336,0.745,0.010828848814447872,canonical,bright,ms1,pool20_ndcg20,markov_hybrid,hybrid,1.0,False
50,0.015436537309024445,0.0,0.07333187611110277,18,11,21,0.1511848815118488,monte_carlo_sign_flip,-0.0017026110512779315,0.0403940004091366,0.9404,0.029054381261146015,canonical,bright,ms1,pool20_ndcg20,pagerank_graph,graph,1.0,False
50,-0.006370077403831677,0.0,0.05247208633756166,13,15,22,0.41845815418458154,monte_carlo_sign_flip,-0.022743641033863466,0.006962250379884704,0.1934,0.02078964950670974,canonical,bright,ms1,pool20_ndcg20,rank_centrality_graph,graph,1.0,False
120,0.001622517685983021,0.0,0.02653998383358873,6,6,108,0.947265625,exact_sign_flip,-0.0010673538150134702,0.011542974384173642,0.6479,0.0067875629165079655,canonical,fiqa,ms1,pool20_ndcg20,balance_graph,graph,1.0,False
120,-0.00024568105730475717,0.0,0.0013670895855964474,0,4,116,0.125,exact_sign_flip,-0.0006409561870069534,-6.32384949177181e-05,0.0,0.0003496312067453115,canonical,fiqa,ms1,pool20_ndcg20,balance_hybrid,hybrid,1.0,False
120,0.007198881570984751,0.0,0.08030386578716757,16,15,89,0.3404659534046595,monte_carlo_sign_flip,-0.005136747998865914,0.02457738999860958,0.8414,0.020537598850357226,canonical,fiqa,ms1,pool20_ndcg20,bradley_terry_graph,graph,1.0,False
120,0.0026034275636072405,0.0,0.02699441623448842,20,11,89,0.31726827317268275,monte_carlo_sign_flip,-0.0013679222389283612,0.00887722369822599,0.858,0.006903783353255281,canonical,fiqa,ms1,pool20_ndcg20,copeland_graph,graph,1.0,False
120,-0.0008033247896243809,0.0,0.013115399077882842,8,4,108,0.70947265625,exact_sign_flip,-0.005524840499532927,0.0006839465971307094,0.2795,0.003354244560751221,canonical,fiqa,ms1,pool20_ndcg20,copeland_hybrid,hybrid,1.0,False
120,0.00274119353923135,0.0,0.04448016255278435,11,13,96,0.5420457954204579,monte_carlo_sign_flip,-0.003233337921094099,0.014406442836237682,0.7354,0.011375737971679874,canonical,fiqa,ms1,pool20_ndcg20,markov_graph,graph,1.0,False
120,-0.0001813794201254997,0.0,0.005984460569623591,3,4,113,0.75,exact_sign_flip,-0.0015497038874434147,0.0007023118971478941,0.3805,0.0015305172336342225,canonical,fiqa,ms1,pool20_ndcg20,markov_hybrid,hybrid,1.0,False
120,-0.01521521013095103,0.0,0.10151371363667801,12,22,86,0.1070892910708929,monte_carlo_sign_flip,-0.03688115306286331,0.0006866250159413474,0.0451,0.025961987110380013,canonical,fiqa,ms1,pool20_ndcg20,pagerank_graph,graph,1.0,False
120,-0.00644173892765093,0.0,0.058663681318208406,11,23,86,0.24887511248875113,monte_carlo_sign_flip,-0.01821762727175722,0.003485863836087388,0.1153,0.015003152615239185,canonical,fiqa,ms1,pool20_ndcg20,rank_centrality_graph,graph,1.0,False
52,-0.0013331431139732104,0.0,0.009520546133444425,0,1,51,1.0,exact_sign_flip,-0.01065819721894217,0.0,0.0,0.003698827069431712,canonical,hotpotqa,ms1,pool10_ndcg10,balance_graph,graph,1.0,False
52,0.004351815106363783,0.0,0.031078176116348548,1,0,51,1.0,exact_sign_flip,0.0,0.013055445319091351,0.6338,0.012074181194700804,canonical,hotpotqa,ms1,pool10_ndcg10,balance_hybrid,hybrid,1.0,False
52,0.017054870333203093,0.0,0.08381056597034729,5,0,47,0.0625,exact_sign_flip,0.0026662862279464208,0.06518873993730517,0.994,0.03256124026609365,canonical,hotpotqa,ms1,pool10_ndcg10,bradley_terry_graph,graph,1.0,False
52,0.011154256071174385,0.0,0.09377775704004669,4,3,45,0.53125,exact_sign_flip,-0.011824780954030532,0.040984914681156004,0.7981,0.03643359334521939,canonical,hotpotqa,ms1,pool10_ndcg10,copeland_graph,graph,1.0,False
52,0.01226673280326149,0.0,0.05906387169751078,3,0,49,0.25,exact_sign_flip,0.0008174129578872741,0.03983933880141594,0.956,0.022946902877004974,canonical,hotpotqa,ms1,pool10_ndcg10,copeland_hybrid,hybrid,1.0,False
52,-0.0009544921293325576,0.0,0.011878010433174152,1,1,50,1.0,exact_sign_flip,-0.0085805823842,0.0005893388485869125,0.2698,0.004614725448037062,canonical,hotpotqa,ms1,pool10_ndcg10,markov_graph,graph,1.0,False
52,0.0,0.0,0.0,0,0,52,1.0,exact_sign_flip,0.0,0.0,0.0,,canonical,hotpotqa,ms1,pool10_ndcg10,markov_hybrid,hybrid,1.0,False
52,-0.0022582819157673964,0.0,0.09903738540694726,4,4,44,0.890625,exact_sign_flip,-0.033417605585598205,0.021181113687111404,0.4386,0.03847701139140708,canonical,hotpotqa,ms1,pool10_ndcg10,pagerank_graph,graph,1.0,False
52,0.00047028582455304637,0.0,0.005542602931276983,2,2,48,0.625,exact_sign_flip,-0.0006320765752624131,0.0026586739320367645,0.7025,0.002153356485013091,canonical,hotpotqa,ms1,pool10_ndcg10,rank_centrality_graph,graph,1.0,False
120,-0.0023036913349710423,0.0,0.01049476555392657,5,20,95,0.012398760123987601,monte_carlo_sign_flip,-0.004640566499340134,-0.000789647957358612,0.0037,0.0026840212841849694,canonical,scidocs,ms1,pool20_ndcg20,balance_graph,graph,0.43395660433956607,False
120,-0.0015422924481130452,0.0,0.008143068570801548,0,9,111,0.00390625,exact_sign_flip,-0.004280201664666423,-0.0005989331043346035,0.0,0.0020825781433899348,canonical,scidocs,ms1,pool20_ndcg20,balance_hybrid,hybrid,0.140625,False
120,0.0017924598015945424,0.0,0.05862080638948826,26,25,69,0.7451254874512548,monte_carlo_sign_flip,-0.008559037265965203,0.012733252886830285,0.6316,0.014992187413524915,canonical,scidocs,ms1,pool20_ndcg20,bradley_terry_graph,graph,1.0,False
120,0.010808295157477978,0.0,0.058871009895962036,29,21,70,0.0364963503649635,monte_carlo_sign_flip,0.0028089464111404777,0.025886090903259613,0.9908,0.015056176602545157,canonical,scidocs,ms1,pool20_ndcg20,copeland_graph,graph,1.0,False
120,0.011351591669716327,0.0,0.05820026505021163,20,12,88,0.024697530246975304,monte_carlo_sign_flip,0.0035877808495959752,0.026073637744772286,0.9946,0.01488463456732762,canonical,scidocs,ms1,pool20_ndcg20,copeland_hybrid,hybrid,0.8397160283971603,False
120,0.003868586667409307,0.0,0.03984106531321522,18,21,81,0.3481651834816518,monte_carlo_sign_flip,-0.0009154057902815741,0.015879377825308887,0.8569,0.01018929548600199,canonical,scidocs,ms1,pool20_ndcg20,markov_graph,graph,1.0,False
120,0.003249742699202813,0.0,0.03678255720147508,5,10,105,0.46209716796875,exact_sign_flip,-0.0007905354260360374,0.016564757333362354,0.823,0.009407086409717144,canonical,scidocs,ms1,pool20_ndcg20,markov_hybrid,hybrid,1.0,False
120,-0.005853625585981893,0.0,0.06153036607043436,21,32,67,0.3203679632036796,monte_carlo_sign_flip,-0.016414013366542905,0.006117472792350656,0.1475,0.015736303141612232,canonical,scidocs,ms1,pool20_ndcg20,pagerank_graph,graph,1.0,False
120,-0.005119851544148118,0.0,0.03729260558121458,21,33,66,0.13878612138786123,monte_carlo_sign_flip,-0.012609795620895075,0.0008367268534239795,0.0612,0.009537530553528692,canonical,scidocs,ms1,pool20_ndcg20,rank_centrality_graph,graph,1.0,False
