pool_id,dataset,regime,n_queries,mean_ndcg_prior_only,mean_ndcg_rrf,mean_ndcg_combsum,mean_ndcg_borda_fuse,mean_ndcg_copeland_graph_repaired,mean_ndcg_balance_graph_repaired,mean_ndcg_markov_graph_repaired,mean_ndcg_hybrid_repaired_copeland_a0p3_minmax,mean_ndcg_hybrid_repaired_balance_a0p3_minmax,mean_ndcg_fixed_graph_family_average
rrf_union_topk,scidocs,ms1,120,0.35685723104723,0.3537585662920841,0.35046719122107495,0.35771224678083835,0.3358677427635196,0.33656073615537496,0.3408290818091166,0.36037581410068126,0.3570432887826619,0.3461353327222708
rrf_union_topk,fiqa,ms1,120,0.3011977378207325,0.3094397681279031,0.30883356725784616,0.30859679493656533,0.2803417570223673,0.2904996046893689,0.2869488444257664,0.2953176613108609,0.300307756355752,0.29068312476082314
rrf_union_topk,hotpotqa,ms1,52,0.8791903324364997,0.8684429244571474,0.892585229311721,0.8676265199932376,0.8889562947582704,0.8903688412769438,0.8919126722548634,0.8880964209241783,0.887279007966291,0.8893226474361093
rrf_union_topk,bright,ms1,50,0.6423801432576691,0.653248810191525,0.6645919216883805,0.6443411761582797,0.6322082106625195,0.6400311344391819,0.6285909408450325,0.6395668223866333,0.6434688363103919,0.6367731889287518
neutral_round_robin_union,scidocs,ms1,120,0.3720750228272459,0.36871374733117335,0.36944580762005985,0.3713766162001244,0.3742244576349198,0.3711962562934289,0.37592471088546286,0.3745207328722118,0.3699986491140469,0.37317296136001404
neutral_round_robin_union,fiqa,ms1,120,0.3185754105746493,0.32114402982341883,0.326925898225315,0.32055468874153203,0.3242150549908136,0.32279744652873443,0.3207201795755095,0.31295772536436406,0.3141844383249003,0.3189749689568644
neutral_round_robin_union,hotpotqa,ms1,52,0.873226837336942,0.8629608423361999,0.8859457832898594,0.863778255294087,0.8529250473331225,0.8835202577756365,0.855742758625735,0.8732819020821061,0.8842498089488704,0.8699439549530942
neutral_round_robin_union,bright,ms1,50,0.6722288392381013,0.6802809865340491,0.6883099206841574,0.6719220004001966,0.6767854287894476,0.6790605362031684,0.6538162662257854,0.6759873308533811,0.6781892500140472,0.672767762417166
equal_depth_union,scidocs,ms1,120,0.31365646511478534,0.30856086804277594,0.33868996100180626,0.3090840652077098,0.338450259894226,0.3158967929429799,0.31597167806905024,0.3183610554349687,0.3146756653645653,0.32067109034115804
equal_depth_union,fiqa,ms1,120,0.2848514550987583,0.2861181289935225,0.316115982412677,0.28548038734735887,0.32978663724948665,0.3274981076351982,0.3202726453924536,0.28633818196439104,0.280569260834774,0.3088929666152607
equal_depth_union,hotpotqa,ms1,52,0.8638299653334843,0.8535639703327421,0.8775360692865906,0.8527475658688323,0.8329227685606694,0.8622074286826578,0.8294186263031345,0.8639203557501017,0.874491585484814,0.8525921529562754
equal_depth_union,bright,ms1,50,0.6007326797506843,0.6033452652567384,0.6501993761959879,0.592322665358863,0.6172992530591437,0.6281394485396522,0.5769795255249531,0.6115831695826757,0.612249574913932,0.6092501943240713
combsum_union_topk,scidocs,ms1,120,0.36972236454242463,0.3680976141614139,0.37032387195349803,0.37167850839745303,0.37688770861893567,0.3697823909735548,0.37752484856745067,0.372000648428912,0.36721655343354553,0.37268243000447976
combsum_union_topk,fiqa,ms1,120,0.3219235382803595,0.3260742596787513,0.3330044950529096,0.3255179403775975,0.31371417154211184,0.3182403642678448,0.3204751294754712,0.3204372914103558,0.31958323628593494,0.3184900385963437
combsum_union_topk,hotpotqa,ms1,52,0.8786030188891143,0.8686730238676493,0.892415023410996,0.8678566194037395,0.8538545773266845,0.8722816301220164,0.839829900311681,0.8728867368435408,0.8796228901219526,0.863695146945175
combsum_union_topk,bright,ms1,50,0.6742591284698967,0.6788164102476807,0.6876987053520223,0.6673777107946951,0.6750418794359231,0.6829548146119484,0.674509468095497,0.670983737197187,0.6811584330852221,0.6769296664851555
bm25_only,scidocs,ms1,120,0.3371016334133827,0.34061606692079616,0.335462303747457,0.34420771057659877,0.31567485168214576,0.3098897969094835,0.31366198984660626,0.34377314254602337,0.33568985133962503,0.3237379264647768
bm25_only,fiqa,ms1,120,0.2745520995423467,0.2913715732450042,0.2800250129515678,0.2912796810756868,0.2473813749602552,0.2526470223488932,0.24951047565402204,0.2753737696307059,0.27474122054304323,0.25993077262738395
bm25_only,hotpotqa,ms1,52,0.88072418260772,0.8682822800537959,0.892415023410996,0.8669491369398228,0.8841463416321195,0.8909118395824538,0.8825424777312905,0.8762879915911027,0.8836552086229916,0.8835087718319915
bm25_only,bright,ms1,50,0.6071427230697389,0.6197875717562776,0.6142370511113959,0.6122133928122403,0.5560847424424032,0.569535315288154,0.5679116681430634,0.6107755670181928,0.6087553186035614,0.582612522299075
