family,dataset,config_id,query_id,status,proven_optimal,trivial,gap,time_s,n_nodes,objective,solver,error
canonical,scidocs,pool20_ndcg20,78495383450e02c5fe817e408726134b3084905d,optimal,True,False,0.0,0.022145509719848633,20,1.014222756944136,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,optimal,True,False,0.0,0.0208742618560791,20,3.675297713312876,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,optimal,True,False,0.0,0.02109551429748535,20,9.278334223649807,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,3a63667284dc8b9687ed1620406030bfe39af3c9,optimal,True,False,0.0,0.021472454071044922,20,7.163299492385114,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,071f47b7bc5830643e31dbed82e0375bf9b26559,optimal,True,False,0.0,0.020534276962280273,20,3.3049532613799784,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,optimal,True,False,0.0,0.021224260330200195,20,6.702511800932982,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,a65196dfff31425281c690a7f2ca65247147da6b,optimal,True,False,0.0,0.020958900451660156,20,2.1564528342567897,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,a04b5b99f5d9d8748843e870536a4a9f65562012,optimal,True,False,0.0,0.020954132080078125,20,6.082136604152417,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,optimal,True,False,0.0,0.02132391929626465,20,5.440432580402856,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,optimal,True,False,0.0,0.02059769630432129,20,13.848323773009177,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,648678f1edab0d2139958070744b826d2b24c79e,optimal,True,False,0.0,0.020802736282348633,20,1.9116594497638744,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,optimal,True,False,0.0,0.021541357040405273,20,0.6423444363716442,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,4715401473dca02ebaa5bdd4d4003705ed91c380,optimal,True,False,0.0,0.023444175720214844,20,7.666878408883235,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,optimal,True,False,0.0,0.022737503051757812,20,6.243966571819897,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,3be10c45163c61dfb9f250412699b3f8cb0ada1d,optimal,True,False,0.0,0.02085566520690918,20,10.497810498201162,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,566c89a1ace18f57ac3212e6d62634b501990b31,optimal,True,False,0.0,0.021669626235961914,20,0.3562432421124555,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,370fda29c5aaff285311a87824c5f28db33da021,optimal,True,False,0.0,0.020756006240844727,20,11.599299845905819,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,6c89453c09abde95d998f5acd244f00519472ee0,optimal,True,False,0.0,0.021135807037353516,20,2.839942837395853,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,optimal,True,False,0.0,0.021922588348388672,20,18.815421426594995,pyscipopt/SCIP,
canonical,scidocs,pool20_ndcg20,714c194a2fc326151b905270558aa137f9f22730,optimal,True,False,0.0,0.020867586135864258,20,15.117620880740354,pyscipopt/SCIP,
