family,dataset,regime,config_id,pool_size,metric_cutoff,query_id,pair_name,pair_family,unrepaired_ndcg,repaired_ndcg,delta_ndcg,graph_is_cyclic,repair_applied,solver_status,solver_proven_optimal,solver_time_s,removed_weight,n_edges_removed,top_k_membership_changed,top_k_order_changed,full_ranking_changed,reused_from
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,copeland_graph,graph,0.6309297535714575,1.0,0.36907024642854247,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,balance_graph,graph,1.0,1.0,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,markov_graph,graph,1.0,1.0,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,copeland_hybrid,hybrid,0.6309297535714575,1.0,0.36907024642854247,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,balance_hybrid,hybrid,0.6309297535714575,0.6309297535714575,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,False,False,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,pagerank_graph,graph,1.0,1.0,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,rank_centrality_graph,graph,1.0,1.0,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,markov_hybrid,hybrid,1.0,1.0,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,False,False,
canonical,scidocs,ms1,pool20_ndcg20,20,20,78495383450e02c5fe817e408726134b3084905d,bradley_terry_graph,graph,1.0,1.0,0.0,True,True,optimal,True,0.022145509719848633,1.0142227569441524,11,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,copeland_graph,graph,0.0,0.0,0.0,True,True,optimal,True,0.0208742618560791,3.6752977133128812,13,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,balance_graph,graph,0.0,0.0,0.0,True,True,optimal,True,0.0208742618560791,3.6752977133128812,13,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,markov_graph,graph,0.0,0.0,0.0,True,True,optimal,True,0.0208742618560791,3.6752977133128812,13,False,True,True,
canonical,scidocs,ms1,pool20_ndcg20,20,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,copeland_hybrid,hybrid,0.0,0.0,0.0,True,True,optimal,True,0.0208742618560791,3.6752977133128812,13,False,False,False,
