comparison_scope,dataset,protocol,regime,method_key,method,baseline_key,baseline,common_query_count,mean_delta_ndcg,median_delta_ndcg,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_means_gt_zero
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,copeland_graph_repaired,Copeland repaired,rrf,RRF,120,-0.005565130997108111,0.0,-0.02770949567069154,0.017667552537545986,0.2997
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,copeland_graph_repaired,Copeland repaired,combsum,CombSUM,120,-0.002273755926098979,0.0,-0.022317182123110534,0.01792755410347499,0.404
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,balance_graph_repaired,Balance repaired,rrf,RRF,120,-0.014925297445148497,0.0,-0.03221411492977122,0.001538493696102467,0.0389
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,balance_graph_repaired,Balance repaired,combsum,CombSUM,120,-0.011633922374139365,0.0,-0.026735372937518008,0.0019901387080174205,0.0486
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,markov_graph_repaired,Markov repaired,rrf,RRF,120,-0.020259746532157914,0.0,-0.03867016000418534,-0.0038582395897414643,0.0086
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,markov_graph_repaired,Markov repaired,combsum,CombSUM,120,-0.016968371461148782,0.0,-0.03313292212737752,-0.003424929865910014,0.006
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,rrf,RRF,120,0.004449663965045273,0.0,-0.006903410179205801,0.01696713134153933,0.7699
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,combsum,CombSUM,120,0.007741039036054405,0.0,-0.0064774692064120684,0.02278025214616062,0.8559
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,rrf,RRF,120,0.0036148937167163634,0.0,-0.007398867165617283,0.015709229226070407,0.7259
dataset_regime,scidocs,primary_minmax_retention_matched,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,combsum,CombSUM,120,0.006906268787725495,0.0,-0.006792716341037173,0.021323458470129404,0.8379
dataset_regime,scidocs,primary_minmax_retention_matched,ms1,copeland_graph_repaired,Copeland repaired,rrf,RRF,120,-0.017890823528564474,0.0,-0.03559639569663462,-0.0012182518173681379,0.0183
dataset_regime,scidocs,primary_minmax_retention_matched,ms1,copeland_graph_repaired,Copeland repaired,combsum,CombSUM,120,-0.014599448457555344,0.0,-0.029369033354826872,-0.0014604946024599221,0.0147
dataset_regime,scidocs,primary_minmax_retention_matched,ms1,balance_graph_repaired,Balance repaired,rrf,RRF,120,-0.017197830136709124,0.0,-0.03342503726885368,-0.002349833862579132,0.0101
dataset_regime,scidocs,primary_minmax_retention_matched,ms1,balance_graph_repaired,Balance repaired,combsum,CombSUM,120,-0.013906455065699994,0.0,-0.027453709658309133,-0.0030465367615783185,0.0044
