dataset,protocol,protocol_label,protocol_kind,regime,method_key,method,mean_ndcg_at_k,std_ndcg_at_k,median_ndcg_at_k,common_query_count,three_regime_intersection_query_count,repaired_minus_unrepaired_mean_delta_ndcg,repaired_minus_unrepaired_median_delta_ndcg,repaired_minus_unrepaired_q05_delta_ndcg,repaired_minus_unrepaired_q25_delta_ndcg,repaired_minus_unrepaired_q75_delta_ndcg,repaired_minus_unrepaired_q95_delta_ndcg,helped_query_count,harmed_query_count,unchanged_query_count
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,copeland_graph_repaired,Copeland repaired,0.348193435294976,0.31993617421628184,0.33028970661285945,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,balance_graph_repaired,Balance repaired,0.3388332688469356,0.3106790920900779,0.3378624949709328,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,markov_graph_repaired,Markov repaired,0.3334988197599262,0.30406878383515823,0.335597914152133,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.35820823025712933,0.3266156743655255,0.339898876515377,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.35737346000880044,0.32562713207804067,0.33742448724541574,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,copeland_graph_repaired,Copeland repaired,0.3358677427635196,0.3090677962162383,0.32299548088057056,120,120,0.011042968687951583,0.0,-0.04387703313094845,0.0,0.011041952055485985,0.08053624936086762,36.0,22.0,62.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,balance_graph_repaired,Balance repaired,0.33656073615537496,0.30811995232135625,0.33742448724541574,120,120,-0.0017696622402660644,0.0,-0.013637609043977131,0.0,0.0,0.008643152834012662,12.0,18.0,90.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,markov_graph_repaired,Markov repaired,0.3408290818091166,0.31337973504937994,0.3200740329130489,120,120,0.005928517858260695,0.0,-0.013604550916116587,0.0,0.0,0.02409838465321374,18.0,19.0,83.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.36037581410068126,0.3276468493366384,0.3562071871080222,120,120,0.008526038099271938,0.0,-0.008907684444742983,0.0,0.0005166234590925634,0.04089638234812131,30.0,10.0,80.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.3570432887826619,0.32510814868053467,0.3488614141327602,120,120,-0.0002645158212515708,0.0,0.0,0.0,0.0,0.0,3.0,5.0,112.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,copeland_graph_repaired,Copeland repaired,0.3258803876740697,0.29997199852850187,0.3148972500331507,120,120,0.0005776953493883912,0.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,balance_graph_repaired,Balance repaired,0.33311743064764443,0.30608993251508587,0.3333333333333333,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,markov_graph_repaired,Markov repaired,0.332924340985898,0.3084023061223028,0.3333333333333333,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.35039096036445516,0.3199556853949745,0.3333333333333333,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
