dataset,regime,frac_cyclic,mean_largest_scc,mean_normalized_repair_objective,mean_delta_ndcg_at_10,helped_query_count,harmed_query_count,unchanged_query_count
bright,ms1,0.92,10.82,0.0547970834928075,-0.0140414975779359,19.0,13.0,18.0
bright,ms1_drop_mutual,0.22,3.08,0.0027989948037786,0.0001797238451473,2.0,3.0,45.0
bright,ms2,0.0,1.0,0.0,0.0,0.0,0.0,50.0
fiqa,ms1,0.9833333333333332,16.125,0.0801014779115595,0.0036342753536966,21.0,10.0,89.0
fiqa,ms1_drop_mutual,0.3083333333333333,3.3833333333333333,0.0036837498831988,-0.0001726379121421,0.0,2.0,118.0
fiqa,ms2,0.0,1.0,0.0,0.0,0.0,0.0,120.0
hotpotqa,ms1,0.6346153846153846,4.057692307692308,0.0288173236686801,0.0155060711775381,5.0,3.0,44.0
hotpotqa,ms1_drop_mutual,0.0192307692307692,1.1346153846153846,3.696256532717419e-05,0.0,0.0,0.0,52.0
hotpotqa,ms2,0.0,1.0,0.0,0.0,0.0,0.0,52.0
scidocs,ms1,0.9916666666666668,16.166666666666668,0.074419327846504,0.0110429686879515,36.0,22.0,62.0
scidocs,ms1_drop_mutual,0.1166666666666666,1.9333333333333331,0.0019859998674859,0.0005776953493883,1.0,0.0,119.0
scidocs,ms2,0.0,1.0,0.0,0.0,0.0,0.0,120.0
