dataset,preference_source,method,n_queries,ndcg_mean,map_mean,pairwise_accuracy_mean,tau_mean,runtime_mean_s,cyclic_pct,fas_removed_weight_mean
bright,qrels,borda,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,fas_balance_score_prior_alpha_beta,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,greedy_fas_copeland,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,greedy_fas_score_augmented_topological,50,1.0,1.0,1.0,-0.09199998000000001,0.00892832,0.0,0.0
bright,qrels,greedy_fas_topological,50,1.0,1.0,1.0,0.43347374,0.00892832,0.0,0.0
bright,qrels,greedy_fas_weighted_balance,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,hybrid_rrf_balance_a05,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,hybrid_rrf_copeland_a03,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,hybrid_rrf_fas_regularized,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels,hybrid_rrf_priority_topo_a03,50,1.0,1.0,1.0,-0.09199998000000001,0.00892832,0.0,0.0
bright,qrels,pagerank,50,1.0,1.0,1.0,0.43347374,0.00892832,0.0,0.0
bright,qrels,score_sum,50,1.0,1.0,1.0,1.0,0.00892832,0.0,0.0
bright,qrels_flip,borda,50,0.97343362,1.0,0.98990222,0.65389478,0.01030318,100.0,20.9
bright,qrels_flip,fas_balance_score_prior_alpha_beta,50,0.9961427999999999,0.9985238,0.99719488,0.60568418,0.01030318,100.0,20.9
bright,qrels_flip,greedy_fas_copeland,50,0.88137938,0.9936307200000001,0.95444272,0.57831572,0.01030318,100.0,20.9
bright,qrels_flip,greedy_fas_score_augmented_topological,50,0.7479719199999999,0.74140934,0.8237538600000001,0.0256842,0.01030318,100.0,20.9
bright,qrels_flip,greedy_fas_topological,50,0.74555654,0.74807548,0.82268494,0.29389474,0.01030318,100.0,20.9
bright,qrels_flip,greedy_fas_weighted_balance,50,0.98372456,0.99482872,0.99041448,0.60673684,0.01030318,100.0,20.9
bright,qrels_flip,hybrid_rrf_balance_a05,50,0.98372456,0.99482872,0.99041448,0.60673684,0.01030318,100.0,20.9
bright,qrels_flip,hybrid_rrf_copeland_a03,50,0.88137938,0.9936307200000001,0.95444272,0.57831572,0.01030318,100.0,20.9
bright,qrels_flip,hybrid_rrf_fas_regularized,50,0.98372456,0.99482872,0.99041448,0.60673684,0.01030318,100.0,20.9
bright,qrels_flip,hybrid_rrf_priority_topo_a03,50,0.7614131000000001,0.75736678,0.8341786600000001,0.16547367999999998,0.01030318,100.0,20.9
bright,qrels_flip,pagerank,50,0.90076156,0.81110266,0.9118376,0.36715792,0.01030318,100.0,20.9
bright,qrels_flip,score_sum,50,1.0,1.0,1.0,0.6345263400000001,0.01030318,100.0,20.9
fiqa,qrels,borda,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,fas_balance_score_prior_alpha_beta,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,greedy_fas_copeland,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,greedy_fas_score_augmented_topological,50,1.0,1.0,1.0,0.15073676,0.00920632,0.0,0.0
fiqa,qrels,greedy_fas_topological,50,1.0,1.0,1.0,0.5913684,0.00920632,0.0,0.0
fiqa,qrels,greedy_fas_weighted_balance,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,hybrid_rrf_balance_a05,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,hybrid_rrf_copeland_a03,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,hybrid_rrf_fas_regularized,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels,hybrid_rrf_priority_topo_a03,50,1.0,1.0,1.0,0.15073676,0.00920632,0.0,0.0
fiqa,qrels,pagerank,50,1.0,1.0,1.0,0.5913684,0.00920632,0.0,0.0
fiqa,qrels,score_sum,50,1.0,1.0,1.0,1.0,0.00920632,0.0,0.0
fiqa,qrels_flip,borda,50,0.9568268000000001,1.0,0.97438626,0.66968422,0.01132598,100.0,40.76
fiqa,qrels_flip,fas_balance_score_prior_alpha_beta,50,0.9852614599999999,0.9791036,0.98089854,0.60989478,0.01132598,100.0,40.76
fiqa,qrels_flip,greedy_fas_copeland,50,0.87921532,0.94579174,0.89840526,0.53936842,0.01132598,100.0,40.76
fiqa,qrels_flip,greedy_fas_score_augmented_topological,50,0.76598446,0.7596102600000001,0.7630921,0.15473684000000001,0.01132598,100.0,40.76
fiqa,qrels_flip,greedy_fas_topological,50,0.75607306,0.75802452,0.7586099000000001,0.30673688,0.01132598,100.0,40.76
fiqa,qrels_flip,greedy_fas_weighted_balance,50,0.97170714,0.9445167999999999,0.9483541200000001,0.5778947200000001,0.01132598,100.0,40.76
