stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,0.000261,0.000261,0.000261,0.000261
pairwise_preference_generation,1,0.000799,0.000799,0.000799,0.000799
graph_construction,1,0.005416,0.005416,0.005416,0.005416
cycle_detection,1,0.00034,0.00034,0.00034,0.00034
ranking_score_sum,1,0.000382,0.000382,0.000382,0.000382
ranking_borda,1,6.4e-05,6.4e-05,6.4e-05,6.4e-05
greedy_fas_solver,1,0.021983,0.021983,0.021983,0.021983
ranking_topological,1,0.000453,0.000453,0.000453,0.000453
ranking_priority_topological_score_sum,1,0.000272,0.000272,0.000272,0.000272
ranking_fas_weighted_balance,1,0.000139,0.000139,0.000139,0.000139
ranking_fas_copeland,1,9.2e-05,9.2e-05,9.2e-05,9.2e-05
ranking_hybrid_rrf_fas_regularized,1,0.000184,0.000184,0.000184,0.000184
evaluation,1,0.002013,0.002013,0.002013,0.002013
total_experiment,1,0.033163,0.033163,0.033163,0.033163
