method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,500,2.626,2.0,7.0,0.0,2.626,2.0,7,0.32479999800000003,0.333333,0.866667,0.32479999800000003,1.0,1.0,0.24680000000000002,1.0,1.0,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
borda,500,2.626,2.0,7.0,0.0,2.626,2.0,7,0.32479999800000003,0.333333,0.866667,0.32479999800000003,1.0,1.0,0.24680000000000002,1.0,1.0,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
pagerank,500,2.168,2.0,8.0,0.0,2.168,2.0,8,0.28346667000000003,0.288889,0.733333,0.28346667000000003,0.9362102019999999,0.8821333600000001,0.24680000000000002,1.0,0.944053612,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
greedy_fas_topological,500,0.932,1.0,6.0,0.0,0.932,1.0,6,0.206044436,0.2,0.644444,0.206044436,0.820197664,0.700684984,0.24680000000000002,1.0,0.835386972,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
greedy_fas_weighted_balance,500,2.54,2.0,9.0,0.0,2.54,2.0,9,0.6786666760000001,0.688889,1.0,0.6786666760000001,0.984203442,0.97214207,0.24680000000000002,1.0,0.981845242,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
greedy_fas_copeland,500,2.54,2.0,9.0,0.0,2.54,2.0,9,0.6786666760000001,0.688889,1.0,0.6786666760000001,0.984203442,0.97214207,0.24680000000000002,1.0,0.981845242,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
greedy_fas_score_augmented_topological,500,0.924,1.0,6.0,0.0,0.924,1.0,6,-0.03324444,-0.022222,0.377778,-0.03324444,0.820294446,0.700853238,0.24680000000000002,1.0,0.835988162,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
hybrid_rrf_fas_regularized,500,2.54,2.0,9.0,0.0,2.54,2.0,9,0.6786666760000001,0.688889,1.0,0.6786666760000001,0.984203442,0.97214207,0.24680000000000002,1.0,0.981845242,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
hybrid_rrf_balance_a05,500,2.54,2.0,9.0,0.0,2.54,2.0,9,0.6786666760000001,0.688889,1.0,0.6786666760000001,0.984203442,0.97214207,0.24680000000000002,1.0,0.981845242,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
hybrid_rrf_copeland_a03,500,2.54,2.0,9.0,0.0,2.54,2.0,9,0.6786666760000001,0.688889,1.0,0.6786666760000001,0.984203442,0.97214207,0.24680000000000002,1.0,0.981845242,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
hybrid_rrf_priority_topo_a03,500,0.958,1.0,6.0,0.0,0.958,1.0,6,-0.009155548,-0.022222,0.511111,-0.009155548,0.8215799540000001,0.703638172,0.24680000000000002,1.0,0.8395298259999999,0.0037645879999999997,0.003086,0.191658,10.0,18.34,54.400000000000006,1.012,2.626,2.272,2.626,2.272
