dataset,query_id,method,n_candidates,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency,api_calls,cache_hits,prompt_tokens,completion_tokens,total_tokens,parse_failures
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1395,59,1454,0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,llm_listwise,15,0.931793,0.821429,0.266667,1.0,10.0,10,1,0,1440,55,1495,0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1519,59,1578,0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,llm_listwise,15,0.906825,0.81,0.333333,1.0,4.0,4,1,0,1545,59,1604,0
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1503,55,1558,0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,llm_listwise,15,0.943473,0.852857,0.333333,1.0,4.0,4,1,0,1416,55,1471,0
scidocs,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1455,59,1514,0
scidocs,b37225fc67e1aeeb7877c4691f9036ed5cc01efa,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1511,59,1570,0
scidocs,4ec90b7da43e6438cbdc756624b1083f30288064,llm_listwise,15,0.656506,0.505952,0.333333,1.0,13.0,13,1,0,1540,59,1599,0
scidocs,78495383450e02c5fe817e408726134b3084905d,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1520,59,1579,0
scidocs,28f3343d2419147213e7580934cfc4e0cb88b088,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1479,59,1538,0
scidocs,c4e76b318149a106563d53892dde801a37a637cc,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1532,59,1591,0
scidocs,5f1f12015d55c51764be27df92de175d2de8ee0d,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1504,59,1563,0
scidocs,8bb49c0658d7b7cff42c655a6d7e005372ad32ea,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1337,59,1396,0
scidocs,9e76a700f03ef476b964b27e23c071163e44c232,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1532,59,1591,0
scidocs,7445178858159988f2b17aa21376e13767fce5a6,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1608,59,1667,0
scidocs,b47402a9a68f23b548ae6e0349700ea651b7a373,llm_listwise,15,1.0,1.0,0.333333,1.0,0,0,1,0,1494,59,1553,0
scidocs,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,llm_listwise,15,0.989606,0.966667,0.333333,1.0,1.0,1,1,0,1350,59,1409,0
scidocs,ac24b99a5db633ce45f053287ca806157fff9663,llm_listwise,15,0.646737,0.42359,0.333333,1.0,23.0,23,1,0,1197,59,1256,0
scidocs,4a343313042b654c7d85313de3d88486a1d0e9de,llm_listwise,15,1.0,1.0,0.266667,1.0,0,0,1,0,1488,59,1547,0
