method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,50,2.92,3.0,6.0,0.0,2.92,3.0,6,0.72088882,0.733333,1.0,0.72088882,1.0,1.0,0.258,1.0,1.0,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
borda,50,2.92,3.0,6.0,0.0,2.92,3.0,6,0.72088882,0.733333,1.0,0.72088882,1.0,1.0,0.258,1.0,1.0,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
pagerank,50,2.5,2.0,7.0,0.0,2.5,2.0,7,0.29688896,0.311111,0.688889,0.29688896,0.93479196,0.88188892,0.258,1.0,0.94273814,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
greedy_fas_topological,50,1.18,1.0,4.0,0.0,1.18,1.0,4,0.21422229999999998,0.155556,0.644444,0.21422229999999998,0.84144418,0.72266672,0.258,1.0,0.83613104,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
greedy_fas_weighted_balance,50,2.72,3.0,5.0,0.0,2.72,3.0,5,0.67111114,0.688889,1.0,0.67111114,0.98007468,0.9677778,0.258,1.0,0.98339286,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
greedy_fas_copeland,50,2.72,3.0,5.0,0.0,2.72,3.0,5,0.67111114,0.688889,1.0,0.67111114,0.98007468,0.9677778,0.258,1.0,0.98339286,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
greedy_fas_score_augmented_topological,50,1.16,1.0,4.0,0.0,1.16,1.0,4,2.000000000002e-08,0.0,0.377778,2.000000000002e-08,0.8417318,0.7233334,0.258,1.0,0.83708342,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
fas_balance_score_prior_alpha_beta,50,2.82,3.0,6.0,0.0,2.82,3.0,6,0.6755556,0.688889,1.0,0.6755556,0.99502552,0.99,0.258,1.0,0.99375,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
hybrid_rrf_fas_regularized,50,2.72,3.0,5.0,0.0,2.72,3.0,5,0.67111114,0.688889,1.0,0.67111114,0.98007468,0.9677778,0.258,1.0,0.98339286,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
hybrid_rrf_balance_a05,50,2.72,3.0,5.0,0.0,2.72,3.0,5,0.67111114,0.688889,1.0,0.67111114,0.98007468,0.9677778,0.258,1.0,0.98339286,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
hybrid_rrf_copeland_a03,50,2.72,3.0,5.0,0.0,2.72,3.0,5,0.67111114,0.688889,1.0,0.67111114,0.98007468,0.9677778,0.258,1.0,0.98339286,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
hybrid_rrf_priority_topo_a03,50,1.12,1.0,4.0,0.0,1.12,1.0,4,0.03644444,0.066667,0.466667,0.03644444,0.84302654,0.7258731,0.258,1.0,0.8408929399999999,0.00754482,0.00331,0.201088,10.0,18.9,60.0,1.24,2.92,2.36,2.92,2.36
