dataset,method,accuracy,avg_cost,on_pareto_frontier,dominated_by
fiqa,score_sum,1.0,0.00920632,True,
fiqa,borda,1.0,0.00920632,True,
fiqa,pagerank,1.0,0.00920632,True,
fiqa,greedy_fas_topological,1.0,0.00920632,True,
fiqa,greedy_fas_weighted_balance,1.0,0.00920632,True,
fiqa,greedy_fas_copeland,1.0,0.00920632,True,
fiqa,greedy_fas_score_augmented_topological,1.0,0.00920632,True,
fiqa,fas_balance_score_prior_alpha_beta,1.0,0.00920632,True,
fiqa,hybrid_rrf_fas_regularized,1.0,0.00920632,True,
fiqa,hybrid_rrf_balance_a05,1.0,0.00920632,True,
fiqa,hybrid_rrf_copeland_a03,1.0,0.00920632,True,
fiqa,hybrid_rrf_priority_topo_a03,1.0,0.00920632,True,
fiqa,cross_encoder,1.0,0.00920632,True,
