dataset,method,accuracy,avg_cost,on_pareto_frontier,dominated_by
hotpotqa,score_sum,1.0,0.0020530583501006,True,
hotpotqa,borda,1.0,0.0020530583501006,True,
hotpotqa,pagerank,1.0,0.0020530583501006,True,
hotpotqa,greedy_fas_topological,1.0,0.0020530583501006,True,
hotpotqa,greedy_fas_weighted_balance,1.0,0.0020530583501006,True,
hotpotqa,greedy_fas_copeland,1.0,0.0020530583501006,True,
hotpotqa,greedy_fas_score_augmented_topological,1.0,0.0020530583501006,True,
hotpotqa,fas_balance_score_prior_alpha_beta,1.0,0.0020530583501006,True,
hotpotqa,hybrid_rrf_fas_regularized,1.0,0.0020530583501006,True,
hotpotqa,hybrid_rrf_balance_a05,1.0,0.0020530583501006,True,
hotpotqa,hybrid_rrf_copeland_a03,1.0,0.0020530583501006,True,
hotpotqa,hybrid_rrf_priority_topo_a03,1.0,0.0020530583501006,True,
hotpotqa,cross_encoder,0.949931,0.0020530583501006,False,borda;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;pagerank;score_sum
hotpotqa,llm_pairwise_copeland_openai_pilot,0.8929,0.0244,False,borda;cross_encoder;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;pagerank;score_sum;tournament_sort_from_llm_openai_pilot
hotpotqa,bt_from_llm_openai_pilot,0.8859,0.0244,False,borda;cross_encoder;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;hybrid_rrf_unrepaired_balance_a03_openai_pilot;hybrid_rrf_unrepaired_copeland_a03_openai_pilot;llm_pairwise_copeland_openai_pilot;markov_from_llm_openai_pilot;pagerank;score_sum;tournament_sort_from_llm_openai_pilot;win_rate_from_llm_openai_pilot
hotpotqa,win_rate_from_llm_openai_pilot,0.8929,0.0244,False,borda;cross_encoder;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;pagerank;score_sum;tournament_sort_from_llm_openai_pilot
hotpotqa,markov_from_llm_openai_pilot,0.8868,0.0244,False,borda;cross_encoder;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;hybrid_rrf_unrepaired_balance_a03_openai_pilot;hybrid_rrf_unrepaired_copeland_a03_openai_pilot;llm_pairwise_copeland_openai_pilot;pagerank;score_sum;tournament_sort_from_llm_openai_pilot;win_rate_from_llm_openai_pilot
hotpotqa,tournament_sort_from_llm_openai_pilot,0.9008,0.0244,False,borda;cross_encoder;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;pagerank;score_sum
hotpotqa,greedy_fas_topological_openai_pilot,0.8778,0.0244,False,borda;bt_from_llm_openai_pilot;cross_encoder;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;hybrid_rrf_repaired_balance_a03_openai_pilot;hybrid_rrf_repaired_copeland_a03_openai_pilot;hybrid_rrf_unrepaired_balance_a03_openai_pilot;hybrid_rrf_unrepaired_copeland_a03_openai_pilot;llm_pairwise_copeland_openai_pilot;markov_from_llm_openai_pilot;pagerank;score_sum;tournament_sort_from_llm_openai_pilot;win_rate_from_llm_openai_pilot
