dataset,method,accuracy,avg_cost,source,preference_source,pilot_cost_usd_shared,revise_rate,extra_compute_rate,oracle_accuracy
scidocs,score_sum,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,borda,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,pagerank,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,greedy_fas_topological,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,greedy_fas_weighted_balance,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,greedy_fas_copeland,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,greedy_fas_score_augmented_topological,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,fas_balance_score_prior_alpha_beta,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,hybrid_rrf_fas_regularized,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,hybrid_rrf_balance_a05,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,hybrid_rrf_copeland_a03,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,hybrid_rrf_priority_topo_a03,1.0,0.003142176,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,score_sum,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,borda,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,pagerank,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,greedy_fas_topological,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,greedy_fas_weighted_balance,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,greedy_fas_copeland,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,greedy_fas_score_augmented_topological,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
