dataset,query_id,method,n_candidates,is_cyclic,n_fas_removed,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,llm_pairwise_copeland,20,True,80,0.495463,0.25316,0.25,1.0,70.0,70
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,bt_from_llm,20,True,80,0.494206,0.250528,0.25,1.0,68.0,68
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,win_rate_from_llm,20,True,80,0.495463,0.25316,0.25,1.0,70.0,70
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,markov_from_llm,20,True,80,0.491281,0.254545,0.25,1.0,67.0,67
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,tournament_sort_from_llm,20,True,80,0.523037,0.28881,0.25,1.0,69.0,69
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_topological,20,True,80,0.399843,0.161468,0.25,1.0,73.0,73
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_weighted_balance,20,True,80,0.401657,0.162301,0.25,1.0,81.0,81
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_copeland,20,True,80,0.401657,0.162301,0.25,1.0,81.0,81
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_repaired_copeland_a03,20,True,80,0.452605,0.201905,0.25,1.0,70.0,70
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_unrepaired_copeland_a03,20,True,80,0.495463,0.25316,0.25,1.0,70.0,70
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_repaired_balance_a03,20,True,80,0.452605,0.201905,0.25,1.0,70.0,70
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_unrepaired_balance_a03,20,True,80,0.495463,0.25316,0.25,1.0,70.0,70
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,llm_pairwise_copeland,20,True,104,0.626026,0.413194,0.2,1.0,63.0,63
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,bt_from_llm,20,True,104,0.626026,0.413194,0.2,1.0,65.0,65
