dataset,query_id,method,n_candidates,is_cyclic,n_fas_removed,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
fiqa,481,llm_pairwise_copeland,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,bt_from_llm,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,win_rate_from_llm,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,markov_from_llm,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,tournament_sort_from_llm,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,greedy_fas_topological,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,greedy_fas_weighted_balance,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,greedy_fas_copeland,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,hybrid_rrf_repaired_copeland_a03,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,hybrid_rrf_unrepaired_copeland_a03,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,hybrid_rrf_repaired_balance_a03,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,481,hybrid_rrf_unrepaired_balance_a03,7,False,0,1.0,1.0,1.0,1.0,0,0
fiqa,524,llm_pairwise_copeland,5,True,1,1.0,1.0,1.0,1.0,2.0,2
fiqa,524,bt_from_llm,5,True,1,1.0,1.0,1.0,1.0,2.0,2
fiqa,524,win_rate_from_llm,5,True,1,1.0,1.0,1.0,1.0,2.0,2
fiqa,524,markov_from_llm,5,True,1,1.0,1.0,1.0,1.0,2.0,2
fiqa,524,tournament_sort_from_llm,5,True,1,1.0,1.0,1.0,1.0,1.0,1
fiqa,524,greedy_fas_topological,5,True,1,1.0,1.0,1.0,1.0,1.0,1
fiqa,524,greedy_fas_weighted_balance,5,True,1,1.0,1.0,1.0,1.0,1.0,1
fiqa,524,greedy_fas_copeland,5,True,1,1.0,1.0,1.0,1.0,1.0,1
fiqa,524,hybrid_rrf_repaired_copeland_a03,5,True,1,1.0,1.0,1.0,1.0,1.0,1
fiqa,524,hybrid_rrf_unrepaired_copeland_a03,5,True,1,1.0,1.0,1.0,1.0,2.0,2
fiqa,524,hybrid_rrf_repaired_balance_a03,5,True,1,1.0,1.0,1.0,1.0,1.0,1
