filename,path,experiment,dataset,regime,compared_methods,is_canonical,use_in_manuscript,reason
table_bootstrap_delta_ndcg.csv,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,pub_vote_cmp_all4 (canonical four-dataset vote suite),scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,repaired_copeland vs unrepaired_copeland; repaired_balance vs unrepaired_balance (+ scc_high/scc_low sub-strata),yes,yes - PRIMARY SOURCE for Figure 4,"Canonical bootstrap table (2000 reps), explicitly flagged 'canonical: yes, recommended_usage: main_table' in papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv"
{dataset}_{variant}_delta_{pair}.json (24 files),outputs/pub_vote_cmp_all4/analysis/,pub_vote_cmp_all4 (canonical four-dataset vote suite),scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,repaired_copeland vs unrepaired_copeland; repaired_balance vs unrepaired_balance,yes,yes - per-cell provenance for Figure 4,"Per (dataset,variant,pair) bootstrap detail feeding table_bootstrap_delta_ndcg.csv; includes SCC-stratified sub-analysis used for Figure S5, not main Figure 4"
table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,pub_vote_cmp_all4 (canonical four-dataset vote suite),scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,mean_ndcg_uco/rco (unrepaired/repaired Copeland); mean_ndcg_uba/rba (unrepaired/repaired balance); mean_ndcg_prior,yes,yes - supplies mean_before/mean_after for Figure 4,Canonical structural+nDCG table; used only to cross-check the point means underlying the bootstrap deltas (no new statistics computed)
table_bootstrap_delta_ndcg.csv (copy),outputs/final_jis_package/tables/table_bootstrap_delta_ndcg.csv,Packaged JIS-aligned reference copy,scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,same as canonical table,yes (byte-identical duplicate),no - redundant copy,"Verified byte-identical to the canonical outputs/pub_vote_cmp_all4 table via diff; kept only as a packaged reference, not used directly to avoid citing two paths for one fact"
T02_main_real_bootstrap_delta_ndcg_pairs.csv,reports/jis_final_tables/T02_main_real_bootstrap_delta_ndcg_pairs.csv,Manuscript-formatted table copy,scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,same as canonical table,yes (byte-identical duplicate),no - redundant copy,"Verified byte-identical to canonical table via diff. reports/jis_final_tables/README.md documents it was copied from outputs/pub_vote_cmp_all4 and explicitly excludes v2-derived tables to avoid contradicting this file"
fig_delta_ndcg_bootstrap.png,outputs/pub_vote_cmp_all4/paper_package/plots/fig_delta_ndcg_bootstrap.png,Pre-rendered forest plot from canonical table,scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,same as canonical table,yes,no - image only, not machine-readable data,Rendered PNG; underlying CSV is the canonical table above; not used as a data source (a figure cannot be re-derived from a rendered image)
table_bootstrap_delta_ndcg.csv (v2),outputs/pub_vote_cmp_v2/paper_package/tables/table_bootstrap_delta_ndcg.csv,pub_vote_cmp_v2 (two-dataset suite),scidocs;fiqa (only two datasets),ms2;ms1;ms1_drop_mutual,no,NO - EXPLICITLY EXCLUDED BY TASK RULES,"Superseded two-dataset suite; papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv flags recommended_usage=do_not_use, canonical=no, stale=yes. Conflicts with all4 on SciDocs ms1 framing (would claim significant harm where all4 CI straddles zero)"
q1_journal_package tables,outputs/q1_journal_package/,Journal package built from v2 by default,unknown,unknown,unknown,no,NO - EXPLICITLY EXCLUDED BY TASK RULES,Built from pub_vote_cmp_v2 per MASTER_EVIDENCE_INVENTORY.csv (recommended_usage=do_not_use)
table_1_main_performance.csv etc.,outputs/manuscript_artifacts/tables/,Pre-all4 generated LaTeX/CSV tables,unknown,unknown,unknown,no,NO - EXPLICITLY EXCLUDED BY TASK RULES,"Flagged 'manuscript_artifacts_stale' in MASTER_EVIDENCE_INVENTORY.csv (canonical=no, historical=yes, stale=yes); predates the all4 suite"
Consistency_Aware...IJCS.zip,Consistency_Aware_Reranking_via_Preference_Graph_Repair__Structural_Gains_and_Conditional_Retrieval_Effects_IJCS.zip,Rejected IJCS submission archive,scidocs;fiqa (two datasets only),unknown,unknown,no,NO - EXPLICITLY EXCLUDED BY TASK RULES,Rejected manuscript; canonical=no historical=yes stale=yes per MASTER_EVIDENCE_INVENTORY.csv
hotpotqa_bootstrap_fp0.15.csv / scidocs_bootstrap_fp*.csv,outputs/bootstrap_modern/{hotpotqa,scidocs}/,Modern-baseline flip-probability robustness check,hotpotqa;scidocs (two datasets only),flip_prob sweep (0.05-0.30), not ms2/ms1/ms1_drop_mutual,score_sum vs greedy_fas_topological; score_sum vs bt_aggregation (not repaired-vs-unrepaired of the same method),no,no - different comparison/protocol,Different experimental question (fusion baseline vs FAS-repaired ranking under synthetic label flips); not a repair-vs-no-repair comparison on the canonical four-dataset suite
bootstrap_results.csv,docs/tables/bootstrap_results.csv,Legacy blocked attempt,none (status=blocked),none,none - file records a failed run (no real qrels/API access at generation time),no,no - contains no data,"Single row with status=blocked, reason='No real-data per_query.csv... live dataset download failed'. Not usable evidence"
bootstrap_results_combined_summary.csv,docs/tables/bootstrap_results_combined_summary.csv,Legacy combined summary,bright;others,qrels,greedy_fas_weighted_balance vs borda/score_sum (kendall_tau metric, not nDCG),no,no - different metric/protocol; legacy,"Flagged 'docs_tables_legacy' in MASTER_EVIDENCE_INVENTORY.csv (canonical=no, recommended_usage=verify_before_use); rows shown have mean_diff=0.0/p=1.0 placeholder-like values and use kendall_tau, not nDCG@15"
bootstrap_results_qrels.csv / bootstrap_results_qrels_flip.csv,docs/tables/,Legacy qrels-based bootstrap tables,unknown,qrels / qrels_flip,unknown,no,no - legacy/unverified,"Part of docs_tables_legacy group in MASTER_EVIDENCE_INVENTORY.csv; low confidence, verify_before_use"
{dataset}_qrels_bootstrap_ndcg_at_k.csv,outputs/real_full/{dataset}/qrels/bootstrap/,real_full (qrels-derived preference protocol),scidocs;fiqa;hotpotqa;bright,qrels;qrels_flip (different regime family than ms2/ms1/ms1_drop_mutual),borda vs score_sum; greedy_fas_weighted_balance vs score_sum,no,no - different protocol family,"Flagged 'do_not_mix' in MASTER_EVIDENCE_INVENTORY.csv; a different preference-construction protocol (qrels-derived, not vote-derived) from the canonical vote suite. Several rows show degenerate all-zero deltas"
openai_bootstrap_summary.csv / pointwise_bootstrap_summary.csv / listwise_bootstrap_summary.csv (8 files),outputs/openai_*/,Bounded real-LLM pilot runs,scidocs;fiqa;hotpotqa,ms1-style pairwise/pointwise/listwise LLM judgments,hybrid_rrf_repaired_copeland_a03 vs hybrid_rrf_unrepaired_copeland_a03 (same comparison family, real-LLM judge),conditional,no - appendix-only real-LLM analog,"Same repair-vs-no-repair comparison but under bounded real-LLM judgments (N=10-50 queries per dataset, ~80 total). Legitimate for §8 Real-LLM Validation / Table 9 appendix material, but not canonical for the main mechanical-vote Figure 4 (different judge source, far smaller N, per papers/JDIQ_2026/CANONICAL_PAPER_STORY.md S4)"
"failure_class_audit bootstrap-adjacent files (manual_failure_summary.csv, graph_variant_current_method.csv)",experiments/failure_class_audit_20260711_212157/,Failure taxonomy audit (per-query deltas, not aggregate bootstrap CIs),scidocs;fiqa;hotpotqa;bright,ms2;ms1;ms1_drop_mutual,repaired vs unrepaired current method (per-query, no bootstrap CI computed),yes (as failure taxonomy, not as bootstrap CI),no - not a bootstrap-CI table,"Canonical and important for Figure 7/8 (failure taxonomy, per-query SCC scatter), but does not itself contain bootstrap confidence intervals; out of scope for Figure 4 specifically"
