dataset,regime,method_before,method_after,n_queries,mean_before,mean_after,delta_ndcg,bootstrap_ci_low,bootstrap_ci_high,bootstrap_std,significant,crosses_zero,ci_relation_to_zero,effect_direction,bootstrap_reps,canonical_source_file,canonical_table,means_source_file,per_cell_json_source
fiqa,ms2,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,117,0.228736,0.228736,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/fiqa_ms2_delta_copeland.json
fiqa,ms2,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,117,0.232366,0.232366,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/fiqa_ms2_delta_balance.json
fiqa,ms1,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,120,0.241381,0.242837,0.0014557083333333323,-0.0005147166666666684,0.004236249999999999,,False,True,straddles_zero,positive,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/fiqa_ms1_delta_copeland.json
fiqa,ms1,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,120,0.241522,0.241522,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/fiqa_ms1_delta_balance.json
fiqa,ms1_drop_mutual,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,120,0.241381,0.241381,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/fiqa_ms1_drop_mutual_delta_copeland.json
fiqa,ms1_drop_mutual,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,120,0.241739,0.241739,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/fiqa_ms1_drop_mutual_delta_balance.json
scidocs,ms2,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,119,0.307987,0.307987,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/scidocs_ms2_delta_copeland.json
scidocs,ms2,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,119,0.30227,0.30227,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/scidocs_ms2_delta_balance.json
scidocs,ms1,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,120,0.302274,0.302148,-0.0001266000000000003,-0.0008435833333333341,0.0005953333333333319,,False,True,straddles_zero,negative,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/scidocs_ms1_delta_copeland.json
scidocs,ms1,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,120,0.301644,0.301644,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/scidocs_ms1_delta_balance.json
scidocs,ms1_drop_mutual,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,120,0.302274,0.302274,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/scidocs_ms1_drop_mutual_delta_copeland.json
scidocs,ms1_drop_mutual,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,120,0.301659,0.301659,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/scidocs_ms1_drop_mutual_delta_balance.json
bright,ms2,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,34,0.553861,0.553861,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/bright_ms2_delta_copeland.json
bright,ms2,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,34,0.565091,0.565091,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/bright_ms2_delta_balance.json
bright,ms1,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,50,0.520101,0.520122,2.1920000000001938e-05,-0.0018147599999999997,0.001646000000000003,,False,True,straddles_zero,positive,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/bright_ms1_delta_copeland.json
bright,ms1,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,50,0.532291,0.532291,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/bright_ms1_delta_balance.json
bright,ms1_drop_mutual,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,50,0.520101,0.520101,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/bright_ms1_drop_mutual_delta_copeland.json
bright,ms1_drop_mutual,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,50,0.530225,0.530225,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/bright_ms1_drop_mutual_delta_balance.json
hotpotqa,ms2,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,52,0.854978,0.854978,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/hotpotqa_ms2_delta_copeland.json
hotpotqa,ms2,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,52,0.89303,0.89303,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/hotpotqa_ms2_delta_balance.json
hotpotqa,ms1,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,52,0.889175,0.905888,0.016712884615384616,0.0,0.04052326923076924,,True,False,positive_bounded_at_zero,positive,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/hotpotqa_ms1_delta_copeland.json
hotpotqa,ms1,hybrid_rrf_unrepaired_balance_a03,hybrid_rrf_repaired_balance_a03,52,0.909397,0.909397,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/hotpotqa_ms1_delta_balance.json
hotpotqa,ms1_drop_mutual,hybrid_rrf_unrepaired_copeland_a03,hybrid_rrf_repaired_copeland_a03,52,0.889175,0.889175,0.0,0.0,0.0,,False,False,exactly_zero,zero,2000,outputs/pub_vote_cmp_all4/paper_package/tables/table_bootstrap_delta_ndcg.csv,table_bootstrap_delta_ndcg,outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv,outputs/pub_vote_cmp_all4/analysis/hotpotqa_ms1_drop_mutual_delta_copeland.json
