decision,dimension,frac_beneficial,headroom,headroom_ci_lower,headroom_ci_upper,n_queries,value
NO_MEANINGFUL_HEADROOM,confidence_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.1
NO_MEANINGFUL_HEADROOM,confidence_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.25
NO_MEANINGFUL_HEADROOM,confidence_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.5
NO_MEANINGFUL_HEADROOM,confidence_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.75
NO_MEANINGFUL_HEADROOM,confidence_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.9
NO_MEANINGFUL_HEADROOM,margin_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.1
NO_MEANINGFUL_HEADROOM,margin_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.5
NO_MEANINGFUL_HEADROOM,margin_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,1.0
NO_MEANINGFUL_HEADROOM,margin_threshold_tau,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,2.0
NO_MEANINGFUL_HEADROOM,conservative_acceptance_margin,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.01
NO_MEANINGFUL_HEADROOM,conservative_acceptance_margin,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.05
NO_MEANINGFUL_HEADROOM,conservative_acceptance_margin,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.1
NO_MEANINGFUL_HEADROOM,conservative_acceptance_margin,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,0.2
AMBIGUOUS_NEED_MORE_DATA,topk,0.041666666666666664,0.011824725057290328,0.0024673492580488767,0.025092756906721414,120,3
MEANINGFUL_HEADROOM,topk,0.14166666666666666,0.01931887972491704,0.010727685771006145,0.028694344004154344,120,5
NO_MEANINGFUL_HEADROOM,topk,0.275,0.005368560672655015,0.002910639677729014,0.008411473320923124,120,10
NO_MEANINGFUL_HEADROOM,topk,0.275,0.005335338325999675,0.002873801712216035,0.008386213405969949,120,20
AMBIGUOUS_NEED_MORE_DATA,local_method,0.2857142857142857,0.004567120869528596,0.0,0.010372386145411281,7,greedy_only
NO_MEANINGFUL_HEADROOM,local_method,0.0,0.0,0.0,0.0,5,exact_only
NO_MEANINGFUL_HEADROOM,repair_scope,0.09523809523809523,0.001690387567617849,0.0002474708288773222,0.004039371152820851,42,whole_graph_only
NO_MEANINGFUL_HEADROOM,repair_scope,0.15625,0.0045073351936379576,0.0008920453302286649,0.009321844592186813,32,scc_local_only
