dataset,variant,n_queries,mean_bew_pre,mean_bew_post,mean_delta_bew_pre_minus_post,mean_pic_pre,mean_pic_post,mean_fas_weight_removed
scidocs,ms2,119,133.2651,133.2651,0.0,20.8992,20.8992,0.0
scidocs,ms1,120,294.2158,293.8831,0.3327,94.1833,89.9333,0.68208
scidocs,ms1_drop_mutual,120,284.8144,284.8144,0.0,85.55,85.55,0.0
fiqa,ms2,117,80.0452,80.0452,0.0,19.3333,19.3333,0.0
fiqa,ms1,120,224.8073,224.3351,0.4722,99.3583,93.1417,1.099149
fiqa,ms1_drop_mutual,120,209.4048,209.4048,0.0,85.575,85.575,0.0
hotpotqa,ms2,52,52.7693,52.7693,0.0,5.9231,5.9231,0.0
hotpotqa,ms1,52,91.8152,91.7806,0.0346,18.8462,18.3462,0.121092
hotpotqa,ms1_drop_mutual,52,88.7036,88.7036,0.0,17.3462,17.3462,0.0
bright,ms2,34,201.9684,201.9684,0.0,5.2353,5.2353,0.0
bright,ms1,50,882.6879,882.4543,0.2336,55.56,52.8,0.387835
bright,ms1_drop_mutual,50,863.0268,863.0212,0.0056,50.94,50.84,0.008793
