dataset,variant,n_queries,pct_cyclic,avg_largest_scc,avg_n_edges,mean_graph_ref_bew_pre,mean_graph_ref_bew_post,mean_delta_bew_qrels_pre_minus_post,mean_graph_ref_pic_pre,mean_graph_ref_pic_post,mean_delta_pic_qrels_pre_minus_post,mean_fas_weight_removed,mean_ndcg_prior,mean_ndcg_uco,mean_ndcg_rco,mean_ndcg_uba,mean_ndcg_rba
scidocs,ms2,119,0.0,1.0,46.571,133.2651,133.2651,0.0,20.8992,20.8992,0.0,0.0,0.306818,0.307987,0.307987,0.30227,0.30227
scidocs,ms1,120,87.5,9.333,195.425,294.2158,293.8831,0.3327,94.1833,89.9333,4.25,0.68208,0.30652,0.302274,0.302148,0.301644,0.301644
scidocs,ms1_drop_mutual,120,0.0,1.0,178.158,284.8144,284.8144,0.0,85.55,85.55,0.0,0.0,0.30652,0.302274,0.302274,0.301659,0.301659
fiqa,ms2,117,0.0,1.0,41.325,80.0452,80.0452,0.0,19.3333,19.3333,0.0,0.0,0.22535,0.228736,0.228736,0.232366,0.232366
fiqa,ms1,120,95.0,12.508,200.55,224.8073,224.3351,0.4722,99.3583,93.1417,6.2167,1.099149,0.237183,0.241381,0.242837,0.241522,0.241522
fiqa,ms1_drop_mutual,120,0.0,1.0,172.983,209.4048,209.4048,0.0,85.575,85.575,0.0,0.0,0.237245,0.241381,0.241381,0.241739,0.241739
hotpotqa,ms2,52,0.0,1.0,20.308,52.7693,52.7693,0.0,5.9231,5.9231,0.0,0.0,0.862893,0.854978,0.854978,0.89303,0.89303
hotpotqa,ms1,52,51.92,2.519,46.058,91.8152,91.7806,0.0346,18.8462,18.3462,0.5,0.121092,0.876742,0.889175,0.905888,0.909397,0.909397
hotpotqa,ms1_drop_mutual,52,0.0,1.0,43.058,88.7036,88.7036,0.0,17.3462,17.3462,0.0,0.0,0.876742,0.889175,0.889175,0.909397,0.909397
bright,ms2,34,0.0,1.0,17.588,201.9684,201.9684,0.0,5.2353,5.2353,0.0,0.0,0.568086,0.553861,0.553861,0.565091,0.565091
bright,ms1,50,60.0,6.48,128.46,882.6879,882.4543,0.2336,55.56,52.8,2.76,0.387835,0.522822,0.520101,0.520122,0.532291,0.532291
bright,ms1_drop_mutual,50,6.0,1.4,119.22,863.0268,863.0212,0.0056,50.94,50.84,0.1,0.008793,0.522822,0.520101,0.520101,0.530225,0.530225
