dataset,pool_label,pool_size,query_id,n_nodes,n_edges,density,n_weak_components,largest_weak_component,largest_scc,is_cyclic,edges_all3_agree,edges_exactly2_agree
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,20,73,0.19210526315789472,1,20,1,False,10,63
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,20,68,0.17894736842105263,1,20,1,False,11,57
scidocs,canonical,20,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,20,70,0.18421052631578946,1,20,1,False,6,64
scidocs,canonical,20,3a63667284dc8b9687ed1620406030bfe39af3c9,20,110,0.2894736842105263,1,20,1,False,44,66
scidocs,canonical,20,071f47b7bc5830643e31dbed82e0375bf9b26559,20,35,0.09210526315789473,1,20,1,False,9,26
scidocs,canonical,20,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,20,99,0.26052631578947366,1,20,1,False,44,55
scidocs,canonical,20,a65196dfff31425281c690a7f2ca65247147da6b,20,65,0.17105263157894737,1,20,1,False,19,46
scidocs,canonical,20,a04b5b99f5d9d8748843e870536a4a9f65562012,20,108,0.28421052631578947,1,20,1,False,23,85
scidocs,canonical,20,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,20,78,0.20526315789473684,1,20,1,False,30,48
scidocs,canonical,20,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,20,29,0.07631578947368421,5,16,1,False,0,29
scidocs,canonical,20,648678f1edab0d2139958070744b826d2b24c79e,20,65,0.17105263157894737,1,20,1,False,16,49
scidocs,canonical,20,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,20,40,0.10526315789473684,2,19,1,False,2,38
scidocs,canonical,20,4715401473dca02ebaa5bdd4d4003705ed91c380,20,121,0.31842105263157894,1,20,1,False,50,71
scidocs,canonical,20,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,20,108,0.28421052631578947,1,20,1,False,44,64
scidocs,canonical,20,3be10c45163c61dfb9f250412699b3f8cb0ada1d,20,88,0.23157894736842105,1,20,1,False,34,54
scidocs,canonical,20,566c89a1ace18f57ac3212e6d62634b501990b31,20,26,0.06842105263157895,1,20,1,False,7,19
scidocs,canonical,20,370fda29c5aaff285311a87824c5f28db33da021,20,80,0.21052631578947367,1,20,1,False,17,63
scidocs,canonical,20,6c89453c09abde95d998f5acd244f00519472ee0,20,93,0.24473684210526317,1,20,1,False,37,56
scidocs,canonical,20,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,20,107,0.28157894736842104,1,20,1,False,24,83
scidocs,canonical,20,714c194a2fc326151b905270558aa137f9f22730,20,99,0.26052631578947366,1,20,1,False,10,89
scidocs,canonical,20,c79b88a8d8ba491cead38b431703d84015153a8f,20,106,0.2789473684210526,1,20,1,False,36,70
scidocs,canonical,20,b2a20116c0609e23d3adfeaa604500fddca66178,20,37,0.09736842105263158,2,19,1,False,6,31
scidocs,canonical,20,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,20,42,0.11052631578947368,1,20,1,False,0,42
scidocs,canonical,20,281b6888d5df1dddb350fac4e9be5c8272519109,20,35,0.09210526315789473,1,20,1,False,9,26
