dataset,pool_label,pool_size,metric_cutoff,construction,regime,query_id,n_edges,density,mutual_pair_count,is_cyclic,n_edges_removed,removed_weight,copeland_ndcg_unrepaired,copeland_ndcg_repaired,copeland_ndcg_delta,balance_ndcg_unrepaired,balance_ndcg_repaired,balance_ndcg_delta
scidocs,canonical,20,20,post_pool_minmax,ms2,78495383450e02c5fe817e408726134b3084905d,69,0.18157894736842106,0,False,0,0.0,0.6309297535714575,0.6309297535714575,0.0,0.6309297535714575,0.6309297535714575,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,50,0.13157894736842105,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,51,0.13421052631578947,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,3a63667284dc8b9687ed1620406030bfe39af3c9,78,0.20526315789473684,0,False,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,071f47b7bc5830643e31dbed82e0375bf9b26559,41,0.10789473684210527,0,False,0,0.0,0.872201441250412,0.872201441250412,0.0,0.872201441250412,0.872201441250412,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,100,0.2631578947368421,0,False,0,0.0,0.811203449181561,0.811203449181561,0.0,0.8660640566639971,0.8660640566639971,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,a65196dfff31425281c690a7f2ca65247147da6b,65,0.17105263157894737,0,False,0,0.0,0.4084084369553121,0.4084084369553121,0.0,0.4084084369553121,0.4084084369553121,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,a04b5b99f5d9d8748843e870536a4a9f65562012,97,0.25526315789473686,0,False,0,0.0,0.5068083260394044,0.5068083260394044,0.0,0.5068083260394044,0.5068083260394044,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,91,0.2394736842105263,0,False,0,0.0,0.3102267425692945,0.3102267425692945,0.0,0.31432962328057273,0.31432962328057273,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,31,0.08157894736842106,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,648678f1edab0d2139958070744b826d2b24c79e,57,0.15,0,False,0,0.0,0.6039071644781281,0.6039071644781281,0.0,0.7861953672493219,0.7861953672493219,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,26,0.06842105263157895,0,False,0,0.0,0.43067655807339306,0.43067655807339306,0.0,0.31546487678572877,0.31546487678572877,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,4715401473dca02ebaa5bdd4d4003705ed91c380,94,0.24736842105263157,0,False,0,0.0,0.7019332706162753,0.7019332706162753,0.0,0.7019332706162753,0.7019332706162753,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,110,0.2894736842105263,0,False,0,0.0,0.6309297535714575,0.6309297535714575,0.0,0.6309297535714575,0.6309297535714575,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,3be10c45163c61dfb9f250412699b3f8cb0ada1d,82,0.21578947368421053,0,False,0,0.0,0.38685280723454163,0.38685280723454163,0.0,0.38685280723454163,0.38685280723454163,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,566c89a1ace18f57ac3212e6d62634b501990b31,38,0.1,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,370fda29c5aaff285311a87824c5f28db33da021,74,0.19473684210526315,0,False,0,0.0,0.31807342473412825,0.31807342473412825,0.0,0.3467132018086354,0.3467132018086354,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,6c89453c09abde95d998f5acd244f00519472ee0,87,0.22894736842105262,0,False,0,0.0,0.43067655807339306,0.43067655807339306,0.0,0.43067655807339306,0.43067655807339306,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,94,0.24736842105263157,0,False,0,0.0,0.3662998801016243,0.3662998801016243,0.0,0.3662998801016243,0.3662998801016243,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,714c194a2fc326151b905270558aa137f9f22730,83,0.21842105263157896,0,False,0,0.0,0.27894294565112987,0.27894294565112987,0.0,0.27894294565112987,0.27894294565112987,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,c79b88a8d8ba491cead38b431703d84015153a8f,91,0.2394736842105263,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,b2a20116c0609e23d3adfeaa604500fddca66178,39,0.10263157894736842,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,36,0.09473684210526316,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,281b6888d5df1dddb350fac4e9be5c8272519109,25,0.06578947368421052,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,0a40663fdcf7c5fb7cfc459693116c41309e7eca,38,0.1,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,8501e330d78391f4e690886a8eb8fac867704ea6,52,0.1368421052631579,0,False,0,0.0,0.4776066804504473,0.4776066804504473,0.0,0.4776066804504473,0.4776066804504473,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,beac53e8074b4822943a3374ff5e9fed98a891b8,86,0.22631578947368422,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,54,0.14210526315789473,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,7db20fcc1d71edc32c365f145148d24b9f1427a5,46,0.12105263157894737,0,False,0,0.0,0.35438919069682395,0.35438919069682395,0.0,0.3378624949709328,0.3378624949709328,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,335ad0ff82c728aca99fb0059c607cb18129526f,32,0.08421052631578947,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,04e4034344bda5c97015ea634e6eb1b65ef3a898,89,0.23421052631578948,0,False,0,0.0,0.6509209298071326,0.6509209298071326,0.0,0.6509209298071326,0.6509209298071326,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,271a4077c037b86fb7daf6bff3e66682322ff7d7,20,0.05263157894736842,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,3d23666c6d97d6ba3c86044d83c697821084bed6,75,0.19736842105263158,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,fd4537b92ab9fa7c653e9e5b9c4f815914a498c0,84,0.22105263157894736,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,191ea925c2115755b44380c99d84f4a1099b4dcd,72,0.18947368421052632,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,458f1428273254fc5dd399f3c104f507680ddd54,57,0.15,0,False,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,80,0.21052631578947367,0,False,0,0.0,1.0,1.0,0.0,0.43067655807339306,0.43067655807339306,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,84424eee012089dac9414979f0cb1465c97c4408,60,0.15789473684210525,0,False,0,0.0,0.23540891336663824,0.23540891336663824,0.0,0.23540891336663824,0.23540891336663824,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,5bb6b779de7929c573f39cd84169cafbd72e5bae,89,0.23421052631578948,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,7b6652910c5cc0df9ff6bc91912a02e58a742d26,37,0.09736842105263158,0,False,0,0.0,0.2890648263178879,0.2890648263178879,0.0,0.2890648263178879,0.2890648263178879,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,df0ef17f63582603dafb1ac5c489dec1416ecbf4,41,0.10789473684210527,0,False,0,0.0,0.33529530548326497,0.33529530548326497,0.0,0.33529530548326497,0.33529530548326497,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,f2d5039b55d626ef5466a80e950bddd5cc1819d4,51,0.13421052631578947,0,False,0,0.0,0.7550160946314525,0.7550160946314525,0.0,0.7574875071481796,0.7574875071481796,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,7492683af60d02dbd658acdc61249571f8c20fc8,49,0.12894736842105264,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,f7f32e86c23a902ac55fba8b8191026f563bec5b,84,0.22105263157894736,0,False,0,0.0,0.3264445986455623,0.3264445986455623,0.0,0.3191081886500419,0.3191081886500419,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,a22e737d38a1bc671893a7ed341aba436571097a,34,0.08947368421052632,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,4b80771429b786ea87740738378ba1eb1504a57f,34,0.08947368421052632,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,9003fb79e7848ced3be975c3d87a9348a4b8d377,43,0.11315789473684211,0,False,0,0.0,0.8772153153380493,0.8772153153380493,0.0,0.8503449055347546,0.8503449055347546,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,ac58b487e864afafe71c6158553eed10fbc8eef5,46,0.12105263157894737,0,False,0,0.0,0.8164569778296022,0.8164569778296022,0.0,0.814390483993232,0.814390483993232,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,30c9a7660281ad8e4538ff9beb20282c74fac810,33,0.0868421052631579,0,True,1,0.5678824342224762,0.27023815442731974,0.26264953503719357,-0.007588619390126172,0.2890648263178879,0.2890648263178879,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,129397ed6557da93db5ba18cf112ee7b0a7927d8,108,0.28421052631578947,0,False,0,0.0,0.42177340954886444,0.42177340954886444,0.0,0.4082307968370143,0.4082307968370143,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,1a66df57f88e689438d505474eff73e3a9180c5b,57,0.15,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,e00ab75a8aa637d9c4c5c020e9f2c54b31528031,49,0.12894736842105264,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,7707c7aac35a4d206eb061305256452051ae4dcf,59,0.15526315789473685,0,False,0,0.0,0.44616897024747965,0.44616897024747965,0.0,0.44616897024747965,0.44616897024747965,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,23386571ed332e4a465c0a6fa899f310caa217c8,70,0.18421052631578946,0,False,0,0.0,0.23981246656813146,0.23981246656813146,0.0,0.23981246656813146,0.23981246656813146,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,e7ec9e900556d9d9e47b274911ad304bcf198256,83,0.21842105263157896,0,False,0,0.0,0.9171148197912435,0.9171148197912435,0.0,0.9233792107251141,0.9233792107251141,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,ca464085b3da330f2ea895543a78c446a3af1bb6,51,0.13421052631578947,0,False,0,0.0,0.5,0.5,0.0,0.5,0.5,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,f09db8a42d713774483f023b31e0ee96361823f4,55,0.14473684210526316,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,958ebc7e24012b419316489515f2c2f908773bd5,52,0.1368421052631579,0,False,0,0.0,0.5578858913022597,0.5578858913022597,0.0,0.5714285040141098,0.5714285040141098,0.0
scidocs,canonical,20,20,post_pool_minmax,ms2,73d54af530d22599cc76b9785ae0a663cc694df2,87,0.22894736842105262,0,False,0,0.0,0.3562071871080222,0.3562071871080222,0.0,0.3562071871080222,0.3562071871080222,0.0
