dataset,pool_label,variant,regime,pair_method,n_queries,mean_delta,raw_pvalue,test_kind
bright,canonical,all_three,ms1,balance,50,-0.004932882037029534,0.07589241075892411,monte_carlo_sign_flip
bright,canonical,all_three,ms1,copeland,50,0.006859035570446189,0.6055394460553944,monte_carlo_sign_flip
bright,canonical,all_three,ms1_drop_mutual,balance,50,0.00019536560081498844,0.4375,exact_sign_flip
bright,canonical,all_three,ms1_drop_mutual,copeland,50,0.0015780921560332461,0.698974609375,exact_sign_flip
bright,canonical,all_three,ms2,balance,50,0.0,1.0,exact_sign_flip
bright,canonical,all_three,ms2,copeland,50,0.00013867926747483273,1.0,exact_sign_flip
bright,canonical,pair_bm25_minilm,pair_any,balance,50,-0.0006601234805836254,0.734375,exact_sign_flip
bright,canonical,pair_bm25_minilm,pair_any,copeland,50,-0.005000117687628861,0.7393260673932607,monte_carlo_sign_flip
bright,canonical,pair_bm25_minilm,pair_any_drop_mutual,balance,50,-0.00071508252580054,0.5,exact_sign_flip
bright,canonical,pair_bm25_minilm,pair_any_drop_mutual,copeland,50,0.0013495739537827034,0.671875,exact_sign_flip
bright,canonical,pair_bm25_minilm,pair_unanimous,balance,50,0.0,1.0,exact_sign_flip
bright,canonical,pair_bm25_minilm,pair_unanimous,copeland,50,0.0,1.0,exact_sign_flip
bright,canonical,pair_bm25_tfidf,pair_any,balance,50,0.0013453066485809783,0.5162582397460938,exact_sign_flip
bright,canonical,pair_bm25_tfidf,pair_any,copeland,50,-0.004728225878066149,0.9363063693630637,monte_carlo_sign_flip
bright,canonical,pair_bm25_tfidf,pair_any_drop_mutual,balance,50,-0.00010466601248554141,1.0,exact_sign_flip
bright,canonical,pair_bm25_tfidf,pair_any_drop_mutual,copeland,50,-0.0003430511589873331,0.732421875,exact_sign_flip
bright,canonical,pair_bm25_tfidf,pair_unanimous,balance,50,0.0,1.0,exact_sign_flip
bright,canonical,pair_bm25_tfidf,pair_unanimous,copeland,50,0.0,1.0,exact_sign_flip
bright,canonical,pair_tfidf_minilm,pair_any,balance,50,0.006432342478409998,0.010009765625,exact_sign_flip
bright,canonical,pair_tfidf_minilm,pair_any,copeland,50,0.0016419878571463042,0.9023097690230977,monte_carlo_sign_flip
bright,canonical,pair_tfidf_minilm,pair_any_drop_mutual,balance,50,0.00023381673946726634,0.75,exact_sign_flip
bright,canonical,pair_tfidf_minilm,pair_any_drop_mutual,copeland,50,0.00385927083688964,0.0625,exact_sign_flip
bright,canonical,pair_tfidf_minilm,pair_unanimous,balance,50,0.0,1.0,exact_sign_flip
bright,canonical,pair_tfidf_minilm,pair_unanimous,copeland,50,0.0,1.0,exact_sign_flip
bright,task1_larger,all_three,ms1,balance,50,0.002996902323064517,0.60186767578125,exact_sign_flip
bright,task1_larger,all_three,ms1,copeland,50,0.009906879802609523,0.4273572642735726,monte_carlo_sign_flip
