dataset,pool_label,regime,query_id,post_pool_removed_count,pre_pool_removed_count,removed_edge_jaccard
bright,canonical,ms1,biology:0,0,0,1.0
bright,canonical,ms1,biology:1,17,19,0.8947368421052632
bright,canonical,ms1,biology:10,1,1,1.0
bright,canonical,ms1,biology:11,11,13,0.8461538461538461
bright,canonical,ms1,biology:12,40,36,0.8536585365853658
bright,canonical,ms1,biology:13,54,63,0.647887323943662
bright,canonical,ms1,biology:14,1,0,0.0
bright,canonical,ms1,biology:15,8,7,0.875
bright,canonical,ms1,biology:16,1,1,1.0
bright,canonical,ms1,biology:17,13,14,0.8
bright,canonical,ms1,biology:18,13,12,0.5625
bright,canonical,ms1,biology:19,0,0,1.0
bright,canonical,ms1,biology:2,18,18,1.0
bright,canonical,ms1,biology:20,8,9,0.8888888888888888
bright,canonical,ms1,biology:21,5,5,1.0
bright,canonical,ms1,biology:22,22,20,0.9090909090909091
bright,canonical,ms1,biology:23,0,0,1.0
bright,canonical,ms1,biology:24,1,1,0.0
bright,canonical,ms1,biology:25,34,38,0.7142857142857143
bright,canonical,ms1,biology:26,13,13,1.0
bright,canonical,ms1,biology:27,13,14,0.9285714285714286
bright,canonical,ms1,biology:28,6,7,0.625
bright,canonical,ms1,biology:29,56,63,0.8888888888888888
bright,canonical,ms1,biology:3,1,2,0.5
bright,canonical,ms1,biology:30,2,4,0.5
bright,canonical,ms1,biology:31,18,19,0.6086956521739131
bright,canonical,ms1,biology:32,5,8,0.625
bright,canonical,ms1,biology:33,17,16,0.9411764705882353
bright,canonical,ms1,biology:34,46,37,0.4067796610169492
bright,canonical,ms1,biology:35,14,15,0.7058823529411765
bright,canonical,ms1,biology:36,10,12,0.8333333333333334
bright,canonical,ms1,biology:37,10,9,0.9
bright,canonical,ms1,biology:38,1,1,1.0
bright,canonical,ms1,biology:39,10,9,0.7272727272727273
bright,canonical,ms1,biology:4,21,22,0.9545454545454546
bright,canonical,ms1,biology:40,4,7,0.5714285714285714
bright,canonical,ms1,biology:41,3,4,0.75
bright,canonical,ms1,biology:42,21,21,1.0
bright,canonical,ms1,biology:43,43,38,0.6875
bright,canonical,ms1,biology:44,9,9,1.0
bright,canonical,ms1,biology:45,14,13,0.42105263157894735
bright,canonical,ms1,biology:46,3,2,0.6666666666666666
bright,canonical,ms1,biology:47,32,28,0.875
bright,canonical,ms1,biology:48,4,0,0.0
bright,canonical,ms1,biology:49,20,20,0.9047619047619048
bright,canonical,ms1,biology:5,35,35,0.9444444444444444
bright,canonical,ms1,biology:6,18,22,0.6666666666666666
bright,canonical,ms1,biology:7,0,0,1.0
bright,canonical,ms1,biology:8,6,7,0.8571428571428571
bright,canonical,ms1,biology:9,2,2,1.0
bright,canonical,ms1_drop_mutual,biology:0,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:1,4,5,0.8
bright,canonical,ms1_drop_mutual,biology:10,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:11,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:12,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:13,2,2,1.0
bright,canonical,ms1_drop_mutual,biology:14,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:15,2,2,1.0
bright,canonical,ms1_drop_mutual,biology:16,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:17,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:18,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:19,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:2,0,0,1.0
