dataset,pool_label,pool_size,query_id,pair,direction_1_rankers,direction_2_rankers,configuration
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,2a43d3905699927ace64e880fe9ba8a730e14be1|86e87db2dab958f1bd5877dc7d5b8105d6e31e46,bm25,minilm,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,120f1a81fd4abd089f47a335d0771b4162e851e8|768b18d745639fcfb157fe16cbd957ca60ebfc2e,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,768b18d745639fcfb157fe16cbd957ca60ebfc2e|9981e27f01960526ea68227c7f8120e0c3ffe87f,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,62c3daf1899f6841f7092961193f062cc4fe1103|768b18d745639fcfb157fe16cbd957ca60ebfc2e,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,19c90b3c0c0d94e8235731a057cc6377c46482ee|d5bed3840cbb7e29a89847c21b697609607d12d2,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,4a4cea4421ff0be7bcc06e92179cd2d5f1102ff8|d5bed3840cbb7e29a89847c21b697609607d12d2,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,120f1a81fd4abd089f47a335d0771b4162e851e8|6307f94aefdc7268c27e3af8fc04f090bc1b18bb,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,120f1a81fd4abd089f47a335d0771b4162e851e8|d5bed3840cbb7e29a89847c21b697609607d12d2,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,62c3daf1899f6841f7092961193f062cc4fe1103|d5bed3840cbb7e29a89847c21b697609607d12d2,bm25,tfidf,single_voter_vs_single_voter
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,49afbe880b8bd419605beb84d3382647bf8e50ea|5884bb205781106c7bb970533cf61a6074e2c7bb,bm25+minilm,tfidf,single_voter_vs_two_voter
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,5884bb205781106c7bb970533cf61a6074e2c7bb|60e3f74c98407e362560edbcb10a094e2a64c3ce,bm25+tfidf,minilm,lexical_pair_vs_minilm
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,49afbe880b8bd419605beb84d3382647bf8e50ea|97cb3258a85a447a61e3812846f7a6e72ff3c1e1,bm25+minilm,tfidf,single_voter_vs_two_voter
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,60e3f74c98407e362560edbcb10a094e2a64c3ce|97cb3258a85a447a61e3812846f7a6e72ff3c1e1,bm25+tfidf,minilm,lexical_pair_vs_minilm
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,49afbe880b8bd419605beb84d3382647bf8e50ea|60e3f74c98407e362560edbcb10a094e2a64c3ce,bm25,minilm,single_voter_vs_single_voter
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,0f0c67050aed2312cd45f05d5fb8f6502e64b50b|60e3f74c98407e362560edbcb10a094e2a64c3ce,bm25+tfidf,minilm,lexical_pair_vs_minilm
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,0f0c67050aed2312cd45f05d5fb8f6502e64b50b|c42639a324930275df4baad710b465f15439dfb1,bm25,minilm,single_voter_vs_single_voter
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,0f0c67050aed2312cd45f05d5fb8f6502e64b50b|ef2237aea4815107db8ed1cb62476ef30c4dfa47,bm25,minilm,single_voter_vs_single_voter
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,0f0c67050aed2312cd45f05d5fb8f6502e64b50b|d385f52c9ffbf4bb1d689406cebc5075f5ad4d6a,bm25,minilm,single_voter_vs_single_voter
