dataset,pool_label,construction,regime,pair_method,n_queries,mean_delta,raw_pvalue
bright,canonical,post_pool_minmax,ms1,balance,50,0.0002809807257418517,0.913330078125
bright,canonical,post_pool_minmax,ms1,copeland,50,-0.013847112859148627,0.09429057094290572
bright,canonical,post_pool_minmax,ms1_drop_mutual,balance,50,0.0005617193131090637,0.875
bright,canonical,post_pool_minmax,ms1_drop_mutual,copeland,50,6.965412330330877e-05,0.875
bright,canonical,post_pool_minmax,ms2,balance,50,0.0,1.0
bright,canonical,post_pool_minmax,ms2,copeland,50,0.0,1.0
bright,canonical,pre_pool_minmax,ms1,balance,50,-0.0036389968453361043,0.1145172119140625
bright,canonical,pre_pool_minmax,ms1,copeland,50,-0.006035271044156884,0.6006399360063993
bright,canonical,pre_pool_minmax,ms1_drop_mutual,balance,50,-0.00012314692525215555,0.8125
bright,canonical,pre_pool_minmax,ms1_drop_mutual,copeland,50,0.0007171688304384727,0.34375
bright,canonical,pre_pool_minmax,ms2,balance,50,0.0,1.0
bright,canonical,pre_pool_minmax,ms2,copeland,50,0.0,1.0
bright,task1_larger,post_pool_minmax,ms1,balance,50,-0.00040296922276613354,0.94110107421875
bright,task1_larger,post_pool_minmax,ms1,copeland,50,0.00506656320525063,0.44350433349609375
bright,task1_larger,post_pool_minmax,ms1_drop_mutual,balance,50,-0.0015112649060307216,0.75
bright,task1_larger,post_pool_minmax,ms1_drop_mutual,copeland,50,0.006595094751033807,0.015625
bright,task1_larger,post_pool_minmax,ms2,balance,50,0.0,1.0
bright,task1_larger,post_pool_minmax,ms2,copeland,50,0.0,1.0
bright,task1_larger,pre_pool_minmax,ms1,balance,50,0.003851174067508506,0.582122802734375
bright,task1_larger,pre_pool_minmax,ms1,copeland,50,0.0012949854276849571,0.827728271484375
bright,task1_larger,pre_pool_minmax,ms1_drop_mutual,balance,50,9.823231621287842e-05,1.0
bright,task1_larger,pre_pool_minmax,ms1_drop_mutual,copeland,50,0.004180675986765528,0.15625
bright,task1_larger,pre_pool_minmax,ms2,balance,50,0.0,1.0
bright,task1_larger,pre_pool_minmax,ms2,copeland,50,0.0,1.0
fiqa,canonical,post_pool_minmax,ms1,balance,120,0.005051335542141465,0.0126953125
fiqa,canonical,post_pool_minmax,ms1,copeland,120,0.006003733390070901,0.0038996100389961006
fiqa,canonical,post_pool_minmax,ms1_drop_mutual,balance,120,0.00017605326124271365,0.5
fiqa,canonical,post_pool_minmax,ms1_drop_mutual,copeland,120,0.00010342839314665721,1.0
fiqa,canonical,post_pool_minmax,ms2,balance,120,0.0,1.0
fiqa,canonical,post_pool_minmax,ms2,copeland,120,0.0,1.0
fiqa,canonical,pre_pool_minmax,ms1,balance,120,0.004135621375879481,0.00927734375
fiqa,canonical,pre_pool_minmax,ms1,copeland,120,0.005445052773088063,0.0030996900309969004
fiqa,canonical,pre_pool_minmax,ms1_drop_mutual,balance,120,0.00019061544812240723,1.0
fiqa,canonical,pre_pool_minmax,ms1_drop_mutual,copeland,120,8.515071768332393e-05,0.75
fiqa,canonical,pre_pool_minmax,ms2,balance,120,0.0,1.0
fiqa,canonical,pre_pool_minmax,ms2,copeland,120,0.0,1.0
fiqa,task1_larger,post_pool_minmax,ms1,balance,120,0.0022713301629658364,0.1884765625
fiqa,task1_larger,post_pool_minmax,ms1,copeland,120,-0.0007277961454915401,0.9103317260742188
fiqa,task1_larger,post_pool_minmax,ms1_drop_mutual,balance,120,0.0027959534539150495,0.5
fiqa,task1_larger,post_pool_minmax,ms1_drop_mutual,copeland,120,-0.0027869696757600554,0.453125
fiqa,task1_larger,post_pool_minmax,ms2,balance,120,0.0,1.0
fiqa,task1_larger,post_pool_minmax,ms2,copeland,120,0.0,1.0
fiqa,task1_larger,pre_pool_minmax,ms1,balance,120,0.0016911565654366678,0.140625
fiqa,task1_larger,pre_pool_minmax,ms1,copeland,120,0.0002584352968033804,0.962554931640625
fiqa,task1_larger,pre_pool_minmax,ms1_drop_mutual,balance,120,-0.0003395192526857785,1.0
fiqa,task1_larger,pre_pool_minmax,ms1_drop_mutual,copeland,120,-0.004795022860833205,0.072265625
fiqa,task1_larger,pre_pool_minmax,ms2,balance,120,0.0,1.0
fiqa,task1_larger,pre_pool_minmax,ms2,copeland,120,0.0,1.0
hotpotqa,canonical,post_pool_minmax,ms1,balance,52,-0.00017020590072505242,1.0
hotpotqa,canonical,post_pool_minmax,ms1,copeland,52,0.000341160598853002,0.875
hotpotqa,canonical,post_pool_minmax,ms1_drop_mutual,balance,52,0.0,1.0
hotpotqa,canonical,post_pool_minmax,ms1_drop_mutual,copeland,52,0.0,1.0
hotpotqa,canonical,post_pool_minmax,ms2,balance,52,0.0,1.0
hotpotqa,canonical,post_pool_minmax,ms2,copeland,52,0.0,1.0
hotpotqa,canonical,pre_pool_minmax,ms1,balance,52,-0.003087666283646818,0.25
hotpotqa,canonical,pre_pool_minmax,ms1,copeland,52,0.006156846922863386,0.5625
