dataset,pool_label,construction,regime,pair_method,raw_pvalue,holm_adjusted_pvalue,holm_significant_at_0.05
bright,canonical,post_pool_minmax,ms1,balance,0.913330078125,1.0,False
bright,canonical,post_pool_minmax,ms1,copeland,0.09429057094290572,1.0,False
bright,canonical,pre_pool_minmax,ms1,balance,0.1145172119140625,1.0,False
bright,canonical,pre_pool_minmax,ms1,copeland,0.6006399360063993,1.0,False
bright,task1_larger,post_pool_minmax,ms1,balance,0.94110107421875,1.0,False
bright,task1_larger,post_pool_minmax,ms1,copeland,0.44350433349609375,1.0,False
bright,task1_larger,pre_pool_minmax,ms1,balance,0.582122802734375,1.0,False
bright,task1_larger,pre_pool_minmax,ms1,copeland,0.827728271484375,1.0,False
fiqa,canonical,post_pool_minmax,ms1,balance,0.0126953125,0.35546875,False
fiqa,canonical,post_pool_minmax,ms1,copeland,0.0038996100389961006,0.12088791120887912,False
fiqa,canonical,pre_pool_minmax,ms1,balance,0.00927734375,0.26904296875,False
fiqa,canonical,pre_pool_minmax,ms1,copeland,0.0030996900309969004,0.09919008099190081,False
fiqa,task1_larger,post_pool_minmax,ms1,balance,0.1884765625,1.0,False
fiqa,task1_larger,post_pool_minmax,ms1,copeland,0.9103317260742188,1.0,False
fiqa,task1_larger,pre_pool_minmax,ms1,balance,0.140625,1.0,False
fiqa,task1_larger,pre_pool_minmax,ms1,copeland,0.962554931640625,1.0,False
hotpotqa,canonical,post_pool_minmax,ms1,balance,1.0,1.0,False
hotpotqa,canonical,post_pool_minmax,ms1,copeland,0.875,1.0,False
hotpotqa,canonical,pre_pool_minmax,ms1,balance,0.25,1.0,False
hotpotqa,canonical,pre_pool_minmax,ms1,copeland,0.5625,1.0,False
hotpotqa,task1_larger,post_pool_minmax,ms1,balance,1.0,1.0,False
hotpotqa,task1_larger,post_pool_minmax,ms1,copeland,0.21875,1.0,False
hotpotqa,task1_larger,pre_pool_minmax,ms1,balance,1.0,1.0,False
hotpotqa,task1_larger,pre_pool_minmax,ms1,copeland,0.21875,1.0,False
scidocs,canonical,post_pool_minmax,ms1,balance,0.1065893410658934,1.0,False
scidocs,canonical,post_pool_minmax,ms1,copeland,0.006299370062993701,0.18898110188981102,False
scidocs,canonical,pre_pool_minmax,ms1,balance,0.0374755859375,1.0,False
scidocs,canonical,pre_pool_minmax,ms1,copeland,0.29657034296570345,1.0,False
scidocs,task1_larger,post_pool_minmax,ms1,balance,0.735595703125,1.0,False
scidocs,task1_larger,post_pool_minmax,ms1,copeland,0.2866713328667133,1.0,False
scidocs,task1_larger,pre_pool_minmax,ms1,balance,0.7569580078125,1.0,False
scidocs,task1_larger,pre_pool_minmax,ms1,copeland,0.04509549045095491,1.0,False
