dataset,ranker,n_scores,min,max,mean,median,std,iqr,mean_per_query_range,mean_pairwise_margin,median_pairwise_margin
scidocs,bm25,2332,9.087944166682433,62.17129541812779,19.135064413701148,17.896429413375884,6.483829707470925,6.517822252751635,12.873753993915663,3.6959749950267895,2.5537096123505325
scidocs,tfidf,2369,0.06851823270196117,0.9249050874430228,0.19006267279986033,0.17883036772376606,0.060586130225945306,0.06948514824116803,0.16227405816393917,0.046193677169629674,0.03254497072655704
scidocs,minilm,1654,0.30593958497047424,0.9110269546508789,0.5349710899187835,0.528531938791275,0.07856374599026496,0.10391893982887268,0.18029925872882208,0.06625098781230572,0.05125069618225098
fiqa,bm25,2280,7.920595048855391,50.193809411928086,18.008010756568307,16.835026984368753,6.005767162440825,7.5013171322008905,8.903580839244732,2.6102384399629335,1.8007749057317595
fiqa,tfidf,2308,0.0903936536706839,0.6003338383829763,0.22298249639377474,0.21256568913861323,0.06079018756634759,0.06728543107964635,0.1482055512071345,0.042901978676589514,0.030587070610210987
fiqa,minilm,1063,0.343082070350647,0.8386683464050293,0.5455639613257863,0.5365121364593506,0.077129158397942,0.09469014406204224,0.15340065062046052,0.06594027372180035,0.050615012645721436
hotpotqa,bm25,511,11.831429951013323,98.32028066852595,32.26433323470222,29.16651029956539,14.095633439598958,17.41361296484969,24.68099592520724,8.55880214577311,5.5478270257325555
hotpotqa,tfidf,518,0.10305201432541772,0.7154285180412391,0.2604779713888674,0.2188640578705349,0.11381448628937663,0.1311638713336706,0.25598116089323764,0.0892901417047792,0.051314323996359726
hotpotqa,minilm,370,0.32893866300582886,0.8911566734313965,0.5316537244899853,0.5133090615272522,0.10565002024411438,0.14409193396568298,0.19424306945158884,0.08286559204844868,0.05963587760925293
bright,bm25,748,25.721291114381067,652.588106805272,124.1928845519386,94.46706914663483,98.8291334922327,66.71847211108235,64.67901195976877,22.748875195080156,13.493976349632703
bright,tfidf,759,0.06929579387424176,0.344085999921593,0.13679391327529333,0.1289903977561488,0.038471265825958195,0.04828713638970469,0.09455593557109326,0.02982145697982389,0.019974806753164376
bright,minilm,581,0.20647288858890533,0.7264674305915833,0.38441525553569533,0.36127769947052,0.1016711843664958,0.13179939985275269,0.23781655818223954,0.08600659033526545,0.06023341417312622
