dataset,ranker_a,ranker_b,n_queries_with_valid_corr,mean_kendall_tau_b,median_kendall_tau_b,mean_spearman_rho,median_spearman_rho
bright,bm25,minilm,49,0.18239683119186076,0.24516639269394183,0.2481442048753931,0.3571428571428572
bright,bm25,tfidf,50,0.14162394413435053,0.16436352318705258,0.18858859824807214,0.2202214452214452
bright,tfidf,minilm,46,0.17100656748437706,0.15672514619883038,0.2023575043887513,0.22963983527337717
fiqa,bm25,minilm,114,0.174745567257934,0.2,0.22020623319958033,0.2701220348279172
fiqa,bm25,tfidf,120,0.3121149354275576,0.3195402298850575,0.4307377980946736,0.44317992213570634
fiqa,tfidf,minilm,116,0.18673877191011812,0.23629964806435394,0.23921084857750813,0.31607142857142856
hotpotqa,bm25,minilm,48,0.4363924314203768,0.4272043745727956,0.517198151215907,0.5894736842105264
hotpotqa,bm25,tfidf,52,0.5620990043034026,0.5898149146451033,0.7130911075440178,0.7515259383681114
hotpotqa,tfidf,minilm,47,0.43368210362255566,0.4666666666666666,0.5398061979348013,0.6014234875444839
scidocs,bm25,minilm,120,0.21361706048024112,0.22428292954608742,0.292486833170236,0.31181835637480804
scidocs,bm25,tfidf,120,0.4518177029670537,0.4712015626649773,0.6080357631099869,0.6406270505933515
scidocs,tfidf,minilm,118,0.17528544551410685,0.2086247086247086,0.23967473441188694,0.2974744553691922
