dataset,pool_label,variant,regime,n_queries,mean_edge_count,mean_density,mean_mutual_pair_count,pct_queries_with_mutual_pair,mean_triangle_count,cyclic_query_pct,cyclic_query_pct_after_repair,mean_largest_scc,mean_largest_scc_after_repair,repair_active_fraction,mean_edges_removed,mean_weight_removed
bright,canonical,all_three,ms1,50,192.66,0.507,33.44,1.0,752.68,1.0,0.0,16.56,1.0,1.0,50.1,10.42655142210692
bright,canonical,all_three,ms1_drop_mutual,50,125.78,0.33099999999999996,0.0,0.0,369.34,0.68,0.0,7.24,1.0,0.68,4.94,0.8179315586710978
bright,canonical,all_three,ms2,50,52.56,0.1383157894736842,0.0,0.0,84.18,0.1,0.0,1.36,1.0,0.1,0.26,0.0691640210544015
bright,canonical,pair_bm25_minilm,pair_any,50,136.12,0.35821052631578953,10.12,0.94,485.48,0.94,0.0,10.48,1.0,0.94,16.32,3.08227587000975
bright,canonical,pair_bm25_minilm,pair_any_drop_mutual,50,115.88,0.30494736842105263,0.0,0.0,361.44,0.5,0.0,4.56,1.0,0.5,1.38,0.14521975228791262
bright,canonical,pair_bm25_minilm,pair_unanimous,50,17.2,0.04526315789473684,0.0,0.0,14.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0
bright,canonical,pair_bm25_tfidf,pair_any,50,161.5,0.42500000000000004,20.42,0.96,622.74,0.96,0.0,13.34,1.0,0.96,29.96,5.3355711210964465
bright,canonical,pair_bm25_tfidf,pair_any_drop_mutual,50,120.66,0.3175263157894737,0.0,0.0,383.04,0.46,0.0,5.02,1.0,0.46,1.58,0.2059288212513922
bright,canonical,pair_bm25_tfidf,pair_unanimous,50,32.06,0.08436842105263156,0.0,0.0,32.34,0.0,0.0,1.0,1.0,0.0,0.0,0.0
bright,canonical,pair_tfidf_minilm,pair_any,50,140.26,0.36910526315789477,10.06,0.86,499.5,0.86,0.0,10.52,1.0,0.86,17.68,3.218471630688685
bright,canonical,pair_tfidf_minilm,pair_any_drop_mutual,50,120.14,0.3161578947368421,0.0,0.0,376.04,0.34,0.0,4.24,1.0,0.34,1.48,0.17035788961857712
bright,canonical,pair_tfidf_minilm,pair_unanimous,50,16.46,0.04331578947368422,0.0,0.0,15.58,0.0,0.0,1.0,1.0,0.0,0.0,0.0
bright,task1_larger,all_three,ms1,50,690.54,0.28185306122448983,41.68,1.0,4608.3,1.0,0.0,39.46,1.0,1.0,115.38,19.066706870613913
bright,task1_larger,all_three,ms1_drop_mutual,50,607.18,0.24782857142857145,0.0,0.0,3450.5,0.94,0.0,32.7,1.0,0.94,44.56,5.825362507891824
bright,task1_larger,all_three,ms2,50,82.4,0.033632653061224496,0.0,0.0,167.3,0.1,0.0,1.36,1.0,0.1,0.26,0.06673832950307575
bright,task1_larger,pair_bm25_minilm,pair_any,50,468.7,0.19130612244897957,11.16,0.94,2784.3,0.94,0.0,22.22,1.0,0.94,35.62,5.59071403399473
bright,task1_larger,pair_bm25_minilm,pair_any_drop_mutual,50,446.38,0.18219591836734694,0.0,0.0,2466.86,0.68,0.0,15.98,1.0,0.68,12.06,1.4027038018109947
bright,task1_larger,pair_bm25_minilm,pair_unanimous,50,21.86,0.008922448979591838,0.0,0.0,23.42,0.0,0.0,1.0,1.0,0.0,0.0,0.0
bright,task1_larger,pair_bm25_tfidf,pair_any,50,506.24,0.20662857142857147,26.62,0.96,3355.98,0.96,0.0,26.54,1.0,0.96,64.5,9.547169074687755
bright,task1_larger,pair_bm25_tfidf,pair_any_drop_mutual,50,453.0,0.18489795918367347,0.0,0.0,2676.5,0.76,0.0,18.24,1.0,0.76,19.66,2.3930099985745352
bright,task1_larger,pair_bm25_tfidf,pair_unanimous,50,52.72,0.021518367346938776,0.0,0.0,83.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0
bright,task1_larger,pair_tfidf_minilm,pair_any,50,488.54,0.19940408163265308,11.02,0.86,2976.16,0.86,0.0,22.14,1.0,0.86,40.1,5.969716715320288
bright,task1_larger,pair_tfidf_minilm,pair_any_drop_mutual,50,466.5,0.19040816326530613,0.0,0.0,2648.94,0.64,0.0,16.94,1.0,0.64,15.78,1.8206743838350226
bright,task1_larger,pair_tfidf_minilm,pair_unanimous,50,20.94,0.008546938775510203,0.0,0.0,24.72,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fiqa,canonical,all_three,ms1,120,238.66666666666666,0.6280701754385964,54.666666666666664,1.0,1038.875,1.0,0.0,19.258333333333333,1.0,1.0,74.51666666666667,14.867020451899188
fiqa,canonical,all_three,ms1_drop_mutual,120,129.33333333333334,0.34035087719298246,0.0,0.0,404.40833333333336,0.2916666666666667,0.0,3.183333333333333,1.0,0.2916666666666667,1.7333333333333334,0.25086838235824577
fiqa,canonical,all_three,ms2,120,93.55833333333334,0.2462061403508772,0.0,0.0,207.80833333333334,0.13333333333333333,0.0,1.575,1.0,0.13333333333333333,0.3333333333333333,0.09412485079836444
fiqa,canonical,pair_bm25_minilm,pair_any,120,173.35,0.4561842105263158,11.883333333333333,0.85,744.0833333333334,0.85,0.0,12.775,1.0,0.85,22.983333333333334,4.139999572737922
fiqa,canonical,pair_bm25_minilm,pair_any_drop_mutual,120,149.58333333333334,0.3936403508771929,0.0,0.0,594.5416666666666,0.31666666666666665,0.0,4.1,1.0,0.31666666666666665,2.0,0.26148439662077544
fiqa,canonical,pair_bm25_minilm,pair_unanimous,120,18.275,0.04809210526315789,0.0,0.0,18.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fiqa,canonical,pair_bm25_tfidf,pair_any,120,222.24166666666667,0.5848464912280702,41.06666666666667,1.0,996.4833333333333,1.0,0.0,17.358333333333334,1.0,1.0,51.775,8.687494487415863
fiqa,canonical,pair_bm25_tfidf,pair_any_drop_mutual,120,140.10833333333332,0.36870614035087723,0.0,0.0,506.06666666666666,0.18333333333333332,0.0,2.4166666666666665,1.0,0.18333333333333332,0.5333333333333333,0.05300809478127747
fiqa,canonical,pair_bm25_tfidf,pair_unanimous,120,80.525,0.21190789473684207,0.0,0.0,140.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0
