dataset,query_id,repaired_policy,unrepaired_policy,repair_gain,repaired_ndcg,unrepaired_ndcg,is_cyclic,fas_weight_removed,provider,n_cycles
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,exact_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,True,2.0,openai,-1
scidocs,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,exact_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,True,3.0,openai,-1
scidocs,0ce7927d613e66a2062516e9e85e1b9a36d54029,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,7.0,openai,-1
scidocs,0daf48d0ce4e4200a753c28519f5761b160944fb,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
scidocs,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,4.0,openai,-1
scidocs,1a66df57f88e689438d505474eff73e3a9180c5b,exact_copeland,unrepaired_copeland,-0.002952318778331353,0.9455856780856265,0.9485379968639579,True,4.0,openai,-1
scidocs,21b1180af3087c1333708a9873f6d473eabe6751,exact_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,True,1.0,openai,-1
scidocs,2747421989619d293c05b0b82a547009128ebadb,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
scidocs,28f3343d2419147213e7580934cfc4e0cb88b088,exact_copeland,unrepaired_copeland,0.0,0.943473299121064,0.943473299121064,True,6.0,openai,-1
scidocs,29373c5bb0d60320844905916aec09d64c24cd79,exact_copeland,unrepaired_copeland,-0.010393774812847534,0.9896062251871525,1.0,True,2.0,openai,-1
scidocs,3ad8328b066bedca77c858a399a77521563d5c99,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
scidocs,4a343313042b654c7d85313de3d88486a1d0e9de,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,4.0,openai,-1
scidocs,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,6.0,openai,-1
scidocs,4ec90b7da43e6438cbdc756624b1083f30288064,exact_copeland,unrepaired_copeland,0.018151675754469854,0.7524938226547169,0.734342146900247,True,4.0,openai,-1
scidocs,5137d6a245dffe321df34999fa77e190c19b4c37,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
scidocs,51ee97313309157219412b6f5dfb314682b33992,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,3.0,openai,-1
scidocs,5f1f12015d55c51764be27df92de175d2de8ee0d,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,4.0,openai,-1
scidocs,6079719b677d0abda12abcd5cd46582ca91585ad,exact_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,True,3.0,openai,-1
scidocs,661a03482f0532b7355188059b2263091ade1bae,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,4.0,openai,-1
scidocs,6affd37b83d4fca0d0e54e5d75433a74cb142671,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,3.0,openai,-1
scidocs,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,exact_copeland,unrepaired_copeland,0.0,0.9747429528567879,0.9747429528567879,True,4.0,openai,-1
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,exact_copeland,unrepaired_copeland,-0.0060602693906083305,0.9505310077117098,0.9565912771023182,True,2.0,openai,-1
scidocs,7323c2d32d6cdc3604dcedc574508d042ce3821e,exact_copeland,unrepaired_copeland,0.0,0.9747429528567879,0.9747429528567879,True,2.0,openai,-1
scidocs,7445178858159988f2b17aa21376e13767fce5a6,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,3.0,openai,-1
scidocs,78495383450e02c5fe817e408726134b3084905d,exact_copeland,unrepaired_copeland,0.0,0.9512312000626861,0.9512312000626861,True,1.0,openai,-1
scidocs,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,exact_copeland,unrepaired_copeland,0.0,0.9068250379649666,0.9068250379649666,True,3.0,openai,-1
scidocs,866b1a9819f662ac2499be231965ded8e0323c7f,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,3.0,openai,-1
scidocs,8bb3a478db8951f42198a885d7245d58036ba55c,exact_copeland,unrepaired_copeland,-0.010393774812847534,0.9896062251871525,1.0,True,3.0,openai,-1
scidocs,8bb49c0658d7b7cff42c655a6d7e005372ad32ea,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,7.0,openai,-1
scidocs,8d37da5a9f05ee71d06cc6afcc1b14f8ff83147f,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
