dataset,query_id,provider,model,prompt,orientation,judgment_mode,policy,repair,ndcg_at_k,delta_vs_unrepaired,is_cyclic,fas_weight_removed,cell_status,source
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,score_sum,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,borda,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,pagerank,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,rank_centrality,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,markov_graph,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,markov_graph_repaired,greedy,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,greedy_fas_topological,greedy,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,prior_only,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,rrf,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,combsum,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
fiqa,0,azure+cohere,mixed,failure_mining,debias_position,pairwise,borda_fuse,unknown,0.0,0.0,True,0.08574318885803223,reconstructible,failure_mining_llm_v3_metrics
