dataset,query_id,repaired_policy,unrepaired_policy,repair_gain,repaired_ndcg,unrepaired_ndcg,is_cyclic,fas_weight_removed,provider,n_cycles,largest_scc_frac,n_scc_norm,n_candidates_norm,n_judgments_norm
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,greedy_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,1.0,3.0,openai,-1,0.26666666666666666,0.6666666666666666,0.46875,0.8203125
scidocs,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,greedy_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,1.0,9.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,0ce7927d613e66a2062516e9e85e1b9a36d54029,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,15.0,openai,-1,0.6666666666666666,0.4,0.46875,0.8203125
scidocs,0daf48d0ce4e4200a753c28519f5761b160944fb,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,1.0,openai,-1,0.2,0.8666666666666667,0.46875,0.8203125
scidocs,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,13.0,openai,-1,0.4666666666666667,0.4666666666666667,0.46875,0.8203125
scidocs,1a66df57f88e689438d505474eff73e3a9180c5b,greedy_copeland,unrepaired_copeland,-0.07244655218021367,0.8760914446837442,0.9485379968639579,1.0,7.0,openai,-1,0.4,0.4,0.46875,0.8203125
scidocs,21b1180af3087c1333708a9873f6d473eabe6751,greedy_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,1.0,2.0,openai,-1,0.26666666666666666,0.8,0.46875,0.8203125
scidocs,2747421989619d293c05b0b82a547009128ebadb,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,2.0,openai,-1,0.26666666666666666,0.8,0.46875,0.8203125
scidocs,28f3343d2419147213e7580934cfc4e0cb88b088,greedy_copeland,unrepaired_copeland,-0.0722410091564275,0.8712322899646365,0.943473299121064,1.0,22.0,openai,-1,0.6666666666666666,0.4,0.46875,0.8203125
scidocs,29373c5bb0d60320844905916aec09d64c24cd79,greedy_copeland,unrepaired_copeland,-0.02910768238943018,0.9708923176105698,1.0,1.0,13.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,3ad8328b066bedca77c858a399a77521563d5c99,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,2.0,openai,-1,0.26666666666666666,0.8,0.46875,0.8203125
scidocs,4a343313042b654c7d85313de3d88486a1d0e9de,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,8.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,13.0,openai,-1,0.6666666666666666,0.4,0.46875,0.8203125
scidocs,4ec90b7da43e6438cbdc756624b1083f30288064,greedy_copeland,unrepaired_copeland,-0.09880002404771682,0.6355421228525302,0.734342146900247,1.0,13.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,5137d6a245dffe321df34999fa77e190c19b4c37,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,2.0,openai,-1,0.3333333333333333,0.7333333333333333,0.46875,0.8203125
scidocs,51ee97313309157219412b6f5dfb314682b33992,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,5.0,openai,-1,0.3333333333333333,0.5333333333333333,0.46875,0.8203125
scidocs,5f1f12015d55c51764be27df92de175d2de8ee0d,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,12.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
