dataset,query_id,always_unrepaired_regret,always_repair_regret,oracle_regret
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,0.0,0.0,0.0
scidocs,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,0.0,0.0,0.0
scidocs,0ce7927d613e66a2062516e9e85e1b9a36d54029,0.0,0.0,0.0
scidocs,0daf48d0ce4e4200a753c28519f5761b160944fb,0.0,0.0,0.0
scidocs,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,0.0,0.0,0.0
scidocs,1a66df57f88e689438d505474eff73e3a9180c5b,0.0,0.07244655218021367,0.0
scidocs,21b1180af3087c1333708a9873f6d473eabe6751,0.0,0.0,0.0
scidocs,2747421989619d293c05b0b82a547009128ebadb,0.0,0.0,0.0
scidocs,28f3343d2419147213e7580934cfc4e0cb88b088,0.0,0.0722410091564275,0.0
scidocs,29373c5bb0d60320844905916aec09d64c24cd79,0.0,0.02910768238943018,0.0
scidocs,3ad8328b066bedca77c858a399a77521563d5c99,0.0,0.0,0.0
scidocs,4a343313042b654c7d85313de3d88486a1d0e9de,0.0,0.0,0.0
scidocs,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,0.0,0.0,0.0
scidocs,4ec90b7da43e6438cbdc756624b1083f30288064,0.0,0.09880002404771682,0.0
scidocs,5137d6a245dffe321df34999fa77e190c19b4c37,0.0,0.0,0.0
scidocs,51ee97313309157219412b6f5dfb314682b33992,0.0,0.0,0.0
scidocs,5f1f12015d55c51764be27df92de175d2de8ee0d,0.0,0.0,0.0
scidocs,6079719b677d0abda12abcd5cd46582ca91585ad,0.0,0.0,0.0
scidocs,661a03482f0532b7355188059b2263091ade1bae,0.0,0.0,0.0
scidocs,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,0.0,0.0,0.0
scidocs,6affd37b83d4fca0d0e54e5d75433a74cb142671,0.0,0.0,0.0
scidocs,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,0.0,0.0,0.0
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,0.0,0.015014115926515026,0.0
scidocs,7323c2d32d6cdc3604dcedc574508d042ce3821e,0.0,0.0,0.0
scidocs,7445178858159988f2b17aa21376e13767fce5a6,0.0,0.0,0.0
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,0.0,0.0,0.0
scidocs,78495383450e02c5fe817e408726134b3084905d,0.0,0.0,0.0
scidocs,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,0.0,0.0,0.0
scidocs,866b1a9819f662ac2499be231965ded8e0323c7f,0.0,0.0,0.0
scidocs,8bb3a478db8951f42198a885d7245d58036ba55c,0.0,0.018151675754469743,0.0
scidocs,8bb49c0658d7b7cff42c655a6d7e005372ad32ea,0.0,0.0,0.0
scidocs,8d37da5a9f05ee71d06cc6afcc1b14f8ff83147f,0.0,0.0,0.0
scidocs,9003fb79e7848ced3be975c3d87a9348a4b8d377,0.0,0.0,0.0
scidocs,9e76a700f03ef476b964b27e23c071163e44c232,0.0,0.0,0.0
scidocs,a829c1093eb4d78a198ebb9b4a33a8137b0359df,0.0,0.02910768238943018,0.0
scidocs,ac24b99a5db633ce45f053287ca806157fff9663,0.0,0.0,0.0
scidocs,b045f045e331700cdef309e0d40b15a64cdf5b8a,0.0,0.0,0.0
scidocs,b37225fc67e1aeeb7877c4691f9036ed5cc01efa,0.0,0.0,0.0
scidocs,b47402a9a68f23b548ae6e0349700ea651b7a373,0.0,0.0060602693906082195,0.0
scidocs,b8397b4418bb1d576210d9a39d44725d6ffb2a44,0.0,0.039075217475442514,0.0
scidocs,b8eea99bb5345329ea058072133f568f7bdd27bd,0.0,0.0,0.0
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,0.0,0.0,0.0
scidocs,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,0.0,0.0,0.0
scidocs,c05ae45c262b270df1e99a32efa35036aae8d950,0.0,0.0,0.0
scidocs,c20b4068be640ebaffbc56382c3e4e0bcf62664e,0.0,0.0,0.0
scidocs,c4e76b318149a106563d53892dde801a37a637cc,0.0,0.0,0.0
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,0.0,0.004895737244352216,0.0
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,0.0,0.007757900941622098,0.0
scidocs,e642d6014a5762128a28f85dae2228826e682974,0.0,0.0,0.0
scidocs,eb3d1b885bfa800badfd79c6921a07d01491aedb,0.0,0.0,0.0
hotpotqa,5a7283355542991f9a20c4b1,0.0,0.0,0.0
hotpotqa,5a72b8de5542994cef4bc3df,0.0,0.0,0.0
hotpotqa,5a7a1b845542990783324e5f,0.0,0.0,0.0
hotpotqa,5a7cb9b95542990527d55515,0.0,0.0,0.0
hotpotqa,5a866b5b554299211dda2b23,0.0,0.0,0.0
hotpotqa,5a88a42f554299206df2b317,0.0,0.0,0.0
hotpotqa,5a8cec13554299441c6b9f7d,0.0,0.0,0.0
hotpotqa,5a8f2ba155429918e830d1b9,0.0,0.0,0.0
hotpotqa,5a90c8165542995651fb51ee,0.0,0.0,0.0
hotpotqa,5ab64285554299637185c67c,0.0,0.0,0.0
hotpotqa,5ab6993f554299110f219a2b,0.0,0.0,0.0
hotpotqa,5ab7948b5542995dae37e969,0.0,0.0,0.0
hotpotqa,5ab925fd554299131ca42281,0.0,0.0,0.0
hotpotqa,5ac560235542993e66e82396,0.0,0.030645620126519446,0.0
hotpotqa,5adbf43655429947ff173864,0.0,0.0,0.0
hotpotqa,5adf8fe55542993344016d0f,0.0,0.0,0.0
hotpotqa,5ae18d615542997283cd2229,0.0,0.0,0.0
hotpotqa,5ae1dadf5542997f29b3c14f,0.0,0.0,0.0
hotpotqa,5ae504a855429908b63264df,0.0,0.008850706837702726,0.0
hotpotqa,5ae663b05542992ae0d16316,0.0,0.0,0.0
fiqa,105,0.0,0.0,0.0
fiqa,107,0.0,0.0,0.0
fiqa,19,0.0,0.0,0.0
fiqa,456,0.0,0.0,0.0
fiqa,457,0.0,0.0,0.0
fiqa,48,0.0,0.0,0.0
fiqa,481,0.0,0.0,0.0
fiqa,493,0.0,0.0,0.0
fiqa,524,0.0,0.0,0.0
fiqa,608,0.0,0.0,0.0
